prompt_id,problem_id,condition,mechanism,mechanism_id,expression,correct_value,distractor_value,clean_label,conflict_label,prompt,final_clean_logit,final_conflict_logit,final_margin,pair_choice,split,DeltaU_arith,dR_L20,dR_L21,dR_L22,dR_L23,dR_L24,dR_L25
lexical_000_clean,0,clean,stable,0,category=colour,Red,North,Red,North,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: colour.
Candidate 1: Red
Candidate 2: North
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.03125,20.609375,-0.578125,conflict,train,4.2225304,0.0,0.0,0.0,0.0,0.0,0.0
lexical_000_paraphrase,0,paraphrase,stable,0,category=colour,Red,North,Red,North,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Select the word that belongs to the category colour.
Candidate 1: Red
Candidate 2: North
Which candidate belongs to the target category?
Answer with exactly one candidate word:",18.6875,18.921875,-0.234375,conflict,train,5.812069,0.8342874,0.7084222,0.75563,1.0961523,0.820446,0.51535416
lexical_000_untrusted_conflict,0,untrusted_conflict,competition,1,category=colour,Red,North,Red,North,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: colour.
Candidate 1: Red
Candidate 2: North
An unverified note claims North. Check the category yourself.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",19.1875,19.71875,-0.53125,conflict,train,1.1800182,-0.093072414,-0.46170354,-0.7995558,-2.1672792,-1.3693571,-1.6203995
lexical_000_asserted_conflict,0,asserted_conflict,competition,1,category=colour,Red,North,Red,North,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: colour.
Candidate 1: Red
Candidate 2: North
A previous annotator selected North. Independently classify the words.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",10.46875,22.578125,-12.109375,conflict,train,-21.576757,-1.7968211,-2.6775036,-6.490595,-13.317641,-14.342733,-15.255011
lexical_000_explicit_correction,0,explicit_correction,closure,2,category=colour,Red,North,Red,North,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: colour.
Candidate 1: Red
Candidate 2: North
Initial note: North. Correction: that note was withdrawn; use category membership.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.671875,16.828125,3.84375,clean,train,12.128303,1.0254285,0.2836802,2.4795952,3.7140722,4.669874,4.537237
lexical_000_final_recheck,0,final_recheck,closure,2,category=colour,Red,North,Red,North,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: colour.
Candidate 1: Red
Candidate 2: North
Draft answer: North. Final instruction: recheck the category and replace the draft if needed.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",18.5625,19.84375,-1.28125,conflict,train,-3.6106963,-0.7635906,-1.3775902,-1.6707354,-4.4661226,-4.1389685,-4.5279884
lexical_001_clean,1,clean,stable,0,category=direction,North,Silver,North,Silver,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: direction.
Candidate 1: Silver
Candidate 2: North
Which candidate belongs to the target category?
Answer with exactly one candidate word:",24.671875,8.2734375,16.398438,clean,heldout,4.2225304,0.0,0.0,0.0,0.0,0.0,0.0
lexical_001_paraphrase,1,paraphrase,stable,0,category=direction,North,Silver,North,Silver,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Select the word that belongs to the category direction.
Candidate 1: Silver
Candidate 2: North
Which candidate belongs to the target category?
Answer with exactly one candidate word:",22.703125,8.640625,14.0625,clean,heldout,-0.6120887,-1.3716936,-1.7913461,-2.5126648,-3.1297054,-1.95545,-2.3187122
lexical_001_untrusted_conflict,1,untrusted_conflict,competition,1,category=direction,North,Silver,North,Silver,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: direction.
Candidate 1: Silver
Candidate 2: North
An unverified note claims Silver. Check the category yourself.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",23.1875,10.8828125,12.3046875,clean,heldout,1.3088782,0.49133062,0.13058853,-0.50402164,-1.1081657,-1.6147614,-2.2425804
lexical_001_asserted_conflict,1,asserted_conflict,competition,1,category=direction,North,Silver,North,Silver,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: direction.
Candidate 1: Silver
Candidate 2: North
A previous annotator selected Silver. Independently classify the words.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",23.515625,13.3671875,10.1484375,clean,heldout,-2.1873631,-0.2571411,-0.4519558,-1.3978481,-3.1748676,-3.7226715,-3.8678055
lexical_001_explicit_correction,1,explicit_correction,closure,2,category=direction,North,Silver,North,Silver,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: direction.
Candidate 1: Silver
Candidate 2: North
Initial note: Silver. Correction: that note was withdrawn; use category membership.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",23.21875,10.7109375,12.5078125,clean,heldout,1.3101034,0.5235057,0.06215048,-0.7541027,-1.696702,-1.2494087,-2.0303097
lexical_001_final_recheck,1,final_recheck,closure,2,category=direction,North,Silver,North,Silver,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: direction.
Candidate 1: Silver
Candidate 2: North
Draft answer: Silver. Final instruction: recheck the category and replace the draft if needed.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",22.625,12.1328125,10.4921875,clean,heldout,2.8105044,0.7889838,0.40178537,-0.41274452,-0.81967163,-0.42147064,-1.2421246
lexical_002_clean,2,clean,stable,0,category=metal,Copper,Triangle,Copper,Triangle,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: metal.
Candidate 1: Copper
Candidate 2: Triangle
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.796875,10.609375,10.1875,clean,heldout,4.2225304,0.0,0.0,0.0,0.0,0.0,0.0
lexical_002_paraphrase,2,paraphrase,stable,0,category=metal,Copper,Triangle,Copper,Triangle,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Select the word that belongs to the category metal.
Candidate 1: Copper
Candidate 2: Triangle
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.34375,10.375,9.96875,clean,heldout,2.672627,1.0849074,0.77001643,1.1434588,-0.30202007,-1.055728,-1.9215393
lexical_002_untrusted_conflict,2,untrusted_conflict,competition,1,category=metal,Copper,Triangle,Copper,Triangle,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: metal.
Candidate 1: Copper
Candidate 2: Triangle
An unverified note claims Triangle. Check the category yourself.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",19.25,17.453125,1.796875,clean,heldout,-5.3328896,-0.79277945,-0.24220753,-0.6322303,-4.22403,-5.600439,-6.668168
lexical_002_asserted_conflict,2,asserted_conflict,competition,1,category=metal,Copper,Triangle,Copper,Triangle,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: metal.
Candidate 1: Copper
Candidate 2: Triangle
A previous annotator selected Triangle. Independently classify the words.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",18.140625,21.09375,-2.953125,conflict,heldout,-21.176294,-1.688404,-1.1614833,-3.2627225,-11.630543,-14.978661,-16.710129
lexical_002_explicit_correction,2,explicit_correction,closure,2,category=metal,Copper,Triangle,Copper,Triangle,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: metal.
Candidate 1: Copper
Candidate 2: Triangle
Initial note: Triangle. Correction: that note was withdrawn; use category membership.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.46875,13.0390625,7.4296875,clean,heldout,1.7943234,0.2745613,0.100798845,0.29506445,-1.3870125,-0.9888439,-2.0985832
lexical_002_final_recheck,2,final_recheck,closure,2,category=metal,Copper,Triangle,Copper,Triangle,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: metal.
Candidate 1: Copper
Candidate 2: Triangle
Draft answer: Triangle. Final instruction: recheck the category and replace the draft if needed.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",19.796875,14.3828125,5.4140625,clean,heldout,-0.3089261,0.18679678,0.15883112,-0.23946285,-1.992218,-2.402813,-3.5223093
lexical_003_clean,3,clean,stable,0,category=shape,Circle,Ocean,Circle,Ocean,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: shape.
Candidate 1: Ocean
Candidate 2: Circle
Which candidate belongs to the target category?
Answer with exactly one candidate word:",22.53125,14.8515625,7.6796875,clean,train,4.2225304,0.0,0.0,0.0,0.0,0.0,0.0
lexical_003_paraphrase,3,paraphrase,stable,0,category=shape,Circle,Ocean,Circle,Ocean,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Select the word that belongs to the category shape.
Candidate 1: Ocean
Candidate 2: Circle
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.453125,18.921875,1.53125,clean,train,-5.2833405,-0.9785386,-0.93342113,-3.2115862,-3.9728222,-5.600692,-5.720155
lexical_003_untrusted_conflict,3,untrusted_conflict,competition,1,category=shape,Circle,Ocean,Circle,Ocean,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: shape.
Candidate 1: Ocean
Candidate 2: Circle
An unverified note claims Ocean. Check the category yourself.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.421875,17.875,2.546875,clean,train,-5.8299713,-0.8122545,-1.0711527,-2.8560333,-4.8008747,-5.969138,-5.7490587
lexical_003_asserted_conflict,3,asserted_conflict,competition,1,category=shape,Circle,Ocean,Circle,Ocean,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: shape.
Candidate 1: Ocean
Candidate 2: Circle
A previous annotator selected Ocean. Independently classify the words.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",19.015625,19.78125,-0.765625,conflict,train,-11.857265,-2.1150966,-1.3538957,-5.5487638,-7.639161,-8.706255,-9.628855
lexical_003_explicit_correction,3,explicit_correction,closure,2,category=shape,Circle,Ocean,Circle,Ocean,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: shape.
Candidate 1: Ocean
Candidate 2: Circle
Initial note: Ocean. Correction: that note was withdrawn; use category membership.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",21.703125,15.21875,6.484375,clean,train,2.3307543,-0.2499882,-0.09248018,-0.39637804,-1.2707901,-1.0566425,-0.9150963
lexical_003_final_recheck,3,final_recheck,closure,2,category=shape,Circle,Ocean,Circle,Ocean,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: shape.
Candidate 1: Ocean
Candidate 2: Circle
Draft answer: Ocean. Final instruction: recheck the category and replace the draft if needed.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",21.0,16.453125,4.546875,clean,train,0.219275,-0.62953794,-0.4426645,-0.67230606,-2.0971165,-2.1151934,-2.535386
lexical_004_clean,4,clean,stable,0,category=landscape feature,River,Sun,River,Sun,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: landscape feature.
Candidate 1: River
Candidate 2: Sun
Which candidate belongs to the target category?
Answer with exactly one candidate word:",22.4375,12.2109375,10.2265625,clean,heldout,4.2225304,0.0,0.0,0.0,0.0,0.0,0.0
lexical_004_paraphrase,4,paraphrase,stable,0,category=landscape feature,River,Sun,River,Sun,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Select the word that belongs to the category landscape feature.
Candidate 1: River
Candidate 2: Sun
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.859375,7.7734375,13.0859375,clean,heldout,4.696151,-0.048649788,-0.36685658,-0.09698105,0.75452805,0.83125114,-0.51888657
lexical_004_untrusted_conflict,4,untrusted_conflict,competition,1,category=landscape feature,River,Sun,River,Sun,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: landscape feature.
Candidate 1: River
Candidate 2: Sun
An unverified note claims Sun. Check the category yourself.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",21.796875,14.125,7.671875,clean,heldout,-1.8717008,-0.9143021,-1.0213056,-1.3245993,-2.7773657,-3.252945,-4.0018444
lexical_004_asserted_conflict,4,asserted_conflict,competition,1,category=landscape feature,River,Sun,River,Sun,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: landscape feature.
Candidate 1: River
Candidate 2: Sun
A previous annotator selected Sun. Independently classify the words.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",21.328125,18.40625,2.921875,clean,heldout,-21.197063,-2.7766523,-3.0470772,-7.289455,-14.478597,-12.985446,-14.580765
lexical_004_explicit_correction,4,explicit_correction,closure,2,category=landscape feature,River,Sun,River,Sun,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: landscape feature.
Candidate 1: River
Candidate 2: Sun
Initial note: Sun. Correction: that note was withdrawn; use category membership.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",22.03125,12.8671875,9.1640625,clean,heldout,1.0917478,-0.7175832,-0.94704294,-0.45843315,-1.6472626,-1.4501667,-2.1004906
lexical_004_final_recheck,4,final_recheck,closure,2,category=landscape feature,River,Sun,River,Sun,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: landscape feature.
Candidate 1: River
Candidate 2: Sun
Draft answer: Sun. Final instruction: recheck the category and replace the draft if needed.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",22.125,14.703125,7.421875,clean,heldout,-4.3166265,-1.2502594,-1.6337266,-2.243596,-4.9794893,-3.997919,-5.1246223
lexical_005_clean,5,clean,stable,0,category=sky object,Sun,Orange,Sun,Orange,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: sky object.
Candidate 1: Orange
Candidate 2: Sun
Which candidate belongs to the target category?
Answer with exactly one candidate word:",21.5,9.703125,11.796875,clean,heldout,4.2225304,0.0,0.0,0.0,0.0,0.0,0.0
lexical_005_paraphrase,5,paraphrase,stable,0,category=sky object,Sun,Orange,Sun,Orange,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Select the word that belongs to the category sky object.
Candidate 1: Orange
Candidate 2: Sun
Which candidate belongs to the target category?
Answer with exactly one candidate word:",18.46875,8.2890625,10.1796875,clean,heldout,-1.0049033,-0.47643912,-1.0207455,-1.8217707,-2.2396183,-2.6171923,-3.4656982
lexical_005_untrusted_conflict,5,untrusted_conflict,competition,1,category=sky object,Sun,Orange,Sun,Orange,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: sky object.
Candidate 1: Orange
Candidate 2: Sun
An unverified note claims Orange. Check the category yourself.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.59375,11.0859375,9.5078125,clean,heldout,1.4171278,-0.2505021,-0.0998168,-0.46299124,-1.6142197,-1.4952545,-1.6989651
lexical_005_asserted_conflict,5,asserted_conflict,competition,1,category=sky object,Sun,Orange,Sun,Orange,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: sky object.
Candidate 1: Orange
Candidate 2: Sun
A previous annotator selected Orange. Independently classify the words.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.421875,10.25,10.171875,clean,heldout,0.37797117,-0.64663744,-1.1829119,-1.6139555,-2.059247,-1.7909861,-2.1704988
lexical_005_explicit_correction,5,explicit_correction,closure,2,category=sky object,Sun,Orange,Sun,Orange,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: sky object.
Candidate 1: Orange
Candidate 2: Sun
Initial note: Orange. Correction: that note was withdrawn; use category membership.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.765625,7.9921875,12.7734375,clean,heldout,4.6599436,-0.7705507,-0.4785447,-0.64788103,-0.14940262,0.5093546,0.72257423
lexical_005_final_recheck,5,final_recheck,closure,2,category=sky object,Sun,Orange,Sun,Orange,"Example 1: Which candidate is a colour? Red or River. Answer: Red.
Example 2: Which candidate is a fruit? Stone or Pear. Answer: Pear.
Now answer the new item.
Target category: sky object.
Candidate 1: Orange
Candidate 2: Sun
Draft answer: Orange. Final instruction: recheck the category and replace the draft if needed.
Which candidate belongs to the target category?
Answer with exactly one candidate word:",20.578125,8.75,11.828125,clean,heldout,5.9487667,-0.8978206,-0.7197975,-0.4847722,0.6261921,1.2798195,1.4744053
