prompt_id,problem_id,condition,mechanism,mechanism_id,expression,correct_value,distractor_value,clean_label,conflict_label,prompt,final_clean_logit,final_conflict_logit,final_margin,pair_choice
arith_000_clean,0,clean,stable,0,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",23.75,17.390625,6.359375,clean
arith_000_paraphrase,0,paraphrase,stable,0,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 1 + 1 and compare the two choices.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",21.15625,17.125,4.03125,clean
arith_000_untrusted_conflict,0,untrusted_conflict,competition,1,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
An unverified note claims that three is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:",22.9375,14.046875,8.890625,clean
arith_000_asserted_conflict,0,asserted_conflict,competition,1,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
A previous solver selected three. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:",23.078125,14.2890625,8.7890625,clean
arith_000_explicit_correction,0,explicit_correction,closure,2,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Initial note: three. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:",22.71875,13.5625,9.15625,clean
arith_000_final_recheck,0,final_recheck,closure,2,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Draft answer: three. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:",20.96875,13.2265625,7.7421875,clean
arith_001_clean,1,clean,stable,0,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",22.171875,20.140625,2.03125,clean
arith_001_paraphrase,1,paraphrase,stable,0,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 2 + 1 and compare the two choices.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",18.453125,19.65625,-1.203125,conflict
arith_001_untrusted_conflict,1,untrusted_conflict,competition,1,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
An unverified note claims that two is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:",22.125,18.8125,3.3125,clean
arith_001_asserted_conflict,1,asserted_conflict,competition,1,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
A previous solver selected two. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:",22.84375,17.15625,5.6875,clean
