"metric_name","series","figure_panel","definition","formula","aggregation_unit","normalization","valid_range","missing_value_rule","source_evidence","status","notes"
"Projection preservation","OPA; PSG controls","Figure 2b","Correlation between pairwise distances in hidden-state space and readback-center space.","Pearson/Spearman(cosine_distance(hidden), cosine_distance(readback_centers))","model x layer x projection condition x repeat","hidden and readback centers are compared through cosine-distance vectors","[-1,1] for correlation","NaN if fewer than three valid pairs or near-zero variance","run_opa1b_psg_residual_audit.py","filled for OPA-1B","Figure source uses preservation score summary."
"Delta U decision","OPA; CM","Figure 3a-b","Decision-window dominance coordinate derived from clean-relative readback-margin trajectories.","R_l = logit_l(clean_label) - logit_l(conflict_label); dR_l = R_l(condition) - R_l(clean_anchor); DeltaU = PC1(dR over decision_layers); sign flipped if mean(stable) < mean(closure)","prompt row within model","PCA on clean-relative dR decision-layer matrix","unbounded PC score","standard PCA behaviour; source scripts raise if clean/conflict labels are not single tokens","GPT_168_CM_5A.py; GPT_169_CM_5B.py; figure3_3A_cm5a_model_summary.csv; figure3_3B_cm5b_model_summary.csv","filled","Decision layers use DECISION_FRAC=(0.70,0.92) in CM-5A/5B; CM-5B constrains predictors to predecision O_adv transitions."
"CM O_adv predictor","CM","Figure 3a-b","Layerwise advantage-flow proxy used to predict later Delta U and classify mechanism.","O_adv_l = dR_{l+1} - dR_l; O-window features evaluated by GroupKFold graph splits with Ridge(alpha=10.0) for Delta U and balanced LogisticRegression for mechanism","model x window","features standardized inside sklearn pipelines","Delta U correlation in [-1,1]; F1 in [0,1]","NaN when insufficient groups/classes","GPT_168_CM_5A.py; GPT_169_CM_5B.py","filled","This is an observable proxy for path-advantage growth, not the final PhaseMap continuous operator coordinate."
"Non-R neighborhood flow","CM","Figure 3c","Gemma predecision TopK/VIM neighborhood transition features predicting later Delta U and mechanism under non-R readback-flow windows.","R_l and DeltaU target as above; predictors are non-R neighborhood transition features summarized over leakage-free predecision windows; displayed metrics are ridge_deltaU_corr and mechanism_macro_f1","Gemma x window x metric","best k/window summaries exported by CM-5C","Delta U correlation in [-1,1]; F1 in [0,1]","NaN when insufficient groups/classes","GPT_170_CM_5C.py; figure3_3C_gemma_nonR_window_summary.csv; figure3_panel_c_nonR_windows.csv","filled","CM-5C explicitly uses predecision TopK/VIM neighborhood transition features, not dR differences, to predict later decision-window Delta U."
"UA band control","UA","Figure 3d","Auxiliary band-control check for phase classification under a global Delta U band.","U_minus=(u_neg+u_crit)/2; U_plus=(u_crit+u_pos)/2; phase_pred_band assigns above, inside or below global band; displayed metrics are accuracy_score and f1_score(average=macro)","global UA-4B summary","none","phase_acc and phase_macro_f1 in [0,1]","standard sklearn metric behaviour","GPT_99_UA4B.py; figure3_3D_ua4b_band_classification_summary.csv; figure3_panel_d_ua_band_control.csv","filled","Auxiliary support only; not treated as the primary ontology."
"Macro R2","PhaseMap","Figure 4a","Macro-averaged coefficient of determination for one-step next-layer state-equation closure variants.","r2_score(y_true, y_pred, multioutput=uniform_average), with targets R_l1, boundary_dist_l1, spread_l1 and rank_gap_l1","model specification across 5-fold GroupKFold by graph_id","numeric features median-imputed and standardized; categorical features most-frequent-imputed and one-hot encoded; Ridge(alpha=10.0)","unbounded below, upper bound 1","standard sklearn r2_score behaviour; failed models recorded as failed rows","GPT_145_phasemap7e.py; figure4_4B_phasemap7e_model_summary.csv; figure4_panel_a_morphism_ablation.csv","filled","O_cont is op_pc1-op_pc10, a latent transition/operator coordinate; it is not claimed as a pure pre-transition observable."
"Geodesic-bias indices","GV","Figure 4d","Relative alignment, detour and curvature behaviour of real trajectories compared with shuffle controls.","Alignment gain = bias_real_align_mean - bias_shuffle_align_mean; Detour reduction = log2(bias_shuffle_detour_mean / bias_real_detour_mean); Curvature reduction = log2(bias_shuffle_curvature_mean / bias_real_curvature_mean)","model x metric","positive values favour real trajectories relative to shuffle controls","unbounded; sign is interpretable around zero","NaN if required mean is missing; log2 ratio undefined if denominator or numerator is non-positive","GPT_171_GV_1B.py; gv1b_model_summary.csv; draw_manuscript_figures_v0_6_merged_r.R; figure4_panel_d_geodesic_bias_indices.csv","filled","GV-1B tests geodesic-biased flow with meaningful residuals, not strict geodesic equality."
"Residual prediction correlation","GV","Figure 4e","Correlation between projection, residual or mixed feature sets and Delta U.","Projection = best_projection_deltaU_corr; Residual = best_resid_deltaU_corr; Mixed = best_mixed_deltaU_corr from GV-2 best-window summaries","model x feature family","best-window summary selected upstream in GV-2","[-1,1]","standard correlation behaviour from GV-2 summary","GPT_172_GV_2.py; gv2_model_summary.csv; figure4_panel_e_residual_prediction.csv; draw_manuscript_figures_v0_6_merged_r.R","filled","GV-2 compares residual_only, projection_only and mixed_projection_residual feature groups."
"Parallel/perpendicular residual correlation","GV","Figure 4f","Correlation between parallel, perpendicular or combined residual component proxies and Delta U.","Parallel = best_parallel_deltaU_corr; Perpendicular = best_perp_deltaU_corr; Both = best_both_deltaU_corr from GV-3 sample_parallel_perp_eval summaries","model x residual component","best-window summary selected upstream in GV-3","[-1,1]","standard correlation behaviour from GV-3 summary","GPT_173_GV_3.py; gv3_model_summary.csv; figure4_panel_f_parallel_perpendicular.csv; draw_manuscript_figures_v0_6_merged_r.R","filled","GV-3 uses proxy feature families; parallel/perpendicular labels are not literal full-manifold orthogonal decomposition."
"Specificity","ASA","Figure 5a-b","Difference between mean absolute Delta U shift in closure-target rows and non-closure rows after a control/intervention.","specificity = mean(abs(DeltaU - DeltaU_base) | mechanism=closure) - mean(abs(DeltaU - DeltaU_base) | mechanism!=closure)","control family within model","none; pseudo-log display transform in figure only","reported values can be positive or negative; positive indicates closure-specific modulation","NaN if target or non-target rows are absent; shuffle z uses std + 1e-8","asa9a1_asa8d_engine_copy.py; asa9a1_50shuffle_main_table.csv; asa9a1_shuffle_null_distribution.csv","filled","Shuffle validation reports mean, std, z, percentile, q95 and q95 exceedance."
"Classifier accuracy and macro F1","ASA","Figure 5c","Training-set quality metrics for mechanism and policy RandomForest classifiers used in steering analysis.","accuracy_score; f1_score(average=macro)","model x classifier role","none","[0,1]","standard sklearn metric behaviour","asa9a1_asa8d_engine_copy.py; asa9a1_by_model_policy_metrics.csv; asa9a1_by_model_mechanism_metrics.csv","filled","Feature sets and hyperparameters are in classifier_spec_table_v0_2.csv."
