prompt_id,graph_id,entity_id,relation_id,condition,mechanism,mechanism_id,clean_label,conflict_label,clean_token_id,conflict_token_id,text,R_L18,R_L19,R_L20,R_L21,R_L22,R_L23,final_clean_logit,final_conflict_logit,pair_choice,dR_L18,dR_L19,dR_L20,dR_L21,dR_L22,dR_L23,DeltaU,D_B_proxy,R_final_margin
g000_clean,0,0,0,clean,stable,0,Red,Blue,4075,7640,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.447506,-1.859499,14.076269,19.785088,17.23455,67.07984,15.734375,13.5,clean,0.0,0.0,0.0,0.0,0.0,0.0,14.033369,0.0,2.234375
g000_redundant,0,0,0,redundant,stable,0,Red,Blue,4075,7640,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Confirmation: Ava still goes through Bela.
Confirmation: Bela still points to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",-1.4407825,-7.814535,8.977104,14.592825,12.126057,58.944733,15.5,13.5390625,clean,-2.8882885,-5.955036,-5.099165,-5.1922626,-5.108494,-8.135109,0.5456867,2.8882885,1.9609375
g000_irrelevant,0,0,0,irrelevant,stable,0,Red,Blue,4075,7640,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",2.6047516,1.591444,21.695553,26.031712,25.762516,74.291916,15.671875,13.0625,clean,1.1572456,3.450943,7.6192837,6.246624,8.527966,7.2120743,29.01543,1.1572456,2.609375
g000_paraphrase,0,0,0,paraphrase,stable,0,Red,Blue,4075,7640,"In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:",3.0369978,-11.958269,2.787775,7.140836,-2.8271484,44.518932,15.875,15.1015625,clean,1.5894918,-10.09877,-11.288494,-12.644252,-20.061699,-22.56091,-20.18765,1.5894918,0.7734375
g000_weak_distractor,0,0,0,weak_distractor,competition,1,Red,Blue,4075,7640,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Weak note: some unrelated source mentions Blue, but does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",2.8450794,-5.53319,17.399397,22.206228,17.888268,66.48881,15.6328125,13.6171875,clean,1.3975735,-3.6736908,3.3231277,2.4211407,0.65371704,-0.59103394,15.502171,0.59103394,2.015625
g000_competition_balanced,0,0,0,competition_balanced,competition,1,Red,Blue,4075,7640,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Competing fact: Ava is also associated with Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",2.5467434,-2.886259,17.806969,22.10975,19.330048,69.04153,15.421875,13.40625,clean,1.0992374,-1.0267601,3.7306995,2.3246632,2.0954971,1.9616852,18.461432,1.0267601,2.015625
g000_direct_conflict,0,0,0,direct_conflict,competition,1,Red,Blue,4075,7640,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Direct conflicting fact: Ava is located at Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",0.5885596,-8.527294,10.820793,15.929947,4.164814,50.82318,15.21875,14.1953125,clean,-0.8589463,-6.667795,-3.255476,-3.8551407,-13.0697365,-16.25666,-6.107565,0.8589463,1.0234375
g000_closure_update,0,0,0,closure_update,closure,2,Red,Blue,4075,7640,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela is located at Red.
Updated record: Bela is located at Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",-9.356861,-21.019283,-3.2737179,3.2430725,0.68904877,42.099304,14.78125,13.921875,clean,-10.804367,-19.159784,-17.349987,-16.542015,-16.545502,-24.980537,-29.478731,10.804367,0.859375
g000_closure_override,0,0,0,closure_override,closure,2,Red,Blue,4075,7640,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",-23.619877,-33.459427,-25.212612,-17.687984,-31.408005,1.1363449,13.90625,15.953125,conflict,-25.067383,-31.599928,-39.28888,-37.473072,-48.642555,-65.9435,-91.22327,25.067383,-2.046875
g000_exception_override,0,0,0,exception_override,closure,2,Red,Blue,4075,7640,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",-23.757557,-39.546997,-28.021004,-20.623638,-32.444023,-6.491905,13.40625,16.171875,conflict,-25.205063,-37.6875,-42.097275,-40.408726,-49.678574,-73.57175,-99.975685,25.205063,-2.765625
