prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text,split,R_L18,dR_L18,R_L19,dR_L19,R_L20,dR_L20,R_L21,dR_L21,R_L22,dR_L22,R_L23,dR_L23,DeltaU
g000_clean,0,0,0,clean,clean,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,1.483326,0.0,-1.8204613,0.0,14.104668,0.0,19.820663,0.0,17.257015,0.0,67.11359,0.0,12.397655
g000_rename,0,0,0,rename,relation_preserving,stable,Red,Blue,Green,"Consider a tiny mapping network.
Link one: Ava belongs to Bela.
Link two: Bela is located at Red.
Choose the label reached from Ava: Red or Blue.
One word answer:",discovery,4.9528365,3.4695106,6.278143,8.098604,18.3871,4.2824326,19.593185,-0.22747803,14.677841,-2.579174,71.25825,4.144661,18.293825
g000_permuted,0,0,0,permuted,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 2: Bela is located at Red.
Fact 1: Ava belongs to Bela.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,0.0024924278,-1.4808335,-9.018974,-7.198513,9.146627,-4.95804,14.610817,-5.2098465,12.392067,-4.8649483,57.26168,-9.851906,-1.8956223
g000_redundant,0,0,0,redundant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,-0.7491107,-2.2324367,-5.2316685,-3.4112072,10.859669,-3.244999,16.488045,-3.3326187,14.554497,-2.7025185,61.445564,-5.668022,3.8758307
g000_irrelevant,0,0,0,irrelevant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,2.6351652,1.1518393,1.6426182,3.4630795,21.743412,7.6387444,26.068825,6.2481613,25.823746,8.5667305,74.39464,7.2810516,27.459942
g000_paraphrase,0,0,0,paraphrase,relation_preserving,stable,Red,Blue,Green,"In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:",discovery,3.0240355,1.5407095,-11.96392,-10.143458,2.7832165,-11.321451,7.147087,-12.673576,-2.904728,-20.161743,44.419376,-22.69421,-22.135975
g000_weak_distractor,0,0,0,weak_distractor,structure_changing,stable_shift,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Weak note: some unrelated source mentions Blue, but does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,2.8450794,1.3617535,-5.53319,-3.7127285,17.399397,3.2947292,22.206228,2.3855648,17.888268,0.6312523,66.48881,-0.62477875,13.730176
g000_competition_balanced,0,0,0,competition_balanced,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Competing fact: Ava is also associated with Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,2.5467434,1.0634174,-2.886259,-1.0657978,17.806969,3.702301,22.10975,2.2890873,19.330048,2.0730324,69.04153,1.9279404,16.72137
g000_direct_conflict,0,0,0,direct_conflict,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Direct conflicting fact: Ava is located at Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,0.6735325,-0.8097935,-8.412804,-6.5923424,10.92609,-3.1785774,16.018665,-3.8019981,4.217251,-13.039764,50.891296,-16.22229,-7.7467527
g000_closure_update,0,0,0,closure_update,structure_changing,closure,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela is located at Red.
Updated record: Bela is located at Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,-9.388044,-10.87137,-21.067657,-19.247196,-3.3045158,-17.409184,3.2286263,-16.592037,0.6489105,-16.608105,42.030334,-25.083252,-31.256191
