"prompt_id","prompt_text_or_template","condition_label","condition_short","mechanism_label","group_id","graph_id","clean_answer","conflict_answer","aux_answer","mechanism_y","phase_y","model_coverage","inclusion_flag","exclusion_reason","preprocessing_rule","source_evidence"
"opa1a_cm_g000_clean","You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela maps to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:","clean","clean","stable","0","0","Red","Blue","Green","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_rename","Consider a tiny mapping network.
Link one: Ava belongs to Bela.
Link two: Bela maps to Red.
Choose the label reached from Ava: Red or Blue.
One word answer:","rename","rename","stable","0","0","Red","Blue","Green","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_paraphrase","In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:","paraphrase","paraphrase","stable","0","0","Red","Blue","Green","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_irrelevant","You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela maps to Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:","irrelevant","irrelevant","stable","0","0","Red","Blue","Green","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_weak_distractor","You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela maps to Red.
Weak note: an unrelated source mentions Blue, but it does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:","weak_distractor","weak_distractor","stable_shift","0","0","Red","Blue","Green","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_competition_balanced","You are given a small relation graph with competing records.
Record A: Ava belongs to Bela, and Bela maps to Red.
Record B: another note says Ava maps to Blue.
Question: Which label is better supported for Ava: Red or Blue?
Answer with exactly one word:","competition_balanced","competition_balanced","competition","0","0","Red","Blue","Green","1","1","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_direct_conflict","You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela maps to Red.
Direct conflicting fact: Ava maps to Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:","direct_conflict","direct_conflict","competition","0","0","Red","Blue","Green","1","1","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_closure_update","You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela maps to Red.
Updated record: Bela maps to Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:","closure_update","closure_update","closure","0","0","Red","Blue","Green","2","2","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_closure_override","You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:","closure_override","closure_override","closure","0","0","Red","Blue","Green","2","2","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_exception_override","You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:","exception_override","exception_override","closure","0","0","Red","Blue","Green","2","2","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
