"visual_object","meaning"
"projected residual-PCA mesh","low-dimensional visual abstraction of high-dimensional residual/state structure; not a literal 3D manifold"
"small coloured point cloud","observed residual families: stable, competition and closure/rewrite regimes"
"teal thick curve","dominant hidden-state trajectory across the low-dimensional projection"
"blue/orange thin curves","latent candidate trajectories before dominance stabilises"
"grey dashed curve","geodesic or null/fixed-control reference trajectory"
"blue dashed probes","readback observables projected from hidden dynamics"
"red double-headed distance","ΔU dominance gap on the competition ridge"
"black short vectors","local O_l^cont state-update direction"
"red residual vectors","structured deviation from the geodesic reference"
"orange curved feedback","mechanism-aware policy action shifting trajectory dominance"
