prompt_id,graph_id,condition,mechanism,clean_label,conflict_label,DeltaU,final_clean_logit,final_conflict_logit,pair_choice,control,final_margin,baseline_DeltaU,baseline_margin,baseline_pair_choice,margin_shift,DeltaU_shift,pair_flip,crossed
g000_clean,0,clean,stable,Red,Blue,0.09651989489793777,19.28125,18.21875,clean,none,1.0625,0.096519895,1.0625,clean,0.0,0.0,False,False
g000_redundant,0,redundant,stable,Red,Blue,-0.02496262639760971,19.40625,18.46875,clean,none,0.9375,-0.024962634,0.9375,clean,0.0,7.450580596923828e-09,False,False
g000_irrelevant,0,irrelevant,stable,Red,Blue,-0.001258261501789093,19.921875,19.015625,clean,none,0.90625,-0.001258254,0.90625,clean,0.0,-7.450580596923828e-09,False,False
g000_paraphrase,0,paraphrase,stable,Red,Blue,-0.5145880579948425,21.765625,21.21875,clean,none,0.546875,-0.514588,0.546875,clean,0.0,-5.960464477539063e-08,False,False
g000_weak_distractor,0,weak_distractor,competition,Red,Blue,0.34885087609291077,19.65625,18.421875,clean,none,1.234375,0.34885088,1.234375,clean,0.0,0.0,False,False
g000_competition_balanced,0,competition_balanced,competition,Red,Blue,-0.07848521322011948,19.875,18.984375,clean,none,0.890625,-0.07848521,0.890625,clean,0.0,0.0,False,False
g000_direct_conflict,0,direct_conflict,competition,Red,Blue,0.027886904776096344,20.421875,19.46875,clean,none,0.953125,0.027886905,0.953125,clean,0.0,0.0,False,False
g000_closure_update,0,closure_update,closure,Red,Blue,-1.410194754600525,19.40625,19.703125,conflict,none,-0.296875,-1.4101948,-0.296875,conflict,0.0,0.0,False,False
g000_closure_override,0,closure_override,closure,Red,Blue,-0.5640057921409607,20.203125,19.765625,clean,none,0.4375,-0.564252,0.4375,clean,0.0,0.00024622678756713867,False,False
g000_exception_override,0,exception_override,closure,Red,Blue,-1.4920331239700317,20.03125,20.5,conflict,none,-0.46875,-1.4851507,-0.46875,conflict,0.0,-0.006882429122924805,False,False
g004_clean,4,clean,stable,Copper,Silver,0.09651989489793777,16.796875,15.25,clean,none,1.546875,0.096519895,1.546875,clean,0.0,0.0,False,False
g004_redundant,4,redundant,stable,Copper,Silver,0.05382515490055084,17.359375,15.84375,clean,none,1.515625,0.053825155,1.515625,clean,0.0,0.0,False,False
g004_irrelevant,4,irrelevant,stable,Copper,Silver,-0.7623324990272522,17.09375,16.375,clean,none,0.71875,-0.7621935,0.71875,clean,0.0,-0.00013899803161621094,False,False
g004_paraphrase,4,paraphrase,stable,Copper,Silver,0.4944038689136505,21.6875,19.75,clean,none,1.9375,0.48150158,1.921875,clean,0.015625,0.012902289628982544,False,False
g004_weak_distractor,4,weak_distractor,competition,Copper,Silver,0.10118777304887772,17.96875,16.390625,clean,none,1.578125,0.10118777,1.578125,clean,0.0,0.0,False,False
g004_competition_balanced,4,competition_balanced,competition,Copper,Silver,-0.6537887454032898,17.484375,16.625,clean,none,0.859375,-0.65378875,0.859375,clean,0.0,0.0,False,False
g004_direct_conflict,4,direct_conflict,competition,Copper,Silver,-0.2902491092681885,17.65625,16.5,clean,none,1.15625,-0.29024914,1.15625,clean,0.0,2.9802322387695312e-08,False,False
g004_closure_update,4,closure_update,closure,Copper,Silver,-1.0345262289047241,16.5,16.078125,clean,none,0.421875,-1.0345262,0.421875,clean,0.0,0.0,False,False
g004_closure_override,4,closure_override,closure,Copper,Silver,-0.7850306630134583,19.234375,18.53125,clean,none,0.703125,-0.79095066,0.703125,clean,0.0,0.005919992923736572,False,False
g004_exception_override,4,exception_override,closure,Copper,Silver,-1.4432252645492554,19.265625,19.28125,conflict,none,-0.015625,-1.442509,-0.015625,conflict,0.0,-0.0007162094116210938,False,False
g009_clean,9,clean,stable,East,West,0.09651989489793777,16.734375,17.59375,conflict,none,-0.859375,0.096519895,-0.859375,conflict,0.0,0.0,False,False
g009_redundant,9,redundant,stable,East,West,-0.002717815339565277,16.859375,17.875,conflict,none,-1.015625,-0.0027178153,-1.015625,conflict,0.0,0.0,False,False
g009_irrelevant,9,irrelevant,stable,East,West,-0.01997244358062744,17.828125,18.796875,conflict,none,-0.96875,-0.018743254,-0.96875,conflict,0.0,-0.0012291893362998962,False,False
g009_paraphrase,9,paraphrase,stable,East,West,1.6252413988113403,21.0625,20.546875,clean,none,0.515625,1.6258746,0.5,clean,0.015625,-0.00063323974609375,False,False
g009_weak_distractor,9,weak_distractor,competition,East,West,0.31761634349823,17.65625,18.390625,conflict,none,-0.734375,0.31761634,-0.734375,conflict,0.0,0.0,False,False
