prompt_id,graph_id,condition,mechanism,control,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_token_id,baseline_top1_class,baseline_margin,strict_conflict_to_clean,nonclosure_top1_changed,margin_shift,model,random_seed
g000_clean,0,clean,stable,structured_guarded,3816,8868,3816, Red,clean,1,3,1.0625,3816,clean,1.0625,False,False,0.0,llama,
g000_redundant,0,redundant,stable,structured_guarded,3816,8868,3816, Red,clean,1,3,0.9375,3816,clean,0.9375,False,False,0.0,llama,
g000_irrelevant,0,irrelevant,stable,structured_guarded,3816,8868,3816, Red,clean,1,3,0.90625,3816,clean,0.90625,False,False,0.0,llama,
g000_paraphrase,0,paraphrase,stable,structured_guarded,3816,8868,3816, Red,clean,1,2,0.546875,3816,clean,0.546875,False,False,0.0,llama,
g000_weak_distractor,0,weak_distractor,competition,structured_guarded,3816,8868,3816, Red,clean,1,3,1.234375,3816,clean,1.234375,False,False,0.0,llama,
g000_competition_balanced,0,competition_balanced,competition,structured_guarded,3816,8868,3816, Red,clean,1,3,0.890625,3816,clean,0.890625,False,False,0.0,llama,
g000_direct_conflict,0,direct_conflict,competition,structured_guarded,3816,8868,3816, Red,clean,1,2,0.953125,3816,clean,0.953125,False,False,0.0,llama,
g000_closure_update,0,closure_update,closure,structured_guarded,3816,8868,3816, Red,clean,1,2,0.4375,8868,conflict,-0.296875,True,True,0.734375,llama,
g000_closure_override,0,closure_override,closure,structured_guarded,3816,8868,3816, Red,clean,1,2,0.578125,3816,clean,0.4375,False,False,0.140625,llama,
g000_exception_override,0,exception_override,closure,structured_guarded,3816,8868,3816, Red,clean,1,2,0.515625,8868,conflict,-0.46875,True,True,0.984375,llama,
g004_clean,4,clean,stable,structured_guarded,43640,15347,43640, Copper,clean,1,4,1.546875,43640,clean,1.546875,False,False,0.0,llama,
g004_redundant,4,redundant,stable,structured_guarded,43640,15347,43640, Copper,clean,1,3,1.515625,43640,clean,1.515625,False,False,0.0,llama,
g004_irrelevant,4,irrelevant,stable,structured_guarded,43640,15347,43640, Copper,clean,1,3,0.71875,43640,clean,0.71875,False,False,0.0,llama,
g004_paraphrase,4,paraphrase,stable,structured_guarded,43640,15347,43640, Copper,clean,1,2,1.9375,43640,clean,1.9375,False,False,0.0,llama,
g004_weak_distractor,4,weak_distractor,competition,structured_guarded,43640,15347,43640, Copper,clean,1,3,1.578125,43640,clean,1.578125,False,False,0.0,llama,
g004_competition_balanced,4,competition_balanced,competition,structured_guarded,43640,15347,43640, Copper,clean,1,3,0.859375,43640,clean,0.859375,False,False,0.0,llama,
g004_direct_conflict,4,direct_conflict,competition,structured_guarded,43640,15347,43640, Copper,clean,1,3,1.15625,43640,clean,1.15625,False,False,0.0,llama,
g004_closure_update,4,closure_update,closure,structured_guarded,43640,15347,43640, Copper,clean,1,2,1.1875,43640,clean,0.421875,False,False,0.765625,llama,
g004_closure_override,4,closure_override,closure,structured_guarded,43640,15347,43640, Copper,clean,1,2,0.90625,43640,clean,0.703125,False,False,0.203125,llama,
g004_exception_override,4,exception_override,closure,structured_guarded,43640,15347,43640, Copper,clean,1,2,0.890625,15347,conflict,-0.015625,True,True,0.90625,llama,
g009_clean,9,clean,stable,structured_guarded,6460,4410,4410, West,conflict,6,1,-0.859375,4410,conflict,-0.859375,False,False,0.0,llama,
g009_redundant,9,redundant,stable,structured_guarded,6460,4410,4410, West,conflict,4,1,-1.015625,4410,conflict,-1.015625,False,False,0.0,llama,
g009_irrelevant,9,irrelevant,stable,structured_guarded,6460,4410,4410, West,conflict,2,1,-0.96875,4410,conflict,-0.96875,False,False,0.0,llama,
g009_paraphrase,9,paraphrase,stable,structured_guarded,6460,4410,6460, East,clean,1,2,0.515625,6460,clean,0.515625,False,False,0.0,llama,
g009_weak_distractor,9,weak_distractor,competition,structured_guarded,6460,4410,4410, West,conflict,2,1,-0.734375,4410,conflict,-0.734375,False,False,0.0,llama,
