prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text,split,R_L19,dR_L19,R_L20,dR_L20,R_L21,dR_L21,R_L22,dR_L22,R_L23,dR_L23,R_L24,dR_L24,R_L25,dR_L25,DeltaU
g000_clean,0,0,0,clean,clean,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,1.2404435,0.0,1.2496017,0.0,1.7293558,0.0,2.8726797,0.0,2.8308449,0.0,2.0663328,0.0,6.310133,0.0,2.8346574
g000_rename,0,0,0,rename,relation_preserving,stable,Red,Blue,Green,"Consider a tiny mapping network.
Link one: Ava belongs to Bela.
Link two: Bela is located at Red.
Choose the label reached from Ava: Red or Blue.
One word answer:",discovery,1.189846,-0.05059743,1.4372017,0.18760002,2.037596,0.30824018,4.2259817,1.353302,4.7434707,1.9126258,4.7277017,2.6613688,7.8439226,1.5337896,6.6653776
g000_permuted,0,0,0,permuted,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 2: Bela is located at Red.
Fact 1: Ava belongs to Bela.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,1.4827268,0.24228334,1.5603919,0.31079018,2.112397,0.38304114,2.8286166,-0.04406309,3.0625782,0.23173332,2.5108643,0.44453144,6.933998,0.6238651,3.5662987
g000_redundant,0,0,0,redundant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,1.0157254,-0.2247181,0.7126583,-0.53694344,2.1586103,0.42925453,3.987846,1.1151662,3.8844657,1.0536208,3.2572107,1.1908779,7.375151,1.0650182,5.0176353
g000_irrelevant,0,0,0,irrelevant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,1.1558425,-0.084600925,1.5707779,0.32117617,1.9898448,0.260489,3.0406632,0.16798353,3.0896902,0.25884533,1.4940262,-0.57230663,5.935134,-0.37499905,2.542708
g000_paraphrase,0,0,0,paraphrase,relation_preserving,stable,Red,Blue,Green,"In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:",discovery,3.2646852,2.0242417,3.459014,2.209412,3.8425136,2.1131577,6.915041,4.0423613,7.5988464,4.7680016,6.910283,4.8439503,10.474767,4.1646338,12.042465
g000_weak_distractor,0,0,0,weak_distractor,structure_changing,stable_shift,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Weak note: some unrelated source mentions Blue, but does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,1.4236883,0.18324482,1.7882324,0.5386307,2.3708057,0.6414499,3.7120914,0.83941174,3.1605887,0.32974386,3.0760508,1.009718,7.6878757,1.3777428,4.709728
g000_competition_balanced,0,0,0,competition_balanced,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Competing fact: Ava is also associated with Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,1.4853112,0.24486768,1.1575253,-0.09207642,1.8807477,0.15139186,-0.41548157,-3.2881613,-1.2348418,-4.0656867,-0.96318626,-3.029519,3.9277658,-2.3823671,-3.3860357
g000_direct_conflict,0,0,0,direct_conflict,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Direct conflicting fact: Ava is located at Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,1.668951,0.42850757,1.6058192,0.3562175,2.4275994,0.6982436,0.3602252,-2.5124545,-1.0568285,-3.8876734,-0.03743744,-2.1037703,4.908363,-1.4017701,-1.8744586
g000_closure_update,0,0,0,closure_update,structure_changing,closure,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela is located at Red.
Updated record: Bela is located at Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,1.7878466,0.5474031,1.400952,0.15135026,1.6956532,-0.033702612,-1.0207555,-3.8934352,-2.0637689,-4.8946137,-2.3163543,-4.382687,2.3298807,-3.9802523,-5.6227436
g000_closure_override,0,0,0,closure_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",discovery,2.016311,0.77586746,1.4619606,0.21235883,1.818963,0.08960724,-1.0003343,-3.873014,-2.1484098,-4.9792547,-3.483057,-5.54939,0.52430344,-5.7858295,-7.236882
g000_exception_override,0,0,0,exception_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",discovery,2.0259175,0.78547406,1.5083381,0.25873637,2.1583066,0.4289508,-0.6717777,-3.5444574,-2.3323407,-5.1631856,-2.7999601,-4.866293,0.6973705,-5.6127625,-6.6750126
g001_clean,1,0,1,clean,clean,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,-0.946128,0.0,-0.47399223,0.0,0.44381022,0.0,1.2874398,0.0,3.4999623,0.0,3.4400036,0.0,4.486873,0.0,2.8346574
g001_rename,1,0,1,rename,relation_preserving,stable,Green,Yellow,North,"Consider a tiny mapping network.
Link one: Ava is assigned to Bela.
Link two: Bela maps to Green.
Choose the label reached from Ava: Green or Yellow.
One word answer:",discovery,-0.028337717,0.9177903,-0.1031633,0.37082893,1.1413229,0.6975126,2.3398747,1.0524349,4.495121,0.9951587,5.2218513,1.7818477,6.3133183,1.8264451,5.8017874
g001_permuted,1,0,1,permuted,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 2: Bela maps to Green.
Fact 1: Ava is assigned to Bela.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,-1.1816232,-0.23549521,-0.6958059,-0.22181368,0.32853103,-0.1152792,0.5224829,-0.76495695,3.010691,-0.4892714,3.3811245,-0.058879137,4.6436872,0.1568141,2.3157506
g001_redundant,1,0,1,redundant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,-1.0297201,-0.08359206,-0.83956873,-0.3655765,-0.021277308,-0.46508753,2.1296647,0.84222484,4.2875357,0.78757334,4.4703517,1.0303481,5.7203083,1.2334352,4.705982
g001_irrelevant,1,0,1,irrelevant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Irrelevant fact: Cora is associated with North.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,-0.97965294,-0.03352493,-0.73344,-0.25944775,-0.26438904,-0.70819926,-0.056138992,-1.3435788,2.5760489,-0.9239135,2.7370124,-0.70299125,3.7914705,-0.6954026,1.0167723
g001_paraphrase,1,0,1,paraphrase,relation_preserving,stable,Green,Yellow,North,"In this example, Ava reaches Bela.
The destination connected to Bela is Green.
Based on those two links, select the label for Ava: Green or Yellow.
Answer:",discovery,-0.041746378,0.90438163,-0.20633966,0.26765257,0.38639277,-0.057417452,2.7663784,1.4789386,5.60786,2.1078978,7.362768,3.9227645,7.4430814,2.9562082,8.2587805
g001_weak_distractor,1,0,1,weak_distractor,structure_changing,stable_shift,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Weak note: some unrelated source mentions Yellow, but does not update the graph.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,-1.0919542,-0.14582622,-1.0281676,-0.5541754,-0.035426736,-0.47923696,0.1437614,-1.1436784,2.537731,-0.9622314,2.5527377,-0.8872659,4.647552,0.16067886,1.4021738
g001_competition_balanced,1,0,1,competition_balanced,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Competing fact: Ava is also associated with Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,-1.2373574,-0.29122937,-1.2263598,-0.7523676,-0.28999418,-0.7338044,-1.2901549,-2.5775948,1.2109144,-2.289048,1.6273756,-1.812628,3.293786,-1.1930871,-1.0666537
g001_direct_conflict,1,0,1,direct_conflict,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Direct conflicting fact: Ava maps to Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,-1.0603794,-0.114251375,-1.4080117,-0.93401945,-0.3413903,-0.78520054,-1.7281473,-3.015587,0.08275151,-3.4172108,0.09481335,-3.3451903,2.4386692,-2.048204,-3.1288846
g001_closure_update,1,0,1,closure_update,structure_changing,closure,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Old record: Bela maps to Green.
Updated record: Bela maps to Yellow, not Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,-1.0805229,-0.13439488,-1.6356039,-1.1616117,-0.678248,-1.1220582,-1.5055594,-2.7929993,0.5752387,-2.9247236,0.6125717,-2.827432,1.5829616,-2.9039116,-2.9806798
g001_closure_override,1,0,1,closure_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items that is assigned to Bela receive label Green.
Override rule: in this case, items that is assigned to Bela receive label Yellow.
Fact: Ava is assigned to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",discovery,-1.1311204,-0.18499243,-1.212784,-0.7387918,-0.2715981,-0.7154083,-0.4946053,-1.7820451,1.1777277,-2.3222346,0.43965054,-3.000353,2.203524,-2.283349,-2.017793
g001_exception_override,1,0,1,exception_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items connected to Bela use label Green.
Exception: Ava is a special case and uses label Yellow.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",discovery,-1.0261846,-0.08005655,-1.0548948,-0.5809026,-0.50615215,-0.9499624,-0.60021186,-1.8876517,1.0608144,-2.439148,1.8790464,-1.5609572,2.8902464,-1.5966268,-0.9320986
g002_clean,2,0,2,clean,clean,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,-0.3385933,0.0,1.5293833,0.0,1.8409436,0.0,-0.76314163,0.0,-0.25067997,0.0,-0.26840782,0.0,-1.3867569,0.0,2.8346574
g002_rename,2,0,2,rename,relation_preserving,stable,North,South,East,"Consider a tiny mapping network.
Link one: Ava is part of Bela.
Link two: Bela points to North.
Choose the label reached from Ava: North or South.
One word answer:",discovery,-0.005150795,0.3334425,1.7982619,0.26887858,1.5537329,-0.2872107,1.852294,2.6154356,2.2553873,2.5060673,2.1113358,2.3797436,1.3742065,2.7609634,7.859604
g002_permuted,2,0,2,permuted,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 2: Bela points to North.
Fact 1: Ava is part of Bela.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,-0.103866994,0.23472631,1.4923279,-0.037055373,1.2755504,-0.5653932,-1.6944342,-0.93129253,-1.3414383,-1.0907583,-1.1449966,-0.8765888,-2.1856518,-0.7988949,0.9749061
