prompt_id,graph_id,condition,clean_candidate,conflict_candidate,prompt_file,text
ng00_clean,0,clean,Cyan,Magenta,inputs\prompts\ng00_clean.txt,"You are given a small relation graph.
Fact 1: Arden routes through Brisa.
Fact 2: Brisa terminates at Cyan.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng00_permuted,0,permuted,Cyan,Magenta,inputs\prompts\ng00_permuted.txt,"You are given a small relation graph.
Fact 2: Brisa terminates at Cyan.
Fact 1: Arden routes through Brisa.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng00_redundant,0,redundant,Cyan,Magenta,inputs\prompts\ng00_redundant.txt,"You are given a small relation graph.
Fact 1: Arden routes through Brisa.
Fact 2: Brisa terminates at Cyan.
Repeated confirmation: Arden still goes through Brisa.
Repeated confirmation: Brisa still points to Cyan.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng00_irrelevant,0,irrelevant,Cyan,Magenta,inputs\prompts\ng00_irrelevant.txt,"You are given a small relation graph.
Fact 1: Arden routes through Brisa.
Fact 2: Brisa terminates at Cyan.
Irrelevant fact: Cato is associated with Violet.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng00_weak_distractor,0,weak_distractor,Cyan,Magenta,inputs\prompts\ng00_weak_distractor.txt,"You are given a small relation graph.
Fact 1: Arden routes through Brisa.
Fact 2: Brisa terminates at Cyan.
Weak note: an unrelated source mentions Magenta, but does not update the graph.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng00_competition_balanced,0,competition_balanced,Cyan,Magenta,inputs\prompts\ng00_competition_balanced.txt,"You are given a small relation graph.
Fact 1: Arden routes through Brisa.
Fact 2: Brisa terminates at Cyan.
Competing fact: Arden is also associated with Magenta.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng00_direct_conflict,0,direct_conflict,Cyan,Magenta,inputs\prompts\ng00_direct_conflict.txt,"You are given a small relation graph.
Fact 1: Arden routes through Brisa.
Fact 2: Brisa terminates at Cyan.
Direct conflicting fact: Arden terminates at Magenta.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng00_closure_update,0,closure_update,Cyan,Magenta,inputs\prompts\ng00_closure_update.txt,"You are given a small relation graph.
Fact 1: Arden routes through Brisa.
Old record: Brisa terminates at Cyan.
Updated record: Brisa terminates at Magenta, not Cyan.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng00_closure_override,0,closure_override,Cyan,Magenta,inputs\prompts\ng00_closure_override.txt,"You are given a rule system.
General rule: items that routes through Brisa receive label Cyan.
Override rule: in this case, items that routes through Brisa receive label Magenta.
Fact: Arden routes through Brisa.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng00_exception_override,0,exception_override,Cyan,Magenta,inputs\prompts\ng00_exception_override.txt,"You are given a rule system.
General rule: items connected to Brisa use label Cyan.
Exception: Arden is a special case and uses label Magenta.
Fact: Arden is connected to Brisa.
Question: Which label is associated with Arden: Cyan or Magenta?
Answer with exactly one word:"
ng01_clean,1,clean,Violet,Amber,inputs\prompts\ng01_clean.txt,"You are given a small relation graph.
Fact 1: Della is catalogued beside Eamon.
Fact 2: Eamon is indexed as Violet.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng01_permuted,1,permuted,Violet,Amber,inputs\prompts\ng01_permuted.txt,"You are given a small relation graph.
Fact 2: Eamon is indexed as Violet.
Fact 1: Della is catalogued beside Eamon.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng01_redundant,1,redundant,Violet,Amber,inputs\prompts\ng01_redundant.txt,"You are given a small relation graph.
Fact 1: Della is catalogued beside Eamon.
Fact 2: Eamon is indexed as Violet.
Repeated confirmation: Della still goes through Eamon.
Repeated confirmation: Eamon still points to Violet.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng01_irrelevant,1,irrelevant,Violet,Amber,inputs\prompts\ng01_irrelevant.txt,"You are given a small relation graph.
Fact 1: Della is catalogued beside Eamon.
Fact 2: Eamon is indexed as Violet.
Irrelevant fact: Fiora is associated with Ivory.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng01_weak_distractor,1,weak_distractor,Violet,Amber,inputs\prompts\ng01_weak_distractor.txt,"You are given a small relation graph.
Fact 1: Della is catalogued beside Eamon.
Fact 2: Eamon is indexed as Violet.
Weak note: an unrelated source mentions Amber, but does not update the graph.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng01_competition_balanced,1,competition_balanced,Violet,Amber,inputs\prompts\ng01_competition_balanced.txt,"You are given a small relation graph.
Fact 1: Della is catalogued beside Eamon.
Fact 2: Eamon is indexed as Violet.
Competing fact: Della is also associated with Amber.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng01_direct_conflict,1,direct_conflict,Violet,Amber,inputs\prompts\ng01_direct_conflict.txt,"You are given a small relation graph.
Fact 1: Della is catalogued beside Eamon.
Fact 2: Eamon is indexed as Violet.
Direct conflicting fact: Della is indexed as Amber.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng01_closure_update,1,closure_update,Violet,Amber,inputs\prompts\ng01_closure_update.txt,"You are given a small relation graph.
Fact 1: Della is catalogued beside Eamon.
Old record: Eamon is indexed as Violet.
Updated record: Eamon is indexed as Amber, not Violet.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng01_closure_override,1,closure_override,Violet,Amber,inputs\prompts\ng01_closure_override.txt,"You are given a rule system.
General rule: items that is catalogued beside Eamon receive label Violet.
Override rule: in this case, items that is catalogued beside Eamon receive label Amber.
Fact: Della is catalogued beside Eamon.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng01_exception_override,1,exception_override,Violet,Amber,inputs\prompts\ng01_exception_override.txt,"You are given a rule system.
General rule: items connected to Eamon use label Violet.
Exception: Della is a special case and uses label Amber.
Fact: Della is connected to Eamon.
Question: Which label is associated with Della: Violet or Amber?
Answer with exactly one word:"
ng02_clean,2,clean,Ivory,Onyx,inputs\prompts\ng02_clean.txt,"You are given a small relation graph.
Fact 1: Garin travels via Hesta.
Fact 2: Hesta is marked with Ivory.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng02_permuted,2,permuted,Ivory,Onyx,inputs\prompts\ng02_permuted.txt,"You are given a small relation graph.
Fact 2: Hesta is marked with Ivory.
Fact 1: Garin travels via Hesta.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng02_redundant,2,redundant,Ivory,Onyx,inputs\prompts\ng02_redundant.txt,"You are given a small relation graph.
Fact 1: Garin travels via Hesta.
Fact 2: Hesta is marked with Ivory.
Repeated confirmation: Garin still goes through Hesta.
Repeated confirmation: Hesta still points to Ivory.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng02_irrelevant,2,irrelevant,Ivory,Onyx,inputs\prompts\ng02_irrelevant.txt,"You are given a small relation graph.
Fact 1: Garin travels via Hesta.
Fact 2: Hesta is marked with Ivory.
Irrelevant fact: Ilan is associated with Ruby.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng02_weak_distractor,2,weak_distractor,Ivory,Onyx,inputs\prompts\ng02_weak_distractor.txt,"You are given a small relation graph.
Fact 1: Garin travels via Hesta.
Fact 2: Hesta is marked with Ivory.
Weak note: an unrelated source mentions Onyx, but does not update the graph.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng02_competition_balanced,2,competition_balanced,Ivory,Onyx,inputs\prompts\ng02_competition_balanced.txt,"You are given a small relation graph.
Fact 1: Garin travels via Hesta.
Fact 2: Hesta is marked with Ivory.
Competing fact: Garin is also associated with Onyx.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng02_direct_conflict,2,direct_conflict,Ivory,Onyx,inputs\prompts\ng02_direct_conflict.txt,"You are given a small relation graph.
Fact 1: Garin travels via Hesta.
Fact 2: Hesta is marked with Ivory.
Direct conflicting fact: Garin is marked with Onyx.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng02_closure_update,2,closure_update,Ivory,Onyx,inputs\prompts\ng02_closure_update.txt,"You are given a small relation graph.
Fact 1: Garin travels via Hesta.
Old record: Hesta is marked with Ivory.
Updated record: Hesta is marked with Onyx, not Ivory.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng02_closure_override,2,closure_override,Ivory,Onyx,inputs\prompts\ng02_closure_override.txt,"You are given a rule system.
General rule: items that travels via Hesta receive label Ivory.
Override rule: in this case, items that travels via Hesta receive label Onyx.
Fact: Garin travels via Hesta.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng02_exception_override,2,exception_override,Ivory,Onyx,inputs\prompts\ng02_exception_override.txt,"You are given a rule system.
General rule: items connected to Hesta use label Ivory.
Exception: Garin is a special case and uses label Onyx.
Fact: Garin is connected to Hesta.
Question: Which label is associated with Garin: Ivory or Onyx?
Answer with exactly one word:"
ng03_clean,3,clean,Ruby,Jade,inputs\prompts\ng03_clean.txt,"You are given a small relation graph.
Fact 1: Jessa is linked onward to Korin.
Fact 2: Korin is registered under Ruby.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
ng03_permuted,3,permuted,Ruby,Jade,inputs\prompts\ng03_permuted.txt,"You are given a small relation graph.
Fact 2: Korin is registered under Ruby.
Fact 1: Jessa is linked onward to Korin.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
ng03_redundant,3,redundant,Ruby,Jade,inputs\prompts\ng03_redundant.txt,"You are given a small relation graph.
Fact 1: Jessa is linked onward to Korin.
Fact 2: Korin is registered under Ruby.
Repeated confirmation: Jessa still goes through Korin.
Repeated confirmation: Korin still points to Ruby.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
