prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text
g000_clean,0,0,0,clean,clean,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:"
g000_rename,0,0,0,rename,relation_preserving,stable,Red,Blue,Green,"Consider a tiny mapping network.
Link one: Ava belongs to Bela.
Link two: Bela is located at Red.
Choose the label reached from Ava: Red or Blue.
One word answer:"
g000_permuted,0,0,0,permuted,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 2: Bela is located at Red.
Fact 1: Ava belongs to Bela.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:"
g000_redundant,0,0,0,redundant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:"
g000_irrelevant,0,0,0,irrelevant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:"
g000_paraphrase,0,0,0,paraphrase,relation_preserving,stable,Red,Blue,Green,"In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:"
g000_weak_distractor,0,0,0,weak_distractor,structure_changing,stable_shift,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Weak note: some unrelated source mentions Blue, but does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:"
g000_competition_balanced,0,0,0,competition_balanced,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Competing fact: Ava is also associated with Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:"
g000_direct_conflict,0,0,0,direct_conflict,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Direct conflicting fact: Ava is located at Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:"
g000_closure_update,0,0,0,closure_update,structure_changing,closure,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela is located at Red.
Updated record: Bela is located at Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:"
g000_closure_override,0,0,0,closure_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:"
g000_exception_override,0,0,0,exception_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:"
g001_clean,1,0,1,clean,clean,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:"
g001_rename,1,0,1,rename,relation_preserving,stable,Green,Yellow,North,"Consider a tiny mapping network.
Link one: Ava is assigned to Bela.
Link two: Bela maps to Green.
Choose the label reached from Ava: Green or Yellow.
One word answer:"
g001_permuted,1,0,1,permuted,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 2: Bela maps to Green.
Fact 1: Ava is assigned to Bela.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:"
g001_redundant,1,0,1,redundant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:"
g001_irrelevant,1,0,1,irrelevant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Irrelevant fact: Cora is associated with North.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:"
