prompt_id,problem_id,condition,mechanism,mechanism_id,expression,correct_value,distractor_value,clean_label,conflict_label,prompt,final_clean_logit,final_conflict_logit,final_margin,pair_choice,split,DeltaU_arith,dR_L20,dR_L21,dR_L22,dR_L23,dR_L24,dR_L25
arith_000_clean,0,clean,stable,0,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",23.75,17.390625,6.359375,clean,train,1.6440471,0.0,0.0,0.0,0.0,0.0,0.0
arith_000_paraphrase,0,paraphrase,stable,0,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 1 + 1 and compare the two choices.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",21.15625,17.125,4.03125,clean,train,2.5601933,-0.18854594,-0.26599264,-0.41965532,0.103549,-0.26269913,-1.0637321
arith_000_untrusted_conflict,0,untrusted_conflict,competition,1,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
An unverified note claims that three is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:",22.9375,14.046875,8.890625,clean,train,-1.900833,0.3151381,0.09677124,0.75888205,1.7945547,2.2055035,2.0202332
arith_000_asserted_conflict,0,asserted_conflict,competition,1,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
A previous solver selected three. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:",23.078125,14.2890625,8.7890625,clean,train,-1.500866,0.28207707,0.15611076,0.65906906,1.4560509,1.9177446,1.9147358
arith_000_explicit_correction,0,explicit_correction,closure,2,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Initial note: three. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:",22.71875,13.5625,9.15625,clean,train,-1.5766789,-0.01350069,-0.096571445,0.62635756,1.3888197,1.8206387,2.18721
arith_000_final_recheck,0,final_recheck,closure,2,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Draft answer: three. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:",20.96875,13.2265625,7.7421875,clean,train,-1.5656847,0.59685564,0.7656357,0.9193125,1.2972231,1.7285013,2.1508312
arith_001_clean,1,clean,stable,0,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",22.171875,20.140625,2.03125,clean,heldout,1.6440471,0.0,0.0,0.0,0.0,0.0,0.0
arith_001_paraphrase,1,paraphrase,stable,0,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 2 + 1 and compare the two choices.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",18.453125,19.65625,-1.203125,conflict,heldout,5.773201,-0.10170078,-0.030697823,-0.61702824,-2.149788,-2.5861044,-2.398243
arith_001_untrusted_conflict,1,untrusted_conflict,competition,1,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
An unverified note claims that two is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:",22.125,18.8125,3.3125,clean,heldout,0.28146386,0.21711373,0.16043234,0.39217997,0.26852417,0.73864937,1.101902
arith_001_asserted_conflict,1,asserted_conflict,competition,1,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
A previous solver selected two. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:",22.84375,17.15625,5.6875,clean,heldout,-2.223678,0.114224434,0.077474356,0.7702775,1.2665348,2.249035,2.8182411
