"file","dataset_family","figure_or_table","evidence_role","access_route","required_final_metadata","status"
"figure_contracts.csv","figure_qc","all figures","Maps each figure to its core conclusion, evidence type and control/risk boundary.","public repository","repository DOI/accession; version; README mapping to figure files","present_processed_source"
"figure_detail_audit_v0_6.csv","figure_qc","all figures","Records V0.6 figure-detail audit decisions and reader-risk reductions.","public repository","repository DOI/accession; version; audit date; README mapping to figure files","present_processed_source"
"export_qa_summary.csv","figure_qc","all exported figures","Records export completeness for SVG, PDF, TIFF and PNG outputs.","public repository","repository DOI/accession; R environment; export script version; checksum if available","present_processed_source"
"figure_freeze_manifest_v0_4.csv","figure_qc","legacy freeze manifest","Preserves prior figure-freeze status used during version transition.","public repository","repository DOI/accession; relation to V0.6 package; supersession note","present_processed_source"
"figure0_mechanism_nodes.csv","mechanism_visualization","Figure 1","Defines mechanism-visualization nodes used in the high-dimensional mechanism view.","public repository","repository DOI/accession; node definitions; figure-generation script version","present_processed_source"
"figure0_winner_fraction_layer_trace_v0_3.csv","mechanism_visualization","Graphical overview","Provides the fraction of observations won by each candidate path at every layer; winner fractions sum to one within layer.","public repository","repository DOI/accession; layer-index convention; winner definition","present_processed_source"
"mechanism_visual_grammar_v0_2.csv","mechanism_visualization","Figure 1 and Extended Data Fig. 1","Defines visual grammar linking drawn objects to theoretical meaning.","public repository","repository DOI/accession; final terminology check; relation to figure legend","present_processed_source"
"highdim_visualization_interpretation.csv","highdimensional_diagnostics","Figure 1 and Extended Data Fig. 2","States purpose and tradeoff of high-dimensional visual summaries.","public repository","repository DOI/accession; final display-policy note","present_processed_source"
"highdim_sample_layer_vectors_long.csv","highdimensional_diagnostics","Figure 1 and Extended Data Fig. 2","Long-format high-dimensional sample layer-vector values used for visualization and diagnostics.","public repository or large-file archival record","repository DOI/accession; file size; checksum; prompt/checkpoint metadata; column dictionary","present_processed_source"
"highdim_layer_condition_centroids.csv","highdimensional_diagnostics","Figure 1 and Extended Data Fig. 2","Condition-wise layer centroids and dispersion summaries.","public repository","repository DOI/accession; centroid computation rule; prompt-condition mapping","present_processed_source"
"highdim_condition_cosine_similarity.csv","highdimensional_diagnostics","Extended Data Fig. 2","Full-vector condition-neighbourhood cosine similarities.","public repository","repository DOI/accession; vector normalization rule; condition mapping","present_processed_source"
"highdim_layer_separation_profile.csv","highdimensional_diagnostics","Extended Data Fig. 2","Layer-dimension contribution and condition-separation profiles.","public repository","repository DOI/accession; variance calculation rule; layer-index convention","present_processed_source"
"figure2_panel_a_proxy_scores.csv","readback_and_coordinates","Figure 2a","Compares proxy/readback scores across model families.","public repository","repository DOI/accession; proxy definitions; model checkpoint identifiers","present_processed_source"
"figure2_panel_b_psg_preservation.csv","readback_and_coordinates","Figure 2b","Projection-selection geometry preservation under real, row-permuted and Gaussian projections.","public repository","repository DOI/accession; preservation statistic; permutation seed; Gaussian matching rule","present_processed_source"
"figure2_panel_c_state_readback_gain.csv","readback_and_coordinates","Figure 2c","Compares state and morphism gains with vocabulary readback proxies.","public repository","repository DOI/accession; gain definitions; normalization rule","present_processed_source"
"figure2_panel_d_model_specific_windows.csv","cross_model_windows","Figure 2d","Model-specific initialization-window table with topology, mechanism and downstream-coupling metrics.","public repository","repository DOI/accession; window-selection score; thresholds; layer-index convention","present_processed_source"
"figure2_panel_e_window_metrics.csv","cross_model_windows","Figure 2e","Aligned topology, mechanism and downstream-coupling window metrics.","public repository","repository DOI/accession; metric definitions; aggregation rule","present_processed_source"
"figure2_panel_f_pairwise_homology.csv","cross_model_windows","Figure 2f","Pairwise direction-isomorphism or homology comparison across model pairs.","public repository","repository DOI/accession; pairwise correlation definition; model mapping","present_processed_source"
"figure3_panel_a_deltaU_summary.csv","dominance_controls","Figure 3a","Delta U correlation, mechanism F1 and PC1 variance summaries.","public repository","repository DOI/accession; Delta U definition; candidate-label construction; model mapping","present_processed_source"
"figure3_panel_b_nonleak_controls.csv","dominance_controls","Figure 3b","Predecision non-leak controls for Delta U and mechanism metrics.","public repository","repository DOI/accession; non-leak window definition; split rule","present_processed_source"
"figure3_panel_c_nonR_windows.csv","dominance_controls","Figure 3c","Gemma non-R readback-flow windows across predecision, topology, mechanism and downstream segments.","public repository","repository DOI/accession; non-R label definition; window labels; layer-index convention","present_processed_source"
"figure3_panel_d_ua_band_control.csv","dominance_controls","Figure 3d","Auxiliary uncertainty/band control around dominance interpretation.","public repository","repository DOI/accession; band-control definition; metric formulas","present_processed_source"
"figure4_panel_a_morphism_ablation.csv","state_equation_and_residuals","Figure 4a","Morphism-coordinate ablation comparing state-only and state-morphism variants.","public repository","repository DOI/accession; feature definitions; split type; model hyperparameters","present_processed_source"
"figure4_panel_b_state_closure_baseline.csv","state_equation_and_residuals","Figure 4b","Baseline closure scores across simpler feature sets.","public repository","repository DOI/accession; baseline definitions; metric formulas","present_processed_source"
"figure4_panel_c_embedding_quality.csv","state_equation_and_residuals","Figure 4c","Embedding diagnostics for predicted geometry.","public repository","repository DOI/accession; centroid matching rule; distance metric","present_processed_source"
"figure4_panel_d_geodesic_bias_indices.csv","state_equation_and_residuals","Figure 4d","Geodesic-bias alignment, curvature and detour summaries.","public repository","repository DOI/accession; reference trajectory; control family; formula definitions","present_processed_source"
