prompt_id,graph_id,condition,mechanism,control,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_class,baseline_top1_token_id,baseline_margin,strict_conflict_to_clean,top1_changed,margin_shift,model
g000_clean,0,clean,stable,none,3816,8868,3816, Red,clean,1,3,1.0625,clean,3816,1.0625,False,False,0.0,llama
g000_redundant,0,redundant,stable,none,3816,8868,3816, Red,clean,1,3,0.9375,clean,3816,0.9375,False,False,0.0,llama
g000_irrelevant,0,irrelevant,stable,none,3816,8868,3816, Red,clean,1,3,0.90625,clean,3816,0.90625,False,False,0.0,llama
g000_paraphrase,0,paraphrase,stable,none,3816,8868,3816, Red,clean,1,2,0.546875,clean,3816,0.546875,False,False,0.0,llama
g000_weak_distractor,0,weak_distractor,competition,none,3816,8868,3816, Red,clean,1,3,1.234375,clean,3816,1.234375,False,False,0.0,llama
g000_competition_balanced,0,competition_balanced,competition,none,3816,8868,3816, Red,clean,1,3,0.890625,clean,3816,0.890625,False,False,0.0,llama
g000_direct_conflict,0,direct_conflict,competition,none,3816,8868,3816, Red,clean,1,2,0.953125,clean,3816,0.953125,False,False,0.0,llama
g000_closure_update,0,closure_update,closure,none,3816,8868,8868, Blue,conflict,2,1,-0.296875,conflict,8868,-0.296875,False,False,0.0,llama
g000_closure_override,0,closure_override,closure,none,3816,8868,3816, Red,clean,1,2,0.4375,clean,3816,0.4375,False,False,0.0,llama
g000_exception_override,0,exception_override,closure,none,3816,8868,8868, Blue,conflict,2,1,-0.46875,conflict,8868,-0.46875,False,False,0.0,llama
g004_clean,4,clean,stable,none,43640,15347,43640, Copper,clean,1,4,1.546875,clean,43640,1.546875,False,False,0.0,llama
g004_redundant,4,redundant,stable,none,43640,15347,43640, Copper,clean,1,3,1.515625,clean,43640,1.515625,False,False,0.0,llama
g004_irrelevant,4,irrelevant,stable,none,43640,15347,43640, Copper,clean,1,3,0.71875,clean,43640,0.71875,False,False,0.0,llama
g004_paraphrase,4,paraphrase,stable,none,43640,15347,43640, Copper,clean,1,2,1.9375,clean,43640,1.9375,False,False,0.0,llama
g004_weak_distractor,4,weak_distractor,competition,none,43640,15347,43640, Copper,clean,1,3,1.578125,clean,43640,1.578125,False,False,0.0,llama
g004_competition_balanced,4,competition_balanced,competition,none,43640,15347,43640, Copper,clean,1,3,0.859375,clean,43640,0.859375,False,False,0.0,llama
g004_direct_conflict,4,direct_conflict,competition,none,43640,15347,43640, Copper,clean,1,3,1.15625,clean,43640,1.15625,False,False,0.0,llama
g004_closure_update,4,closure_update,closure,none,43640,15347,43640, Copper,clean,1,4,0.421875,clean,43640,0.421875,False,False,0.0,llama
g004_closure_override,4,closure_override,closure,none,43640,15347,43640, Copper,clean,1,2,0.703125,clean,43640,0.703125,False,False,0.0,llama
g004_exception_override,4,exception_override,closure,none,43640,15347,15347, Silver,conflict,2,1,-0.015625,conflict,15347,-0.015625,False,False,0.0,llama
g009_clean,9,clean,stable,none,6460,4410,4410, West,conflict,6,1,-0.859375,conflict,4410,-0.859375,False,False,0.0,llama
g009_redundant,9,redundant,stable,none,6460,4410,4410, West,conflict,4,1,-1.015625,conflict,4410,-1.015625,False,False,0.0,llama
g009_irrelevant,9,irrelevant,stable,none,6460,4410,4410, West,conflict,2,1,-0.96875,conflict,4410,-0.96875,False,False,0.0,llama
g009_paraphrase,9,paraphrase,stable,none,6460,4410,6460, East,clean,1,2,0.515625,clean,6460,0.515625,False,False,0.0,llama
g009_weak_distractor,9,weak_distractor,competition,none,6460,4410,4410, West,conflict,2,1,-0.734375,conflict,4410,-0.734375,False,False,0.0,llama
g009_competition_balanced,9,competition_balanced,competition,none,6460,4410,4410, West,conflict,4,1,-0.953125,conflict,4410,-0.953125,False,False,0.0,llama
g009_direct_conflict,9,direct_conflict,competition,none,6460,4410,4410, West,conflict,3,1,-0.90625,conflict,4410,-0.90625,False,False,0.0,llama
g009_closure_update,9,closure_update,closure,none,6460,4410,4410, West,conflict,2,1,-2.046875,conflict,4410,-2.046875,False,False,0.0,llama
g009_closure_override,9,closure_override,closure,none,6460,4410,4410, West,conflict,2,1,-1.8125,conflict,4410,-1.8125,False,False,0.0,llama
g009_exception_override,9,exception_override,closure,none,6460,4410,4410, West,conflict,3,1,-1.765625,conflict,4410,-1.765625,False,False,0.0,llama
g010_clean,10,clean,stable,none,43640,15347,43640, Copper,clean,1,2,1.0703125,clean,43640,1.0703125,False,False,0.0,llama
g010_redundant,10,redundant,stable,none,43640,15347,43640, Copper,clean,1,2,1.234375,clean,43640,1.234375,False,False,0.0,llama
g010_irrelevant,10,irrelevant,stable,none,43640,15347,7573, Gold,other,2,3,0.0625,other,7573,0.0625,False,False,0.0,llama
g010_paraphrase,10,paraphrase,stable,none,43640,15347,43640, Copper,clean,1,2,1.59375,clean,43640,1.59375,False,False,0.0,llama
g010_weak_distractor,10,weak_distractor,competition,none,43640,15347,43640, Copper,clean,1,2,0.984375,clean,43640,0.984375,False,False,0.0,llama
g010_competition_balanced,10,competition_balanced,competition,none,43640,15347,43640, Copper,clean,1,2,0.921875,clean,43640,0.921875,False,False,0.0,llama
g010_direct_conflict,10,direct_conflict,competition,none,43640,15347,43640, Copper,clean,1,2,1.3125,clean,43640,1.3125,False,False,0.0,llama
