"model","null_id","strict_crossings","model_label"
"qwen",0,16,"Qwen"
"qwen",1,18,"Qwen"
"qwen",2,19,"Qwen"
"qwen",3,19,"Qwen"
"qwen",4,19,"Qwen"
"qwen",5,15,"Qwen"
"qwen",6,16,"Qwen"
"qwen",7,18,"Qwen"
"qwen",8,18,"Qwen"
"qwen",9,15,"Qwen"
"qwen",10,18,"Qwen"
"qwen",11,19,"Qwen"
"qwen",12,17,"Qwen"
"qwen",13,18,"Qwen"
"qwen",14,20,"Qwen"
"qwen",15,16,"Qwen"
"qwen",16,18,"Qwen"
"qwen",17,17,"Qwen"
"qwen",18,18,"Qwen"
"qwen",19,18,"Qwen"
"qwen",20,17,"Qwen"
"qwen",21,19,"Qwen"
"qwen",22,19,"Qwen"
"qwen",23,16,"Qwen"
"qwen",24,17,"Qwen"
"qwen",25,16,"Qwen"
"qwen",26,18,"Qwen"
"qwen",27,18,"Qwen"
"qwen",28,17,"Qwen"
"qwen",29,18,"Qwen"
"qwen",30,18,"Qwen"
"qwen",31,17,"Qwen"
"qwen",32,19,"Qwen"
"qwen",33,18,"Qwen"
"qwen",34,18,"Qwen"
"qwen",35,18,"Qwen"
"qwen",36,15,"Qwen"
"qwen",37,19,"Qwen"
"qwen",38,18,"Qwen"
"qwen",39,18,"Qwen"
"qwen",40,16,"Qwen"
"qwen",41,17,"Qwen"
"qwen",42,18,"Qwen"
"qwen",43,16,"Qwen"
"qwen",44,19,"Qwen"
"qwen",45,17,"Qwen"
"qwen",46,19,"Qwen"
"qwen",47,17,"Qwen"
"qwen",48,19,"Qwen"
"qwen",49,19,"Qwen"
"llama",0,14,"Llama"
"llama",1,13,"Llama"
"llama",2,12,"Llama"
"llama",3,13,"Llama"
"llama",4,15,"Llama"
"llama",5,14,"Llama"
"llama",6,13,"Llama"
"llama",7,13,"Llama"
"llama",8,14,"Llama"
"llama",9,15,"Llama"
"llama",10,15,"Llama"
"llama",11,13,"Llama"
"llama",12,15,"Llama"
"llama",13,12,"Llama"
"llama",14,15,"Llama"
"llama",15,16,"Llama"
"llama",16,15,"Llama"
"llama",17,14,"Llama"
"llama",18,14,"Llama"
"llama",19,14,"Llama"
"llama",20,14,"Llama"
"llama",21,13,"Llama"
"llama",22,13,"Llama"
"llama",23,16,"Llama"
"llama",24,14,"Llama"
"llama",25,16,"Llama"
"llama",26,15,"Llama"
"llama",27,15,"Llama"
"llama",28,13,"Llama"
"llama",29,14,"Llama"
"llama",30,15,"Llama"
"llama",31,13,"Llama"
"llama",32,15,"Llama"
"llama",33,14,"Llama"
"llama",34,15,"Llama"
"llama",35,16,"Llama"
"llama",36,14,"Llama"
"llama",37,15,"Llama"
"llama",38,12,"Llama"
"llama",39,12,"Llama"
"llama",40,15,"Llama"
"llama",41,15,"Llama"
"llama",42,13,"Llama"
"llama",43,15,"Llama"
"llama",44,14,"Llama"
"llama",45,15,"Llama"
"llama",46,16,"Llama"
"llama",47,15,"Llama"
"llama",48,15,"Llama"
"llama",49,13,"Llama"
"gemma",0,8,"Gemma"
"gemma",1,8,"Gemma"
"gemma",2,8,"Gemma"
"gemma",3,9,"Gemma"
"gemma",4,10,"Gemma"
"gemma",5,8,"Gemma"
"gemma",6,8,"Gemma"
"gemma",7,8,"Gemma"
"gemma",8,8,"Gemma"
"gemma",9,7,"Gemma"
"gemma",10,9,"Gemma"
"gemma",11,8,"Gemma"
"gemma",12,8,"Gemma"
"gemma",13,9,"Gemma"
"gemma",14,8,"Gemma"
"gemma",15,6,"Gemma"
"gemma",16,8,"Gemma"
"gemma",17,9,"Gemma"
"gemma",18,8,"Gemma"
"gemma",19,7,"Gemma"
"gemma",20,8,"Gemma"
"gemma",21,7,"Gemma"
"gemma",22,8,"Gemma"
"gemma",23,9,"Gemma"
"gemma",24,8,"Gemma"
"gemma",25,7,"Gemma"
"gemma",26,7,"Gemma"
"gemma",27,9,"Gemma"
"gemma",28,7,"Gemma"
"gemma",29,8,"Gemma"
"gemma",30,9,"Gemma"
"gemma",31,7,"Gemma"
"gemma",32,8,"Gemma"
"gemma",33,10,"Gemma"
"gemma",34,9,"Gemma"
"gemma",35,7,"Gemma"
"gemma",36,9,"Gemma"
"gemma",37,6,"Gemma"
"gemma",38,8,"Gemma"
"gemma",39,8,"Gemma"
"gemma",40,8,"Gemma"
"gemma",41,7,"Gemma"
"gemma",42,7,"Gemma"
"gemma",43,8,"Gemma"
"gemma",44,7,"Gemma"
"gemma",45,7,"Gemma"
"gemma",46,7,"Gemma"
"gemma",47,7,"Gemma"
"gemma",48,7,"Gemma"
"gemma",49,9,"Gemma"
