"condition_label","mechanism_label","n_prompts","model_coverage","source_evidence","final_status"
"clean","stable","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"closure_override","closure","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"closure_update","closure","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"competition_balanced","competition","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"direct_conflict","competition","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"equal_evidence","competition","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"exception_override","closure","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"irrelevant","stable","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"paraphrase","stable","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"rename","stable","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"source_claim","source_ambiguity","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
"weak_distractor","stable_shift","8","Qwen;Llama;Gemma","opa1b_prompt_inventory.csv","prompt text present; condition ontology to align with highdim labels before submission"
