"prompt_id","group_id","graph_id","condition","mechanism","mechanism_y","phase_y"
"opa1a_cm_g000_clean","0","0","clean","stable","0","0"
"opa1a_cm_g000_rename","0","0","rename","stable","0","0"
"opa1a_cm_g000_paraphrase","0","0","paraphrase","stable","0","0"
"opa1a_cm_g000_irrelevant","0","0","irrelevant","stable","0","0"
"opa1a_cm_g000_weak_distractor","0","0","weak_distractor","stable_shift","0","0"
"opa1a_cm_g000_competition_balanced","0","0","competition_balanced","competition","1","1"
"opa1a_cm_g000_direct_conflict","0","0","direct_conflict","competition","1","1"
"opa1a_cm_g000_closure_update","0","0","closure_update","closure","2","2"
"opa1a_cm_g000_closure_override","0","0","closure_override","closure","2","2"
"opa1a_cm_g000_exception_override","0","0","exception_override","closure","2","2"
"opa1a_cm_g000_source_claim","0","0","source_claim","source_ambiguity","1","1"
"opa1a_cm_g000_equal_evidence","0","0","equal_evidence","competition","1","1"
"opa1a_cm_g001_clean","1","1","clean","stable","0","0"
"opa1a_cm_g001_rename","1","1","rename","stable","0","0"
"opa1a_cm_g001_paraphrase","1","1","paraphrase","stable","0","0"
"opa1a_cm_g001_irrelevant","1","1","irrelevant","stable","0","0"
"opa1a_cm_g001_weak_distractor","1","1","weak_distractor","stable_shift","0","0"
"opa1a_cm_g001_competition_balanced","1","1","competition_balanced","competition","1","1"
"opa1a_cm_g001_direct_conflict","1","1","direct_conflict","competition","1","1"
"opa1a_cm_g001_closure_update","1","1","closure_update","closure","2","2"
"opa1a_cm_g001_closure_override","1","1","closure_override","closure","2","2"
"opa1a_cm_g001_exception_override","1","1","exception_override","closure","2","2"
"opa1a_cm_g001_source_claim","1","1","source_claim","source_ambiguity","1","1"
"opa1a_cm_g001_equal_evidence","1","1","equal_evidence","competition","1","1"
"opa1a_cm_g002_clean","2","2","clean","stable","0","0"
"opa1a_cm_g002_rename","2","2","rename","stable","0","0"
"opa1a_cm_g002_paraphrase","2","2","paraphrase","stable","0","0"
