prompt_id,mechanism,best_action_label,best_alpha,best_beta,best_shift,best_abs_shift
g001_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g001_closure_override,closure,a0.3_b0.3,0.3,0.3,3.59489369392395,3.59489369392395
g001_closure_update,closure,a0.3_b0.3,0.3,0.3,2.737745761871338,2.737745761871338
g001_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g001_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.018707752227783203,0.018707752227783203
g001_exception_override,closure,a0.3_b0.3,0.3,0.3,3.956425189971924,3.956425189971924
g001_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.02994835376739502,0.02994835376739502
g001_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.011546134948730469,0.011546134948730469
g001_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g001_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g002_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g002_closure_override,closure,a0.3_b0.3,0.3,0.3,2.684591054916382,2.684591054916382
g002_closure_update,closure,a0.3_b0.3,0.3,0.3,2.819154977798462,2.819154977798462
g002_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g002_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.017501354217529297,0.017501354217529297
g002_exception_override,closure,a0.3_b0.3,0.3,0.3,2.5912468433380127,2.5912468433380127
g002_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.010289192199707031,0.010289192199707031
g002_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0015649795532226562,0.0015649795532226562
g002_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g002_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g003_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g003_closure_override,closure,a0.3_b0.3,0.3,0.3,1.8618173599243164,1.8618173599243164
g003_closure_update,closure,a0.3_b0.3,0.3,0.3,2.85998272895813,2.85998272895813
g003_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g003_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.053597450256347656,0.053597450256347656
g003_exception_override,closure,a0.3_b0.3,0.3,0.3,2.3645987510681152,2.3645987510681152
g003_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.00551605224609375,0.00551605224609375
g003_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.028909683227539062,0.028909683227539062
g003_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g003_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_closure_override,closure,a0.3_b0.3,0.3,0.3,3.69624924659729,3.69624924659729
g005_closure_update,closure,a0.3_b0.3,0.3,0.3,3.577199697494507,3.577199697494507
g005_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_exception_override,closure,a0.3_b0.3,0.3,0.3,5.872772455215454,5.872772455215454
g005_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_closure_override,closure,a0.3_b0.3,0.3,0.3,3.171800374984741,3.171800374984741
g006_closure_update,closure,a0.3_b0.3,0.3,0.3,0.5343494415283203,0.5343494415283203
g006_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_exception_override,closure,a0.3_b0.3,0.3,0.3,4.923318266868591,4.923318266868591
g006_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
