task,representation,prompt_id,metric,value
relation_graph,direction_only,relation_g000_clean,future_alignment,-0.22865399718284607
relation_graph,direction_only,relation_g000_closure_override,future_alignment,-0.22678939998149872
relation_graph,direction_only,relation_g000_closure_update,future_alignment,-0.22602799534797668
relation_graph,direction_only,relation_g000_competition_balanced,future_alignment,-0.22990794479846954
relation_graph,direction_only,relation_g000_direct_conflict,future_alignment,-0.22598998248577118
relation_graph,direction_only,relation_g000_equal_evidence,future_alignment,-0.22984719276428223
relation_graph,direction_only,relation_g000_exception_override,future_alignment,-0.22935140132904053
relation_graph,direction_only,relation_g000_irrelevant,future_alignment,-0.22428825497627258
relation_graph,direction_only,relation_g000_paraphrase,future_alignment,-0.22407124936580658
relation_graph,direction_only,relation_g000_rename,future_alignment,-0.22896654903888702
relation_graph,direction_only,relation_g000_source_claim,future_alignment,-0.23550383746623993
relation_graph,direction_only,relation_g000_weak_distractor,future_alignment,-0.22820565104484558
relation_graph,direction_only,relation_g002_clean,future_alignment,-0.22785842418670654
relation_graph,direction_only,relation_g002_closure_override,future_alignment,-0.22738270461559296
relation_graph,direction_only,relation_g002_closure_update,future_alignment,-0.22383233904838562
relation_graph,direction_only,relation_g002_competition_balanced,future_alignment,-0.22639770805835724
relation_graph,direction_only,relation_g002_direct_conflict,future_alignment,-0.225896954536438
relation_graph,direction_only,relation_g002_equal_evidence,future_alignment,-0.22515319287776947
relation_graph,direction_only,relation_g002_exception_override,future_alignment,-0.22820569574832916
relation_graph,direction_only,relation_g002_irrelevant,future_alignment,-0.22402308881282806
relation_graph,direction_only,relation_g002_paraphrase,future_alignment,-0.22298848628997803
relation_graph,direction_only,relation_g002_rename,future_alignment,-0.2294769585132599
relation_graph,direction_only,relation_g002_source_claim,future_alignment,-0.23188059031963348
relation_graph,direction_only,relation_g002_weak_distractor,future_alignment,-0.2280282825231552
relation_graph,direction_only,relation_g015_clean,future_alignment,-0.22206999361515045
relation_graph,direction_only,relation_g015_closure_override,future_alignment,-0.22303101420402527
relation_graph,direction_only,relation_g015_closure_update,future_alignment,-0.21887686848640442
relation_graph,direction_only,relation_g015_competition_balanced,future_alignment,-0.22278091311454773
relation_graph,direction_only,relation_g015_direct_conflict,future_alignment,-0.2213081419467926
relation_graph,direction_only,relation_g015_equal_evidence,future_alignment,-0.22119329869747162
relation_graph,direction_only,relation_g015_exception_override,future_alignment,-0.22480173408985138
relation_graph,direction_only,relation_g015_irrelevant,future_alignment,-0.22027726471424103
relation_graph,direction_only,relation_g015_paraphrase,future_alignment,-0.21811862289905548
relation_graph,direction_only,relation_g015_rename,future_alignment,-0.22527770698070526
relation_graph,direction_only,relation_g015_source_claim,future_alignment,-0.2249344438314438
relation_graph,direction_only,relation_g015_weak_distractor,future_alignment,-0.2237141877412796
relation_graph,direction_only,relation_g023_clean,future_alignment,-0.22645248472690582
relation_graph,direction_only,relation_g023_closure_override,future_alignment,-0.22556836903095245
relation_graph,direction_only,relation_g023_closure_update,future_alignment,-0.22250185906887054
relation_graph,direction_only,relation_g023_competition_balanced,future_alignment,-0.22244592010974884
relation_graph,direction_only,relation_g023_direct_conflict,future_alignment,-0.2228172868490219
relation_graph,direction_only,relation_g023_equal_evidence,future_alignment,-0.22379933297634125
relation_graph,direction_only,relation_g023_exception_override,future_alignment,-0.22702336311340332
relation_graph,direction_only,relation_g023_irrelevant,future_alignment,-0.22163189947605133
relation_graph,direction_only,relation_g023_paraphrase,future_alignment,-0.2234696000814438
relation_graph,direction_only,relation_g023_rename,future_alignment,-0.22869734466075897
relation_graph,direction_only,relation_g023_source_claim,future_alignment,-0.22517015039920807
relation_graph,direction_only,relation_g023_weak_distractor,future_alignment,-0.2276964634656906
relation_graph,direction_only,relation_g025_clean,future_alignment,-0.22609399259090424
relation_graph,direction_only,relation_g025_closure_override,future_alignment,-0.22435994446277618
relation_graph,direction_only,relation_g025_closure_update,future_alignment,-0.21839673817157745
relation_graph,direction_only,relation_g025_competition_balanced,future_alignment,-0.22347451746463776
relation_graph,direction_only,relation_g025_direct_conflict,future_alignment,-0.22295989096164703
relation_graph,direction_only,relation_g025_equal_evidence,future_alignment,-0.22968141734600067
relation_graph,direction_only,relation_g025_exception_override,future_alignment,-0.22657959163188934
relation_graph,direction_only,relation_g025_irrelevant,future_alignment,-0.2207150012254715
relation_graph,direction_only,relation_g025_paraphrase,future_alignment,-0.21962212026119232
relation_graph,direction_only,relation_g025_rename,future_alignment,-0.22429752349853516
relation_graph,direction_only,relation_g025_source_claim,future_alignment,-0.23003509640693665
relation_graph,direction_only,relation_g025_weak_distractor,future_alignment,-0.2252175658941269
relation_graph,direction_only,relation_g026_clean,future_alignment,-0.22527991235256195
relation_graph,direction_only,relation_g026_closure_override,future_alignment,-0.22628925740718842
relation_graph,direction_only,relation_g026_closure_update,future_alignment,-0.22231462597846985
relation_graph,direction_only,relation_g026_competition_balanced,future_alignment,-0.22485004365444183
relation_graph,direction_only,relation_g026_direct_conflict,future_alignment,-0.22479192912578583
relation_graph,direction_only,relation_g026_equal_evidence,future_alignment,-0.2254490703344345
relation_graph,direction_only,relation_g026_exception_override,future_alignment,-0.22882679104804993
relation_graph,direction_only,relation_g026_irrelevant,future_alignment,-0.22123874723911285
relation_graph,direction_only,relation_g026_paraphrase,future_alignment,-0.22301895916461945
relation_graph,direction_only,relation_g026_rename,future_alignment,-0.22858048975467682
relation_graph,direction_only,relation_g026_source_claim,future_alignment,-0.22732268273830414
relation_graph,direction_only,relation_g026_weak_distractor,future_alignment,-0.2244340032339096
relation_graph,direction_only,relation_g051_clean,future_alignment,-0.22614865005016327
relation_graph,direction_only,relation_g051_closure_override,future_alignment,-0.22486047446727753
relation_graph,direction_only,relation_g051_closure_update,future_alignment,-0.2219115048646927
relation_graph,direction_only,relation_g051_competition_balanced,future_alignment,-0.22606699168682098
relation_graph,direction_only,relation_g051_direct_conflict,future_alignment,-0.22423867881298065
relation_graph,direction_only,relation_g051_equal_evidence,future_alignment,-0.2241240292787552
relation_graph,direction_only,relation_g051_exception_override,future_alignment,-0.2266608029603958
relation_graph,direction_only,relation_g051_irrelevant,future_alignment,-0.2231614589691162
relation_graph,direction_only,relation_g051_paraphrase,future_alignment,-0.22132191061973572
relation_graph,direction_only,relation_g051_rename,future_alignment,-0.2271566092967987
relation_graph,direction_only,relation_g051_source_claim,future_alignment,-0.22751353681087494
relation_graph,direction_only,relation_g051_weak_distractor,future_alignment,-0.22720149159431458
relation_graph,direction_only,relation_g063_clean,future_alignment,-0.22394278645515442
relation_graph,direction_only,relation_g063_closure_override,future_alignment,-0.22580553591251373
relation_graph,direction_only,relation_g063_closure_update,future_alignment,-0.22106583416461945
relation_graph,direction_only,relation_g063_competition_balanced,future_alignment,-0.2235259711742401
relation_graph,direction_only,relation_g063_direct_conflict,future_alignment,-0.22343704104423523
relation_graph,direction_only,relation_g063_equal_evidence,future_alignment,-0.2224508821964264
relation_graph,direction_only,relation_g063_exception_override,future_alignment,-0.22753499448299408
relation_graph,direction_only,relation_g063_irrelevant,future_alignment,-0.22425183653831482
relation_graph,direction_only,relation_g063_paraphrase,future_alignment,-0.22110693156719208
relation_graph,direction_only,relation_g063_rename,future_alignment,-0.22411227226257324
relation_graph,direction_only,relation_g063_source_claim,future_alignment,-0.22626185417175293
relation_graph,direction_only,relation_g063_weak_distractor,future_alignment,-0.2250697761774063
relation_graph,direction_only,relation_g000_clean,leave_one_out_alignment,-0.3884480595588684
relation_graph,direction_only,relation_g000_closure_override,leave_one_out_alignment,-0.3827901780605316
relation_graph,direction_only,relation_g000_closure_update,leave_one_out_alignment,-0.3838915228843689
relation_graph,direction_only,relation_g000_competition_balanced,leave_one_out_alignment,-0.3899678885936737
relation_graph,direction_only,relation_g000_direct_conflict,leave_one_out_alignment,-0.38384339213371277
relation_graph,direction_only,relation_g000_equal_evidence,leave_one_out_alignment,-0.3867865204811096
relation_graph,direction_only,relation_g000_exception_override,leave_one_out_alignment,-0.38580289483070374
relation_graph,direction_only,relation_g000_irrelevant,leave_one_out_alignment,-0.38251304626464844
relation_graph,direction_only,relation_g000_paraphrase,leave_one_out_alignment,-0.386025995016098
relation_graph,direction_only,relation_g000_rename,leave_one_out_alignment,-0.3896719813346863
relation_graph,direction_only,relation_g000_source_claim,leave_one_out_alignment,-0.3973274528980255
relation_graph,direction_only,relation_g000_weak_distractor,leave_one_out_alignment,-0.38590207695961
relation_graph,direction_only,relation_g002_clean,leave_one_out_alignment,-0.38728079199790955
relation_graph,direction_only,relation_g002_closure_override,leave_one_out_alignment,-0.38383251428604126
relation_graph,direction_only,relation_g002_closure_update,leave_one_out_alignment,-0.3809971511363983
relation_graph,direction_only,relation_g002_competition_balanced,leave_one_out_alignment,-0.38504359126091003
relation_graph,direction_only,relation_g002_direct_conflict,leave_one_out_alignment,-0.384269118309021
relation_graph,direction_only,relation_g002_equal_evidence,leave_one_out_alignment,-0.3837454617023468
relation_graph,direction_only,relation_g002_exception_override,leave_one_out_alignment,-0.38454094529151917
relation_graph,direction_only,relation_g002_irrelevant,leave_one_out_alignment,-0.3840601146221161
relation_graph,direction_only,relation_g002_paraphrase,leave_one_out_alignment,-0.3845210075378418
relation_graph,direction_only,relation_g002_rename,leave_one_out_alignment,-0.38952362537384033
relation_graph,direction_only,relation_g002_source_claim,leave_one_out_alignment,-0.39228689670562744
relation_graph,direction_only,relation_g002_weak_distractor,leave_one_out_alignment,-0.3863537609577179
relation_graph,direction_only,relation_g015_clean,leave_one_out_alignment,-0.37916696071624756
relation_graph,direction_only,relation_g015_closure_override,leave_one_out_alignment,-0.3773333728313446
relation_graph,direction_only,relation_g015_closure_update,leave_one_out_alignment,-0.37416425347328186
relation_graph,direction_only,relation_g015_competition_balanced,leave_one_out_alignment,-0.37951743602752686
relation_graph,direction_only,relation_g015_direct_conflict,leave_one_out_alignment,-0.3777279853820801
relation_graph,direction_only,relation_g015_equal_evidence,leave_one_out_alignment,-0.376975953578949
