prompt_id,graph_id,condition,mechanism,control,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_token_id,baseline_top1_class,baseline_margin,strict_conflict_to_clean,nonclosure_top1_changed,margin_shift,model,random_seed
g000_clean,0,clean,stable,structured_guarded,4075,7640,5231, **,other,2,3,2.234375,5231,other,2.234375,False,False,0.0,gemma,
g000_redundant,0,redundant,stable,structured_guarded,4075,7640,5231, **,other,2,3,1.9609375,5231,other,1.9609375,False,False,0.0,gemma,
g000_irrelevant,0,irrelevant,stable,structured_guarded,4075,7640,5231, **,other,2,4,2.609375,5231,other,2.609375,False,False,0.0,gemma,
g000_paraphrase,0,paraphrase,stable,structured_guarded,4075,7640,5231, **,other,2,3,0.7734375,5231,other,0.7734375,False,False,0.0,gemma,
g000_weak_distractor,0,weak_distractor,competition,structured_guarded,4075,7640,5231, **,other,2,3,2.015625,5231,other,2.015625,False,False,0.0,gemma,
g000_competition_balanced,0,competition_balanced,competition,structured_guarded,4075,7640,5231, **,other,2,3,2.015625,5231,other,2.015625,False,False,0.0,gemma,
g000_direct_conflict,0,direct_conflict,competition,structured_guarded,4075,7640,5231, **,other,2,3,1.0234375,5231,other,1.0234375,False,False,0.0,gemma,
g000_closure_update,0,closure_update,closure,structured_guarded,4075,7640,5231, **,other,2,3,0.9453125,5231,other,0.859375,False,False,0.0859375,gemma,
g000_closure_override,0,closure_override,closure,structured_guarded,4075,7640,5231, **,other,3,2,-0.75,5231,other,-2.03125,False,False,1.28125,gemma,
g000_exception_override,0,exception_override,closure,structured_guarded,4075,7640,5231, **,other,3,2,-0.578125,5231,other,-2.7578125,False,False,2.1796875,gemma,
g004_clean,4,clean,stable,structured_guarded,38315,15934,38315, Copper,clean,1,3,1.9296875,38315,clean,1.9296875,False,False,0.0,gemma,
g004_redundant,4,redundant,stable,structured_guarded,38315,15934,5231, **,other,2,3,1.203125,5231,other,1.203125,False,False,0.0,gemma,
g004_irrelevant,4,irrelevant,stable,structured_guarded,38315,15934,38315, Copper,clean,1,3,2.7734375,38315,clean,2.7734375,False,False,0.0,gemma,
g004_paraphrase,4,paraphrase,stable,structured_guarded,38315,15934,38315, Copper,clean,1,3,1.328125,38315,clean,1.328125,False,False,0.0,gemma,
g004_weak_distractor,4,weak_distractor,competition,structured_guarded,38315,15934,5231, **,other,1,3,2.546875,5231,other,2.546875,False,False,0.0,gemma,
g004_competition_balanced,4,competition_balanced,competition,structured_guarded,38315,15934,38315, Copper,clean,1,3,3.375,38315,clean,3.375,False,False,0.0,gemma,
g004_direct_conflict,4,direct_conflict,competition,structured_guarded,38315,15934,5231, **,other,2,3,2.4140625,5231,other,2.4140625,False,False,0.0,gemma,
g004_closure_update,4,closure_update,closure,structured_guarded,38315,15934,5231, **,other,2,3,2.4765625,5231,other,2.4765625,False,False,0.0,gemma,
g004_closure_override,4,closure_override,closure,structured_guarded,38315,15934,38315, Copper,clean,1,3,2.4140625,38315,clean,0.1875,False,False,2.2265625,gemma,
g004_exception_override,4,exception_override,closure,structured_guarded,38315,15934,38315, Copper,clean,1,3,2.0703125,5231,other,-0.734375,False,True,2.8046875,gemma,
g009_clean,9,clean,stable,structured_guarded,5571,4589,5571, East,clean,1,6,4.0625,5571,clean,4.0625,False,False,0.0,gemma,
g009_redundant,9,redundant,stable,structured_guarded,5571,4589,5231, **,other,2,6,3.921875,5231,other,3.921875,False,False,0.0,gemma,
g009_irrelevant,9,irrelevant,stable,structured_guarded,5571,4589,5571, East,clean,1,6,4.8984375,5571,clean,4.8984375,False,False,0.0,gemma,
g009_paraphrase,9,paraphrase,stable,structured_guarded,5571,4589,5231, **,other,2,7,2.2265625,5231,other,2.2265625,False,False,0.0,gemma,
g009_weak_distractor,9,weak_distractor,competition,structured_guarded,5571,4589,5231, **,other,2,7,5.0078125,5231,other,5.0078125,False,False,0.0,gemma,
g009_competition_balanced,9,competition_balanced,competition,structured_guarded,5571,4589,5231, **,other,2,4,3.53125,5231,other,3.53125,False,False,0.0,gemma,
g009_direct_conflict,9,direct_conflict,competition,structured_guarded,5571,4589,5231, **,other,2,4,3.4296875,5231,other,3.4296875,False,False,0.0,gemma,
g009_closure_update,9,closure_update,closure,structured_guarded,5571,4589,5231, **,other,2,3,2.875,5231,other,2.875,False,False,0.0,gemma,
g009_closure_override,9,closure_override,closure,structured_guarded,5571,4589,5231, **,other,2,3,0.140625,5231,other,0.21875,False,False,-0.078125,gemma,
g009_exception_override,9,exception_override,closure,structured_guarded,5571,4589,5231, **,other,2,3,1.3046875,5231,other,0.0703125,False,False,1.234375,gemma,
g010_clean,10,clean,stable,structured_guarded,38315,15934,38315, Copper,clean,1,3,2.75,38315,clean,2.75,False,False,0.0,gemma,
g010_redundant,10,redundant,stable,structured_guarded,38315,15934,5231, **,other,2,3,2.109375,5231,other,2.109375,False,False,0.0,gemma,
g010_irrelevant,10,irrelevant,stable,structured_guarded,38315,15934,38315, Copper,clean,1,4,3.84375,38315,clean,3.84375,False,False,0.0,gemma,
g010_paraphrase,10,paraphrase,stable,structured_guarded,38315,15934,5231, **,other,2,4,2.1875,5231,other,2.1875,False,False,0.0,gemma,
g010_weak_distractor,10,weak_distractor,competition,structured_guarded,38315,15934,5231, **,other,2,3,3.2734375,5231,other,3.2734375,False,False,0.0,gemma,
g010_competition_balanced,10,competition_balanced,competition,structured_guarded,38315,15934,38315, Copper,clean,1,4,3.859375,38315,clean,3.859375,False,False,0.0,gemma,
g010_direct_conflict,10,direct_conflict,competition,structured_guarded,38315,15934,5231, **,other,2,3,3.1484375,5231,other,3.1484375,False,False,0.0,gemma,
g010_closure_update,10,closure_update,closure,structured_guarded,38315,15934,5231, **,other,2,4,3.296875,5231,other,3.296875,False,False,0.0,gemma,
g010_closure_override,10,closure_override,closure,structured_guarded,38315,15934,38315, Copper,clean,1,3,1.8359375,5231,other,-0.3828125,False,True,2.21875,gemma,
