prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text,R_L19,R_L20,R_L21,R_L22,R_L23,R_L24,R_L25,dR_L19,dR_L20,dR_L21,dR_L22,dR_L23,dR_L24,dR_L25,DeltaU
g000_clean,0,0,0,clean,clean,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.2404435,1.2496017,1.7293558,2.8726797,2.8308449,2.0663328,6.310133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8346574
g000_rename,0,0,0,rename,relation_preserving,stable,Red,Blue,Green,"Consider a tiny mapping network.
Link one: Ava belongs to Bela.
Link two: Bela is located at Red.
Choose the label reached from Ava: Red or Blue.
One word answer:",1.189846,1.4372017,2.037596,4.2259817,4.7434707,4.7277017,7.8439226,-0.05059743,0.18760002,0.30824018,1.353302,1.9126258,2.6613688,1.5337896,6.6653776
g000_permuted,0,0,0,permuted,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 2: Bela is located at Red.
Fact 1: Ava belongs to Bela.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.4827268,1.5603919,2.112397,2.8286166,3.0625782,2.5108643,6.933998,0.24228334,0.31079018,0.38304114,-0.04406309,0.23173332,0.44453144,0.6238651,3.5662987
g000_redundant,0,0,0,redundant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.0157254,0.7126583,2.1586103,3.987846,3.8844657,3.2572107,7.375151,-0.2247181,-0.53694344,0.42925453,1.1151662,1.0536208,1.1908779,1.0650182,5.0176353
g000_irrelevant,0,0,0,irrelevant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.1558425,1.5707779,1.9898448,3.0406632,3.0896902,1.4940262,5.935134,-0.084600925,0.32117617,0.260489,0.16798353,0.25884533,-0.57230663,-0.37499905,2.542708
g000_paraphrase,0,0,0,paraphrase,relation_preserving,stable,Red,Blue,Green,"In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:",3.2646852,3.459014,3.8425136,6.915041,7.5988464,6.910283,10.474767,2.0242417,2.209412,2.1131577,4.0423613,4.7680016,4.8439503,4.1646338,12.042465
g000_weak_distractor,0,0,0,weak_distractor,structure_changing,stable_shift,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Weak note: some unrelated source mentions Blue, but does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.4236883,1.7882324,2.3708057,3.7120914,3.1605887,3.0760508,7.6878757,0.18324482,0.5386307,0.6414499,0.83941174,0.32974386,1.009718,1.3777428,4.709728
g000_competition_balanced,0,0,0,competition_balanced,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Competing fact: Ava is also associated with Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.4853112,1.1575253,1.8807477,-0.41548157,-1.2348418,-0.96318626,3.9277658,0.24486768,-0.09207642,0.15139186,-3.2881613,-4.0656867,-3.029519,-2.3823671,-3.3860357
g000_direct_conflict,0,0,0,direct_conflict,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Direct conflicting fact: Ava is located at Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.668951,1.6058192,2.4275994,0.3602252,-1.0568285,-0.03743744,4.908363,0.42850757,0.3562175,0.6982436,-2.5124545,-3.8876734,-2.1037703,-1.4017701,-1.8744586
g000_closure_update,0,0,0,closure_update,structure_changing,closure,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela is located at Red.
Updated record: Bela is located at Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.7878466,1.400952,1.6956532,-1.0207555,-2.0637689,-2.3163543,2.3298807,0.5474031,0.15135026,-0.033702612,-3.8934352,-4.8946137,-4.382687,-3.9802523,-5.6227436
