prompt_index,problem_id,category,clean_label,conflict_label,clean_token_id,conflict_token_id,candidate_margin,pair_correct,top1_token_id,top1_token,condition,E,B,N,W
0,0,colour,Red,North,4410,3729,0.51220703125,True,42364,ート,0000,0,0,0,0
1,1,direction,North,Silver,3729,16309,1.322265625,True,42364,ート,0000,0,0,0,0
2,3,shape,Circle,Ocean,29572,17323,-2.298828125,False,2438, aff,0000,0,0,0,0
3,4,landscape feature,River,Sun,7121,4146,0.1728515625,True,37706,uggling,0000,0,0,0,0
4,5,sky object,Sun,Orange,4146,21491,-0.1453857421875,False,24825, jets,0000,0,0,0,0
5,6,fruit,Apple,Green,8217,6115,-0.117431640625,False,24825, jets,0000,0,0,0,0
6,8,direction,South,Square,3684,15894,2.423828125,True,42364,ート,0000,0,0,0,0
7,9,metal,Silver,Forest,16309,16015,-0.7646484375,False,24825, jets,0000,0,0,0,0
8,10,shape,Square,Star,15894,8141,-1.54296875,False,478,iz,0000,0,0,0,0
9,11,landscape feature,Mountain,Apple,15939,8217,0.724609375,True,27057, Solid,0000,0,0,0,0
10,12,sky object,Moon,Blue,16363,10063,-0.5400390625,False,24825, jets,0000,0,0,0,0
11,13,fruit,Orange,East,21491,5791,0.833984375,True,45131, deductions,0000,0,0,0,0
12,14,colour,Green,Circle,6115,29572,0.857421875,True,14377,有,0000,0,0,0,0
13,15,direction,East,Mountain,5791,15939,-2.056640625,False,24825, jets,0000,0,0,0,0
14,16,metal,Gold,Cloud,7284,18189,-0.019775390625,False,24825, jets,0000,0,0,0,0
15,18,landscape feature,Forest,Red,16015,4410,-0.91064453125,False,45131, deductions,0000,0,0,0,0
16,19,sky object,Cloud,South,18189,3684,0.210693359375,True,42364,ート,0000,0,0,0,0
17,20,fruit,Lemon,Gold,44513,7284,0.18603515625,True,45131, deductions,0000,0,0,0,0
18,21,colour,Yellow,River,25056,7121,-0.361328125,False,42364,ート,0000,0,0,0,0
19,22,direction,West,Moon,4255,16363,0.828125,True,42364,ート,0000,0,0,0,0
20,23,metal,Iron,Lemon,17826,44513,-0.82568359375,False,24825, jets,0000,0,0,0,0
21,24,shape,Star,Yellow,8141,25056,-0.41357421875,False,5605, wants,0000,0,0,0,0
22,25,landscape feature,Ocean,North,17323,3729,0.083740234375,True,37706,uggling,0000,0,0,0,0
23,26,sky object,Star,Silver,8141,16309,-0.1376953125,False,24825, jets,0000,0,0,0,0
24,28,colour,Red,Sun,4410,4146,0.35888671875,True,42364,ート,0000,0,0,0,0
25,29,direction,North,Orange,3729,21491,-0.04443359375,False,42364,ート,0000,0,0,0,0
26,31,shape,Circle,West,29572,4255,-1.8359375,False,2438, aff,0000,0,0,0,0
27,33,sky object,Sun,Square,4146,15894,1.904296875,True,24825, jets,0000,0,0,0,0
28,34,fruit,Apple,Forest,8217,16015,0.305908203125,True,24825, jets,0000,0,0,0,0
29,35,colour,Blue,Apple,10063,8217,0.211181640625,True,15518,"
                  ",0000,0,0,0,0
30,36,direction,South,Blue,3684,10063,-0.430908203125,False,42364,ート,0000,0,0,0,0
31,37,metal,Silver,East,16309,5791,0.80224609375,True,24825, jets,0000,0,0,0,0
32,38,shape,Square,Iron,15894,17826,-1.7353515625,False,478,iz,0000,0,0,0,0
33,39,landscape feature,Mountain,Circle,15939,29572,1.8896484375,True,27057, Solid,0000,0,0,0,0
34,40,sky object,Moon,Mountain,16363,15939,-0.2181396484375,False,24825, jets,0000,0,0,0,0
35,41,fruit,Orange,Cloud,21491,18189,0.556640625,True,45131, deductions,0000,0,0,0,0
36,42,colour,Green,North,6115,3729,-0.448974609375,False,14377,有,0000,0,0,0,0
37,43,direction,East,Silver,5791,16309,-0.67236328125,False,24825, jets,0000,0,0,0,0
38,46,landscape feature,Forest,Sun,16015,4146,0.56640625,True,45131, deductions,0000,0,0,0,0
39,47,sky object,Cloud,Orange,18189,21491,-0.1680908203125,False,42364,ート,0000,0,0,0,0
40,48,fruit,Lemon,Green,44513,6115,0.09716796875,True,45131, deductions,0000,0,0,0,0
41,49,colour,Yellow,North,25056,3729,-0.2271728515625,False,42364,ート,0000,0,0,0,0
42,50,direction,West,Silver,4255,16309,1.53515625,True,42364,ート,0000,0,0,0,0
43,52,shape,Star,Ocean,8141,17323,-0.7314453125,False,5605, wants,0000,0,0,0,0
44,53,landscape feature,Ocean,Sun,17323,4146,0.970703125,True,37706,uggling,0000,0,0,0,0
45,54,sky object,Star,Orange,8141,21491,-0.5556640625,False,24825, jets,0000,0,0,0,0
46,55,fruit,Pear,Green,14837,6115,-0.73681640625,False,45131, deductions,0000,0,0,0,0
47,57,direction,North,Square,3729,15894,2.1953125,True,42364,ート,0000,0,0,0,0
48,59,shape,Circle,Star,29572,8141,-0.9697265625,False,2438, aff,0000,0,0,0,0
49,60,landscape feature,River,Apple,7121,8217,-0.55859375,False,37706,uggling,0000,0,0,0,0
