prompt_id,graph_id,condition,mechanism,control,clean_label,conflict_label,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_class,baseline_top1_token_id,strict_conflict_to_clean,any_to_clean,top1_changed
g000_clean,0,clean,stable,none,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.234375,conflict,8697,False,False,False
g000_redundant,0,redundant,stable,none,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.140625,conflict,8697,False,False,False
g000_irrelevant,0,irrelevant,stable,none,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.1875,conflict,8697,False,False,False
g000_paraphrase,0,paraphrase,stable,none,Red,Blue,3731,8697,3731, Red,clean,1,2,1.78125,clean,3731,False,False,False
g000_weak_distractor,0,weak_distractor,competition,none,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.40625,conflict,8697,False,False,False
g000_competition_balanced,0,competition_balanced,competition,none,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-4.078125,conflict,8697,False,False,False
g000_direct_conflict,0,direct_conflict,competition,none,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-3.359375,conflict,8697,False,False,False
g000_closure_update,0,closure_update,closure,none,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-6.03125,conflict,8697,False,False,False
g000_closure_override,0,closure_override,closure,none,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-6.453125,conflict,8697,False,False,False
g000_exception_override,0,exception_override,closure,none,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-5.640625,conflict,8697,False,False,False
g004_clean,4,clean,stable,none,Copper,Silver,42540,14997,42540, Copper,clean,1,2,3.28125,clean,42540,False,False,False
g004_redundant,4,redundant,stable,none,Copper,Silver,42540,14997,42540, Copper,clean,1,2,3.21875,clean,42540,False,False,False
g004_irrelevant,4,irrelevant,stable,none,Copper,Silver,42540,14997,42540, Copper,clean,1,2,0.1875,clean,42540,False,False,False
g004_paraphrase,4,paraphrase,stable,none,Copper,Silver,42540,14997,42540, Copper,clean,1,2,4.203125,clean,42540,False,False,False
g004_weak_distractor,4,weak_distractor,competition,none,Copper,Silver,42540,14997,42540, Copper,clean,1,2,1.078125,clean,42540,False,False,False
g004_competition_balanced,4,competition_balanced,competition,none,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.28125,conflict,14997,False,False,False
g004_direct_conflict,4,direct_conflict,competition,none,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.40625,conflict,14997,False,False,False
g004_closure_update,4,closure_update,closure,none,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.078125,conflict,14997,False,False,False
g004_closure_override,4,closure_override,closure,none,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-6.984375,conflict,14997,False,False,False
g004_exception_override,4,exception_override,closure,none,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-5.671875,conflict,14997,False,False,False
g009_clean,9,clean,stable,none,East,West,6326,4312,4312, West,conflict,2,1,-0.21875,conflict,4312,False,False,False
g009_redundant,9,redundant,stable,none,East,West,6326,4312,6326, East,clean,1,2,2.046875,clean,6326,False,False,False
