cluster_id,candidate_id,problemspace_family,title,source_path,source_line,closure_action_decision,icm_metabolism_policy_decision,controlled_write_allowed
CL-001-CROSSTHEORY-OTHER,PS-LM1,CrossTheory/Other,Difference → Constraint 接口,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,52,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-002-ASA-CONTROL,PS-LM2,ASA/Control,Cognitive Action Functional,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,70,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-003-PHASEMAP-LLM-DYNAM,PS-LM3,PhaseMap/LLM Dynamics,Dissipative Structure Ontology,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,82,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-004-PHASEMAP-LLM-DYNAM,PS-CO1,PhaseMap/LLM Dynamics,Cbit_eff 统一测量,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,100,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-005-SOB-MEANING-CBIT,PS-CO2,SOB/Meaning/Cbit,Meaning / U 项在线验证,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,110,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-006-OPERATOR-UPS-POLIC,PS-CO3,Operator/UPS/Policy,Procedural Finitude / Aspiration Threshold,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,118,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-007-SEM-MEMORY-ICM,PS-CO4,SEM/Memory/ICM,Metabolic Retention,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,126,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-008-PHASEMAP-LLM-DYNAM,PS-LLM1,PhaseMap/LLM Dynamics,Real Geodesic Validation,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,138,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-009-FMS-MARGIN-SELECTI,PS-LLM2,FMS/Margin/Selection,PCAO ↔ ΔU/Ocont Coupling,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,148,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-010-PHASEMAP-LLM-DYNAM,PS-LLM3,PhaseMap/LLM Dynamics,TopK/VIM readback vs hidden ontology proxy,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,158,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-011-PHASEMAP-LLM-DYNAM,PS-LLM4,PhaseMap/LLM Dynamics,Cross-Model Structural Isomorphism,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,166,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-012-SEM-MEMORY-ICM,PS-LLM5,SEM/Memory/ICM,Non-LLM Path Selection,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,174,ROUTE_TO_SEPARATE_EXPERIMENT,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,False
CL-013-SEM-MEMORY-ICM,PS-SEM1,SEM/Memory/ICM,Strict Executable Carrier,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,186,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-014-SEM-MEMORY-ICM,PS-SEM2,SEM/Memory/ICM,Runtime ICM Write,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,196,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-015-SEM-MEMORY-ICM,PS-SEM3,SEM/Memory/ICM,CommunicationSubspace Memory,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,206,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-016-SRO-ROUTING,PS-SEM4,SRO/Routing,Cognitive Metabolism Layer,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,216,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-017-PHASEMAP-LLM-DYNAM,PS-CTRL1,PhaseMap/LLM Dynamics,Generation-Level Control,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,228,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-018-OPERATOR-UPS-POLIC,PS-CTRL2,Operator/UPS/Policy,UPS / UtilityPolicySelector,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,238,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-019-HPM-HALLUCINATION,PS-HPM1,HPM/Hallucination,CGA-based WrongClosure Prewarning,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,248,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-020-HPM-HALLUCINATION,PS-HPM2,HPM/Hallucination,HPM Path-Level Control,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,258,KEEP_PENDING_WITH_NEXT_TEST,NO_WRITE_KEEP_PENDING_WITH_NEXT_TEST,False
CL-021-AGENTOS-RUNTIME-HA,PS-AOS1,AgentOS/Runtime/Harness,Real Authorization Activation Protocol DryRun,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,270,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-022-AGENTOS-RUNTIME-HA,PS-AOS2,AgentOS/Runtime/Harness,UI-1 Governed Console Shell,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,278,HUMAN_REPORT_ONLY,NO_WRITE_HUMAN_PM_REPORT_ONLY,False
CL-023-AGENTOS-RUNTIME-HA,PS-AOS3,AgentOS/Runtime/Harness,SelfVerification ExternalSourceAdapter / ModelCrossAuditAdapter,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,286,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-024-ASA-CONTROL,PS-AOS4,ASA/Control,Controlled Pilot Transition Criteria,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,294,HUMAN_REPORT_ONLY,NO_WRITE_HUMAN_PM_REPORT_ONLY,False
CL-025-SOB-MEANING-CBIT,PS-KPIH1,SOB/Meaning/Cbit,Boundary Subject Paradigm Innovation,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,304,PROMOTE_TO_VALIDATION_SEED,CONTROLLED_LOCAL_SANDBOX_WRITE_VALIDATION_SEED_CANDIDATE,True
CL-026-OPERATOR-UPS-POLIC,PS-SIMON1,Operator/UPS/Policy,Satisficing in AgentOS,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,314,HUMAN_REPORT_ONLY,NO_WRITE_HUMAN_PM_REPORT_ONLY,False
CL-027-SOB-MEANING-CBIT,PS-EDU1,SOB/Meaning/Cbit,Cbit-based Education Measurement,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,324,ROUTE_TO_SEPARATE_EXPERIMENT,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,False
CL-028-SOB-MEANING-CBIT,PS-ROBOT1,SOB/Meaning/Cbit,Embodied SelfBoundary State,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,332,ROUTE_TO_SEPARATE_EXPERIMENT,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,False
CL-029-AGENTOS-RUNTIME-HA,PS-ENT1,AgentOS/Runtime/Harness,EnterpriseAgentOS,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,340,ROUTE_TO_SEPARATE_EXPERIMENT,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,False
CL-030-SEM-MEMORY-ICM,PS-BCI1,SEM/Memory/ICM,Cognitive Communication / BCI,Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/Cognitive_Research_Architecture_v3_8_LatestPatchset_20260628/07_Problem_Space_Baseline_v3_8_LatestPatchset_20260628.md,348,ROUTE_TO_SEPARATE_EXPERIMENT,NO_WRITE_ROUTE_TO_SEPARATE_EXPERIMENT,False
