prompt_id,graph_id,condition,mechanism,control,clean_label,conflict_label,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_class,baseline_top1_token_id,strict_conflict_to_clean,any_to_clean,top1_changed
g000_clean,0,clean,stable,none,Red,Blue,3816,8868,3816, Red,clean,1,3,1.0625,clean,3816,False,False,False
g000_redundant,0,redundant,stable,none,Red,Blue,3816,8868,3816, Red,clean,1,3,0.9375,clean,3816,False,False,False
g000_irrelevant,0,irrelevant,stable,none,Red,Blue,3816,8868,3816, Red,clean,1,3,0.90625,clean,3816,False,False,False
g000_paraphrase,0,paraphrase,stable,none,Red,Blue,3816,8868,3816, Red,clean,1,2,0.546875,clean,3816,False,False,False
g000_weak_distractor,0,weak_distractor,competition,none,Red,Blue,3816,8868,3816, Red,clean,1,3,1.234375,clean,3816,False,False,False
g000_competition_balanced,0,competition_balanced,competition,none,Red,Blue,3816,8868,3816, Red,clean,1,3,0.890625,clean,3816,False,False,False
g000_direct_conflict,0,direct_conflict,competition,none,Red,Blue,3816,8868,3816, Red,clean,1,2,0.953125,clean,3816,False,False,False
g000_closure_update,0,closure_update,closure,none,Red,Blue,3816,8868,8868, Blue,conflict,2,1,-0.296875,conflict,8868,False,False,False
g000_closure_override,0,closure_override,closure,none,Red,Blue,3816,8868,3816, Red,clean,1,2,0.4375,clean,3816,False,False,False
g000_exception_override,0,exception_override,closure,none,Red,Blue,3816,8868,8868, Blue,conflict,2,1,-0.46875,conflict,8868,False,False,False
g004_clean,4,clean,stable,none,Copper,Silver,43640,15347,43640, Copper,clean,1,4,1.546875,clean,43640,False,False,False
g004_redundant,4,redundant,stable,none,Copper,Silver,43640,15347,43640, Copper,clean,1,3,1.515625,clean,43640,False,False,False
g004_irrelevant,4,irrelevant,stable,none,Copper,Silver,43640,15347,43640, Copper,clean,1,3,0.71875,clean,43640,False,False,False
g004_paraphrase,4,paraphrase,stable,none,Copper,Silver,43640,15347,43640, Copper,clean,1,2,1.9375,clean,43640,False,False,False
g004_weak_distractor,4,weak_distractor,competition,none,Copper,Silver,43640,15347,43640, Copper,clean,1,3,1.578125,clean,43640,False,False,False
g004_competition_balanced,4,competition_balanced,competition,none,Copper,Silver,43640,15347,43640, Copper,clean,1,3,0.859375,clean,43640,False,False,False
g004_direct_conflict,4,direct_conflict,competition,none,Copper,Silver,43640,15347,43640, Copper,clean,1,3,1.15625,clean,43640,False,False,False
g004_closure_update,4,closure_update,closure,none,Copper,Silver,43640,15347,43640, Copper,clean,1,4,0.421875,clean,43640,False,False,False
g004_closure_override,4,closure_override,closure,none,Copper,Silver,43640,15347,43640, Copper,clean,1,2,0.703125,clean,43640,False,False,False
g004_exception_override,4,exception_override,closure,none,Copper,Silver,43640,15347,15347, Silver,conflict,2,1,-0.015625,conflict,15347,False,False,False
g009_clean,9,clean,stable,none,East,West,6460,4410,4410, West,conflict,6,1,-0.859375,conflict,4410,False,False,False
g009_redundant,9,redundant,stable,none,East,West,6460,4410,4410, West,conflict,4,1,-1.015625,conflict,4410,False,False,False
g009_irrelevant,9,irrelevant,stable,none,East,West,6460,4410,4410, West,conflict,2,1,-0.96875,conflict,4410,False,False,False
g009_paraphrase,9,paraphrase,stable,none,East,West,6460,4410,6460, East,clean,1,2,0.515625,clean,6460,False,False,False
g009_weak_distractor,9,weak_distractor,competition,none,East,West,6460,4410,4410, West,conflict,2,1,-0.734375,conflict,4410,False,False,False
g009_competition_balanced,9,competition_balanced,competition,none,East,West,6460,4410,4410, West,conflict,4,1,-0.953125,conflict,4410,False,False,False
