prompt_id,graph_id,condition,mechanism,control,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_class,baseline_top1_token_id,baseline_margin,strict_conflict_to_clean,top1_changed,margin_shift,model
g000_clean,0,clean,stable,none,3731,8697,8697, Blue,conflict,2,1,-1.234375,conflict,8697,-1.234375,False,False,0.0,qwen
g000_redundant,0,redundant,stable,none,3731,8697,8697, Blue,conflict,2,1,-0.140625,conflict,8697,-0.140625,False,False,0.0,qwen
g000_irrelevant,0,irrelevant,stable,none,3731,8697,8697, Blue,conflict,2,1,-1.1875,conflict,8697,-1.1875,False,False,0.0,qwen
g000_paraphrase,0,paraphrase,stable,none,3731,8697,3731, Red,clean,1,2,1.78125,clean,3731,1.78125,False,False,0.0,qwen
g000_weak_distractor,0,weak_distractor,competition,none,3731,8697,8697, Blue,conflict,2,1,-0.40625,conflict,8697,-0.40625,False,False,0.0,qwen
g000_competition_balanced,0,competition_balanced,competition,none,3731,8697,8697, Blue,conflict,2,1,-4.078125,conflict,8697,-4.078125,False,False,0.0,qwen
g000_direct_conflict,0,direct_conflict,competition,none,3731,8697,8697, Blue,conflict,2,1,-3.359375,conflict,8697,-3.359375,False,False,0.0,qwen
g000_closure_update,0,closure_update,closure,none,3731,8697,8697, Blue,conflict,2,1,-6.03125,conflict,8697,-6.03125,False,False,0.0,qwen
g000_closure_override,0,closure_override,closure,none,3731,8697,8697, Blue,conflict,2,1,-6.453125,conflict,8697,-6.453125,False,False,0.0,qwen
g000_exception_override,0,exception_override,closure,none,3731,8697,8697, Blue,conflict,2,1,-5.640625,conflict,8697,-5.640625,False,False,0.0,qwen
g004_clean,4,clean,stable,none,42540,14997,42540, Copper,clean,1,2,3.28125,clean,42540,3.28125,False,False,0.0,qwen
g004_redundant,4,redundant,stable,none,42540,14997,42540, Copper,clean,1,2,3.21875,clean,42540,3.21875,False,False,0.0,qwen
g004_irrelevant,4,irrelevant,stable,none,42540,14997,42540, Copper,clean,1,2,0.1875,clean,42540,0.1875,False,False,0.0,qwen
g004_paraphrase,4,paraphrase,stable,none,42540,14997,42540, Copper,clean,1,2,4.203125,clean,42540,4.203125,False,False,0.0,qwen
g004_weak_distractor,4,weak_distractor,competition,none,42540,14997,42540, Copper,clean,1,2,1.078125,clean,42540,1.078125,False,False,0.0,qwen
g004_competition_balanced,4,competition_balanced,competition,none,42540,14997,14997, Silver,conflict,2,1,-1.28125,conflict,14997,-1.28125,False,False,0.0,qwen
g004_direct_conflict,4,direct_conflict,competition,none,42540,14997,14997, Silver,conflict,2,1,-1.40625,conflict,14997,-1.40625,False,False,0.0,qwen
g004_closure_update,4,closure_update,closure,none,42540,14997,14997, Silver,conflict,2,1,-2.078125,conflict,14997,-2.078125,False,False,0.0,qwen
g004_closure_override,4,closure_override,closure,none,42540,14997,14997, Silver,conflict,2,1,-6.984375,conflict,14997,-6.984375,False,False,0.0,qwen
g004_exception_override,4,exception_override,closure,none,42540,14997,14997, Silver,conflict,2,1,-5.671875,conflict,14997,-5.671875,False,False,0.0,qwen
g009_clean,9,clean,stable,none,6326,4312,4312, West,conflict,2,1,-0.21875,conflict,4312,-0.21875,False,False,0.0,qwen
g009_redundant,9,redundant,stable,none,6326,4312,6326, East,clean,1,2,2.046875,clean,6326,2.046875,False,False,0.0,qwen
g009_irrelevant,9,irrelevant,stable,none,6326,4312,6326, East,clean,1,2,1.578125,clean,6326,1.578125,False,False,0.0,qwen
g009_paraphrase,9,paraphrase,stable,none,6326,4312,6326, East,clean,1,2,1.9375,clean,6326,1.9375,False,False,0.0,qwen
g009_weak_distractor,9,weak_distractor,competition,none,6326,4312,6326, East,clean,1,2,0.390625,clean,6326,0.390625,False,False,0.0,qwen
g009_competition_balanced,9,competition_balanced,competition,none,6326,4312,4312, West,conflict,2,1,-0.171875,conflict,4312,-0.171875,False,False,0.0,qwen
g009_direct_conflict,9,direct_conflict,competition,none,6326,4312,4312, West,conflict,2,1,-3.046875,conflict,4312,-3.046875,False,False,0.0,qwen
g009_closure_update,9,closure_update,closure,none,6326,4312,4312, West,conflict,2,1,-4.140625,conflict,4312,-4.140625,False,False,0.0,qwen
g009_closure_override,9,closure_override,closure,none,6326,4312,4312, West,conflict,2,1,-2.953125,conflict,4312,-2.953125,False,False,0.0,qwen
g009_exception_override,9,exception_override,closure,none,6326,4312,4312, West,conflict,2,1,-3.21875,conflict,4312,-3.21875,False,False,0.0,qwen
g010_clean,10,clean,stable,none,42540,14997,42540, Copper,clean,1,2,2.40625,clean,42540,2.40625,False,False,0.0,qwen
g010_redundant,10,redundant,stable,none,42540,14997,42540, Copper,clean,1,2,3.046875,clean,42540,3.046875,False,False,0.0,qwen
g010_irrelevant,10,irrelevant,stable,none,42540,14997,42540, Copper,clean,1,2,0.28125,clean,42540,0.28125,False,False,0.0,qwen
g010_paraphrase,10,paraphrase,stable,none,42540,14997,42540, Copper,clean,1,2,2.203125,clean,42540,2.203125,False,False,0.0,qwen
g010_weak_distractor,10,weak_distractor,competition,none,42540,14997,42540, Copper,clean,1,2,0.453125,clean,42540,0.453125,False,False,0.0,qwen
g010_competition_balanced,10,competition_balanced,competition,none,42540,14997,14997, Silver,conflict,2,1,-1.921875,conflict,14997,-1.921875,False,False,0.0,qwen
g010_direct_conflict,10,direct_conflict,competition,none,42540,14997,14997, Silver,conflict,2,1,-2.5625,conflict,14997,-2.5625,False,False,0.0,qwen
g010_closure_update,10,closure_update,closure,none,42540,14997,14997, Silver,conflict,2,1,-3.671875,conflict,14997,-3.671875,False,False,0.0,qwen
g010_closure_override,10,closure_override,closure,none,42540,14997,14997, Silver,conflict,2,1,-7.25,conflict,14997,-7.25,False,False,0.0,qwen
g010_exception_override,10,exception_override,closure,none,42540,14997,14997, Silver,conflict,2,1,-6.484375,conflict,14997,-6.484375,False,False,0.0,qwen
g011_clean,11,clean,stable,none,7421,16570,7421, Gold,clean,1,2,0.46875,clean,7421,0.46875,False,False,0.0,qwen
g011_redundant,11,redundant,stable,none,7421,16570,7421, Gold,clean,1,2,2.625,clean,7421,2.625,False,False,0.0,qwen
