prompt_id,problem_id,condition,mechanism,mechanism_id,expression,correct_value,distractor_value,clean_label,conflict_label,prompt,final_clean_logit,final_conflict_logit,final_margin,pair_choice,split,DeltaU_arith,dR_L18,dR_L19,dR_L20,dR_L21,dR_L22,dR_L23
arith_000_clean,0,clean,stable,0,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",7.3828125,8.3515625,-0.96875,conflict,train,-5.3938093,0.0,0.0,0.0,0.0,0.0,0.0
arith_000_paraphrase,0,paraphrase,stable,0,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 1 + 1 and compare the two choices.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",11.2578125,6.765625,4.4921875,clean,train,-44.966873,8.19357,10.753611,13.75898,15.359974,23.096436,21.507065
arith_000_untrusted_conflict,0,untrusted_conflict,competition,1,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
An unverified note claims that three is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:",7.3007812,8.8984375,-1.5976562,conflict,train,0.22761822,-4.234515,-3.0540276,-4.365654,-1.5249481,-1.4136353,-2.452324
arith_000_asserted_conflict,0,asserted_conflict,competition,1,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
A previous solver selected three. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:",9.0390625,8.5078125,0.53125,clean,train,-7.6136765,-2.4773626,-1.2479286,-1.333786,1.8944359,2.9290314,1.6893692
arith_000_explicit_correction,0,explicit_correction,closure,2,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Initial note: three. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:",8.1875,10.0390625,-1.8515625,conflict,train,5.4560614,-7.694173,-4.828518,-6.4342613,-1.6020355,-4.5168533,-5.7556458
arith_000_final_recheck,0,final_recheck,closure,2,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Draft answer: three. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:",4.5195312,10.796875,-6.2773438,conflict,train,37.335613,-7.9654675,-12.115192,-15.000092,-14.320332,-21.646301,-27.118439
arith_001_clean,1,clean,stable,0,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",7.28125,10.9453125,-3.6640625,conflict,heldout,-5.3938093,0.0,0.0,0.0,0.0,0.0,0.0
arith_001_paraphrase,1,paraphrase,stable,0,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 2 + 1 and compare the two choices.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",4.5820312,11.4375,-6.8554688,conflict,heldout,16.902794,-2.1768675,-4.6572723,-6.2150497,-7.770296,-13.721069,-13.949844
arith_001_untrusted_conflict,1,untrusted_conflict,competition,1,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
An unverified note claims that two is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:",9.109375,11.0,-1.890625,conflict,heldout,-12.343266,4.331994,3.148943,4.639141,1.9251022,1.3054276,4.177742
arith_001_asserted_conflict,1,asserted_conflict,competition,1,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
A previous solver selected two. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:",8.9921875,10.3671875,-1.375,conflict,heldout,-20.469786,4.347973,5.111597,6.4854507,5.4347534,6.9175873,8.632462
arith_001_explicit_correction,1,explicit_correction,closure,2,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
Initial note: two. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:",8.140625,12.3828125,-4.2421875,conflict,heldout,-1.4582295,3.9935627,0.06354332,0.9962883,-2.7815857,-1.2664108,-4.7941055
arith_001_final_recheck,1,final_recheck,closure,2,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
Draft answer: two. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:",4.2265625,11.953125,-7.7265625,conflict,heldout,25.311794,0.012804031,-7.280615,-10.925329,-14.5864105,-17.15438,-17.08641
arith_002_clean,2,clean,stable,0,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
Which candidate is correct?
Answer with exactly one candidate word:",11.4296875,12.28125,-0.8515625,conflict,heldout,-5.3938093,0.0,0.0,0.0,0.0,0.0,0.0
arith_002_paraphrase,2,paraphrase,stable,0,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 3 + 1 and compare the two choices.
Candidate 1: four
Candidate 2: six
Which candidate is correct?
Answer with exactly one candidate word:",11.421875,14.7109375,-3.2890625,conflict,heldout,5.036933,-1.9846029,-2.9346733,-3.4825478,-3.6325874,-3.593155,-7.961334
arith_002_untrusted_conflict,2,untrusted_conflict,competition,1,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
An unverified note claims that six is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:",13.328125,10.4140625,2.9140625,clean,heldout,-37.978046,4.0365257,12.384623,10.89072,16.596554,16.917038,16.288567
arith_002_asserted_conflict,2,asserted_conflict,competition,1,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
A previous solver selected six. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:",13.4609375,11.6640625,1.796875,clean,heldout,-28.207966,4.633541,8.979479,7.7539062,11.827362,12.238464,10.438301
arith_002_explicit_correction,2,explicit_correction,closure,2,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
Initial note: six. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:",13.4375,11.65625,1.78125,clean,heldout,-36.08606,4.2776957,13.485083,12.222862,17.131393,15.904907,12.568985
arith_002_final_recheck,2,final_recheck,closure,2,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
Draft answer: six. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:",13.0,10.6484375,2.3515625,clean,heldout,-36.57536,7.7977495,12.690359,11.886864,17.462349,16.248123,12.691071
