model,prompt_id,layer,alpha,beta,action_confidence,action_label,mean_p_closure,mean_entropy,gate_open
qwen,arith_ctx_001_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.012681052722736,0.3373977619313129,False
qwen,arith_ctx_001_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.012681052722736,0.3373977619313129,False
qwen,arith_ctx_001_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.012681052722736,0.3373977619313129,False
qwen,arith_ctx_001_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.012681052722736,0.3373977619313129,False
qwen,arith_ctx_001_clean,19,0.0,0.0,0.9987510771751056,a0.0_b0.0_confidence_gate,0.012681052722736,0.3373977619313129,False
qwen,arith_ctx_001_paraphrase,15,0.0,0.0,0.9802295715984544,a0.0_b0.0_confidence_gate,0.1005447239495762,0.6017097666455331,False
qwen,arith_ctx_001_paraphrase,16,0.0,0.0,0.9801876623719596,a0.0_b0.0_confidence_gate,0.1005447239495762,0.6017097666455331,False
qwen,arith_ctx_001_paraphrase,17,0.0,0.0,0.9801876623719596,a0.0_b0.0_confidence_gate,0.1005447239495762,0.6017097666455331,False
qwen,arith_ctx_001_paraphrase,18,0.0,0.0,0.980808181715422,a0.0_b0.0_confidence_gate,0.1005447239495762,0.6017097666455331,False
qwen,arith_ctx_001_paraphrase,19,0.0,0.0,0.9808452072599302,a0.0_b0.0_confidence_gate,0.1005447239495762,0.6017097666455331,False
qwen,arith_ctx_001_untrusted_conflict,15,0.0,0.0,0.9923037735056792,a0.0_b0.0_confidence_gate,0.2313174914197139,0.7868673767306669,False
qwen,arith_ctx_001_untrusted_conflict,16,0.0,0.0,0.9818414003558869,a0.0_b0.0_confidence_gate,0.2313174914197139,0.7868673767306669,False
qwen,arith_ctx_001_untrusted_conflict,17,0.0,0.0,0.9794729146989724,a0.0_b0.0_confidence_gate,0.2313174914197139,0.7868673767306669,False
qwen,arith_ctx_001_untrusted_conflict,18,0.0,0.0,0.7375108925424747,a0.0_b0.0_confidence_gate,0.2313174914197139,0.7868673767306669,False
qwen,arith_ctx_001_untrusted_conflict,19,0.0,0.0,0.971564193867863,a0.0_b0.0_confidence_gate,0.2313174914197139,0.7868673767306669,False
qwen,arith_ctx_001_asserted_conflict,15,0.0,0.0,0.9937072671544748,a0.0_b0.0_confidence_gate,0.1940423902032739,0.5660120158831192,False
qwen,arith_ctx_001_asserted_conflict,16,0.0,0.0,0.9604106661068056,a0.0_b0.0_confidence_gate,0.1940423902032739,0.5660120158831192,False
qwen,arith_ctx_001_asserted_conflict,17,0.0,0.0,0.8329864740608122,a0.0_b0.0_confidence_gate,0.1940423902032739,0.5660120158831192,False
qwen,arith_ctx_001_asserted_conflict,18,0.0,0.0,0.9802799605499526,a0.0_b0.0_confidence_gate,0.1940423902032739,0.5660120158831192,False
qwen,arith_ctx_001_asserted_conflict,19,0.0,0.0,0.9349040516653756,a0.0_b0.0_confidence_gate,0.1940423902032739,0.5660120158831192,False
qwen,arith_ctx_001_explicit_correction,15,0.3,0.3,0.4726930935664636,a0.3_b0.3,0.5141447318951642,0.8020131583724339,True
qwen,arith_ctx_001_explicit_correction,16,0.0,0.0,0.6484641599635019,a0.0_b0.0,0.5141447318951642,0.8020131583724339,True
qwen,arith_ctx_001_explicit_correction,17,0.0,0.0,0.6819271171100114,a0.0_b0.0,0.5141447318951642,0.8020131583724339,True
qwen,arith_ctx_001_explicit_correction,18,0.0,0.0,0.8151587183928193,a0.0_b0.0,0.5141447318951642,0.8020131583724339,True
qwen,arith_ctx_001_explicit_correction,19,0.0,0.0,0.9648531529680276,a0.0_b0.0,0.5141447318951642,0.8020131583724339,True
qwen,arith_ctx_001_final_recheck,15,0.0,0.0,0.4093511918125489,a0.0_b0.0_confidence_gate,0.4892854905632476,0.7271888390032315,False
qwen,arith_ctx_001_final_recheck,16,0.0,0.0,0.6953524575738613,a0.0_b0.0_confidence_gate,0.4892854905632476,0.7271888390032315,False
qwen,arith_ctx_001_final_recheck,17,0.0,0.0,0.5000751439862284,a0.0_b0.0_confidence_gate,0.4892854905632476,0.7271888390032315,False
qwen,arith_ctx_001_final_recheck,18,0.0,0.0,0.5809732702384466,a0.0_b0.0_confidence_gate,0.4892854905632476,0.7271888390032315,False
qwen,arith_ctx_001_final_recheck,19,0.0,0.0,0.5841632238402006,a0.0_b0.0_confidence_gate,0.4892854905632476,0.7271888390032315,False
qwen,arith_ctx_002_clean,15,0.0,0.0,0.9763251904979506,a0.0_b0.0_confidence_gate,0.0975208016473118,0.3187156415929438,False
qwen,arith_ctx_002_clean,16,0.0,0.0,0.9191064045535978,a0.0_b0.0_confidence_gate,0.0975208016473118,0.3187156415929438,False
qwen,arith_ctx_002_clean,17,0.0,0.0,0.8484978310099344,a0.0_b0.0_confidence_gate,0.0975208016473118,0.3187156415929438,False
qwen,arith_ctx_002_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0975208016473118,0.3187156415929438,False
qwen,arith_ctx_002_clean,19,0.0,0.0,0.9987510771751056,a0.0_b0.0_confidence_gate,0.0975208016473118,0.3187156415929438,False
qwen,arith_ctx_002_paraphrase,15,0.0,0.0,0.751055389099167,a0.0_b0.0_confidence_gate,0.437031761057327,0.722801252314663,False
qwen,arith_ctx_002_paraphrase,16,0.0,0.0,0.6858553111307938,a0.0_b0.0_confidence_gate,0.437031761057327,0.722801252314663,False
qwen,arith_ctx_002_paraphrase,17,0.0,0.0,0.5092091405064076,a0.0_b0.0_confidence_gate,0.437031761057327,0.722801252314663,False
qwen,arith_ctx_002_paraphrase,18,0.0,0.0,0.998265931372549,a0.0_b0.0_confidence_gate,0.437031761057327,0.722801252314663,False
qwen,arith_ctx_002_paraphrase,19,0.0,0.0,0.99380600105896,a0.0_b0.0_confidence_gate,0.437031761057327,0.722801252314663,False
qwen,arith_ctx_002_untrusted_conflict,15,0.0,0.0,0.9647733398033276,a0.0_b0.0_confidence_gate,0.4765988948876934,0.7957789993597073,False
qwen,arith_ctx_002_untrusted_conflict,16,0.0,0.0,0.6405563895699217,a0.0_b0.0_confidence_gate,0.4765988948876934,0.7957789993597073,False
qwen,arith_ctx_002_untrusted_conflict,17,0.0,0.0,0.5908918735138718,a0.0_b0.0_confidence_gate,0.4765988948876934,0.7957789993597073,False
