prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text,split,R_L11,dR_L11,R_L12,dR_L12,R_L13,dR_L13,R_L14,dR_L14,DeltaU
g000_clean,0,0,0,clean,clean,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,0.031617843,0.0,-0.11119065,0.0,-0.066476345,0.0,0.803601,0.0,0.022258822
g000_rename,0,0,0,rename,relation_preserving,stable,Red,Blue,Green,"Consider a tiny mapping network.
Link one: Ava belongs to Bela.
Link two: Bela is located at Red.
Choose the label reached from Ava: Red or Blue.
One word answer:",discovery,0.04714319,0.0155253485,-0.25349647,-0.14230582,-0.31153014,-0.2450538,0.6660341,-0.13756692,-0.24605736
g000_permuted,0,0,0,permuted,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 2: Bela is located at Red.
Fact 1: Ava belongs to Bela.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,0.015102774,-0.016515069,-0.16459575,-0.053405106,-0.13612264,-0.0696463,0.61056364,-0.19303739,-0.18200797
g000_redundant,0,0,0,redundant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,0.04920783,0.017589986,-0.08039628,0.030794367,-0.014732361,0.051743984,0.854318,0.050716996,0.10095969
g000_irrelevant,0,0,0,irrelevant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,0.04545903,0.013841186,-0.07536879,0.035821855,-0.05276811,0.013708234,0.9060949,0.10249388,0.12349214
g000_paraphrase,0,0,0,paraphrase,relation_preserving,stable,Red,Blue,Green,"In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:",discovery,-0.016509503,-0.048127346,-0.2824224,-0.17123175,-0.4720775,-0.40560114,0.6338639,-0.1697371,-0.37295705
g000_weak_distractor,0,0,0,weak_distractor,structure_changing,stable_shift,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Weak note: some unrelated source mentions Blue, but does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,0.15431878,0.12270094,0.103911996,0.21510264,0.106696844,0.17317319,0.8912711,0.08767009,0.2773906
g000_competition_balanced,0,0,0,competition_balanced,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Competing fact: Ava is also associated with Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,0.11188564,0.080267794,-0.015792996,0.09539765,-0.0008724928,0.06560385,0.6871078,-0.116493225,0.016985767
g000_direct_conflict,0,0,0,direct_conflict,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Direct conflicting fact: Ava is located at Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,0.10669133,0.07507349,0.016162276,0.12735292,0.020150244,0.08662659,0.7841579,-0.019443154,0.11148909
g000_closure_update,0,0,0,closure_update,structure_changing,closure,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela is located at Red.
Updated record: Bela is located at Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",discovery,-0.09307248,-0.124690324,-0.24898103,-0.13779038,-0.26695323,-0.20047688,0.1649015,-0.63869953,-0.64294446
