label,qwen_ids,qwen_len,llama_ids,llama_len,gemma_ids,gemma_len,is_common_single_token
Red,[3731],1,[3816],1,[4075],1,True
Blue,[8697],1,[8868],1,[7640],1,True
Green,[7840],1,[7997],1,[6724],1,True
Yellow,[25462],1,[26541],1,[21730],1,True
North,[4787],1,[4892],1,[4612],1,True
South,[4882],1,[4987],1,[4316],1,True
East,[6326],1,[6460],1,[5571],1,True
West,[4312],1,[4410],1,[4589],1,True
Copper,[42540],1,[43640],1,[38315],1,True
Silver,[14997],1,[15347],1,[15934],1,True
Gold,[7421],1,[7573],1,[6863],1,True
Iron,[16570],1,[16979],1,[17186],1,True
Circle,[21224],1,[21918],1,[25555],1,True
Square,[15619],1,[15992],1,[16569],1,True
Triangle,[38031],1,[39131],1,[55703],1,True
Star,[7679],1,[7834],1,[7081],1,True
River,[10948],1,[11188],1,[6701],1,True
Mountain,[18634],1,[19149],1,[13216],1,True
Forest,[19988],1,[20585],1,[12533],1,True
Ocean,[21575],1,[22302],1,[17036],1,True
Sun,[8059],1,[8219],1,[7445],1,True
Moon,[17330],1,[17781],1,[16447],1,True
Cloud,[14817],1,[15161],1,[17895],1,True
Stone,[14302],1,[14637],1,[16513],1,True
Alpha,[24708],1,[25737],1,[24882],1,True
Beta,[34243],1,[35343],1,[38044],1,True
Gamma,[57682],1,[58782],1,[70264],1,True
Delta,[24957],1,[26002],1,[24808],1,True
Apple,[8162],1,[8325],1,[9865],1,True
Orange,[21958],1,[22725],1,[20723],1,True
Lemon,[51210],1,[52310],1,[49794],1,True
Pear,[23041],1,[23910],1,[19189],1,True
