prompt_id,graph_id,condition,mechanism,control,clean_label,conflict_label,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,null_id,null_seed,strict_conflict_to_clean
g000_closure_update,0,closure_update,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.59375,0,1042,False
g000_closure_override,0,closure_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.34375,0,1042,False
g000_exception_override,0,exception_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.59375,0,1042,False
g004_closure_update,4,closure_update,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-0.84375,0,1042,False
g004_closure_override,4,closure_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.0,0,1042,False
g004_exception_override,4,exception_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.640625,0,1042,False
g009_closure_update,9,closure_update,closure,shuffle_matched_000,East,West,6326,4312,4312, West,conflict,2,1,-0.875,0,1042,False
g009_closure_override,9,closure_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,1.296875,0,1042,True
g009_exception_override,9,exception_override,closure,shuffle_matched_000,East,West,6326,4312,4312, West,conflict,2,1,-1.25,0,1042,False
g010_closure_update,10,closure_update,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.578125,0,1042,False
g010_closure_override,10,closure_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.875,0,1042,False
g010_exception_override,10,exception_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.765625,0,1042,False
g011_closure_update,11,closure_update,closure,shuffle_matched_000,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-1.96875,0,1042,False
g011_closure_override,11,closure_override,closure,shuffle_matched_000,Gold,Iron,7421,16570,7421, Gold,clean,1,2,0.734375,0,1042,True
g011_exception_override,11,exception_override,closure,shuffle_matched_000,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-0.15625,0,1042,False
g012_closure_update,12,closure_update,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.015625,0,1042,False
g012_closure_override,12,closure_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.09375,0,1042,False
g012_exception_override,12,exception_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.859375,0,1042,False
g015_closure_update,15,closure_update,closure,shuffle_matched_000,East,West,6326,4312,4312, West,conflict,2,1,-2.375,0,1042,False
g015_closure_override,15,closure_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,0.4375,0,1042,True
g015_exception_override,15,exception_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,0.015625,0,1042,True
g018_closure_update,18,closure_update,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.09375,0,1042,False
g018_closure_override,18,closure_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.921875,0,1042,False
g018_exception_override,18,exception_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.46875,0,1042,False
g022_closure_update,22,closure_update,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.796875,0,1042,False
g022_closure_override,22,closure_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.859375,0,1042,False
g022_exception_override,22,exception_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.359375,0,1042,False
g026_closure_update,26,closure_update,closure,shuffle_matched_000,North,South,4787,4882,4882, South,conflict,2,1,-2.140625,0,1042,False
g026_closure_override,26,closure_override,closure,shuffle_matched_000,North,South,4787,4882,4882, South,conflict,2,1,-1.453125,0,1042,False
g026_exception_override,26,exception_override,closure,shuffle_matched_000,North,South,4787,4882,4882, South,conflict,2,1,-0.28125,0,1042,False
g030_closure_update,30,closure_update,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.71875,0,1042,False
g030_closure_override,30,closure_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.890625,0,1042,False
g030_exception_override,30,exception_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.375,0,1042,False
