"figure","core_conclusion","archetype","hero_evidence","controls_or_risks"
"Figure 1","Engineering objects implement inference, while ordered high-dimensional layer states provide the tested empirical process object.","schematic-led high-dimensional mechanism composite","object-switch schematic plus layer-vector barcode and parallel-coordinate trajectories","schematic is reader orientation; evidence remains high-dimensional and not a literal 3D surface"
"Figure 2","Direct hidden coordinates add independent prompt-condition-class information; checkpoint comparison uses exploratory model-specific registration.","asymmetric quantitative composite","group-held-out prompt-class gain plus data-selected model-specific windows","construction-aligned reference removed from the main comparison; projection controls retained; prospective joint window gate failed; weak direction isomorphism moved to Extended Data"
"Figure 3","ΔU is an explicitly constructed, bounded candidate-path separation observable.","mechanism-led quantitative composite","R to D to ΔU construction strip","sanity alignment, predecision, candidate-margin-excluded and auxiliary controls"
"Figure 4","Realized transition coordinates improve descriptive closure and observed hidden-state layer order is chord-directed relative to endpoint-preserving shuffles.","asymmetric mixed quantitative composite","descriptive closure plus direct-hidden 50-shuffle geometry","metric-dependent; no least-action or metric-independent path-law inference; readback-centre analysis moved to Extended Data"
"Figure 5","Failed additive actuators motivate a bounded local-transition actuator that selectively moves the measured answer-formation trajectory and can cross a declared emitted-token boundary.","mechanism-led quantitative composite","actuator-switch strip, held-out internal modulation and confidence-gated cross-checkpoint boundary crossing","reachability is established for the declared conflict-to-clean boundary; two non-target changes occur in Llama; matched reassignments do not support trajectory-specific dose assignment; no open-ended answer-correctness claim"
"Extended Data 1","A low-dimensional residual-PCA projection can orient readers to trajectory competition.","orientation aid","single retained projection panel","must be captioned as a visual abstraction, not a literal manifold"
"Extended Data 2","Construction-linked coordinate evidence and weak cross-checkpoint direction isomorphism remain explicit boundary items.","two-panel audit composite","construction-aligned reference and pairwise isomorphism","construction reference is circular for Delta U; weak pairwise values do not establish homology"
"Extended Data 3","Transition metrics and readback-centre geometry are useful diagnostics with metric- and coordinate-specific boundaries.","three-panel diagnostic composite","realized-transition diagnostics and readback-centre chord indices","metric values are not directly comparable; readback-centre paths are auxiliary rather than direct hidden-state evidence"
"Extended Data 4","Observed transition coordinates provide descriptive closure but retain a bounded gain when estimated before the transition.","quantitative boundary composite","observed-versus-estimated transition-coordinate ladder","target-excluded estimates retain 25.1% of observed-coordinate gain and do not establish an equivalent forward law"
"Extended Data 5","Internal trajectory control changes candidate margins, while the original actuator budget does not uniformly cross the candidate-selection boundary.","quantitative boundary composite","paired held-out prompt comparison and graph-bootstrap intervals","this figure diagnoses the original budget; two-candidate selection is not open-ended answer correctness"
"Extended Data 6","Layer-order geometry transfers beyond binary relation graphs, partial trajectories forecast one declared margin, random initializations preserve the order scaffold, and bounded gated actuators reach a declared output boundary.","six-panel experiment-closure composite","controlled tasks, four-choice ARC, held-out forecasts, random-initialization controls and cross-checkpoint boundary tests","task coordinates remain task-specific; forecasts are candidate-defined; output crossing is not answer correctness; matched reassignment does not support assignment specificity"
"Extended Data 7","Stronger nulls separate relational propagation, native execution, path memory and metric scale.","four-panel falsification composite","random-map continuity, reordered execution, incremental history and radial controls","raw geometric regularity is not semantics, native function or a general predictive law"
"Extended Data 8","Training organizes compatible task coordinates across input, transition and output components in one bounded model-task audit.","four-panel training composite","component swaps, interactions and fixed-coordinate transfer","one small model and lexical task do not establish a universal training law"
