prompt_id,graph_id,entity_id,relation_id,condition,mechanism,mechanism_id,clean_label,conflict_label,clean_token_id,conflict_token_id,text,R_L20,R_L21,R_L22,R_L23,R_L24,R_L25,final_clean_logit,final_conflict_logit,pair_choice,dR_L20,dR_L21,dR_L22,dR_L23,dR_L24,dR_L25,DeltaU,D_B_proxy,R_final_margin
g000_clean,0,0,0,clean,stable,0,Red,Blue,3731,8697,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.2469511,1.7316836,2.8818772,2.825766,2.0682793,6.315753,29.40625,30.640625,conflict,0.0,0.0,0.0,0.0,0.0,0.0,3.495271,0.0,-1.234375
g000_redundant,0,0,0,redundant,stable,0,Red,Blue,3731,8697,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Confirmation: Ava still goes through Bela.
Confirmation: Bela still points to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.03236,2.6710663,4.263235,3.7768078,3.1626267,7.4209485,26.890625,27.03125,conflict,-0.21459115,0.9393827,1.3813579,0.9510417,1.0943475,1.1051955,5.7735696,0.21459115,-0.140625
g000_irrelevant,0,0,0,irrelevant,stable,0,Red,Blue,3731,8697,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.5696793,1.994797,3.0549355,3.104807,1.518445,5.9448385,29.703125,30.890625,conflict,0.32272816,0.26311338,0.17305827,0.2790408,-0.54983425,-0.37091446,3.2342393,0.17305827,-1.1875
g000_paraphrase,0,0,0,paraphrase,stable,0,Red,Blue,3731,8697,"In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:",3.449133,3.8355918,6.913454,7.5992966,6.9110456,10.476693,24.59375,22.8125,clean,2.2021818,2.103908,4.031577,4.7735305,4.8427663,4.16094,12.689164,2.103908,1.78125
g000_weak_distractor,0,0,0,weak_distractor,competition,1,Red,Blue,3731,8697,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Weak note: some unrelated source mentions Blue, but does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.7882324,2.3708057,3.7120914,3.1605887,3.0760508,7.6878757,29.921875,30.328125,conflict,0.54128134,0.6391221,0.83021426,0.33482265,1.0077715,1.3721228,5.377465,0.33482265,-0.40625
g000_competition_balanced,0,0,0,competition_balanced,competition,1,Red,Blue,3731,8697,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Competing fact: Ava is also associated with Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.1575253,1.8807477,-0.41548157,-1.2348418,-0.96318626,3.9277658,28.984375,33.0625,conflict,-0.0894258,0.14906406,-3.2973588,-4.060608,-3.0314655,-2.3879871,-2.708874,0.0894258,-4.078125
g000_direct_conflict,0,0,0,direct_conflict,competition,1,Red,Blue,3731,8697,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Direct conflicting fact: Ava is located at Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.6000619,2.4303608,0.3548801,-1.0661616,-0.044963837,4.9084654,30.078125,33.4375,conflict,0.3531108,0.6986772,-2.526997,-3.8919277,-2.113243,-1.4072876,-1.1980665,0.3531108,-3.359375
g000_closure_update,0,0,0,closure_update,closure,2,Red,Blue,3731,8697,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela is located at Red.
Updated record: Bela is located at Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1.4071741,1.6998098,-1.0247877,-2.05901,-2.3082795,2.3336105,26.8125,32.84375,conflict,0.160223,-0.031873822,-3.9066648,-4.884776,-4.376559,-3.9821424,-4.9420977,0.031873822,-6.03125
g000_closure_override,0,0,0,closure_override,closure,2,Red,Blue,3731,8697,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",1.4728136,1.8380127,-0.98356724,-2.13481,-3.4495316,0.5654278,25.8125,32.25,conflict,0.2258625,0.10632908,-3.8654444,-4.960576,-5.517811,-5.750325,-6.516219,0.10632908,-6.4375
g000_exception_override,0,0,0,exception_override,closure,2,Red,Blue,3731,8697,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",1.5100511,2.153977,-0.67619777,-2.3315816,-2.8061924,0.67752075,26.828125,32.46875,conflict,0.26310003,0.4222933,-3.558075,-5.1573477,-4.8744717,-5.638232,-6.018737,0.26310003,-5.640625
