"role","staged_file","source_path","source_sha256","staged_sha256","rows","bytes"
"Fig15/S12 cross-checkpoint summary","asa_cross_model_summary.csv","[local provenance path redacted]","9F52AB1AA944CD4862233D7E1FCC5D8602D6F1430FD703778E40FBDFE9FA36A6","9F52AB1AA944CD4862233D7E1FCC5D8602D6F1430FD703778E40FBDFE9FA36A6","3","2363"
"Fig15/S12 null-family summary","asa_shuffle_null_distribution.csv","[local provenance path redacted]","68FA903AE7AA08320C71749CB802CAF690AA72F068D036449EEE585288C3DE07","68FA903AE7AA08320C71749CB802CAF690AA72F068D036449EEE585288C3DE07","24","2514"
"Fig15 mechanism classifier diagnostics","asa_mechanism_metrics.csv","[local provenance path redacted]","4048BF069CFB06D51D09D71A758B1EABDE405F8D7AA6784A96E421FF23DD3D50","4048BF069CFB06D51D09D71A758B1EABDE405F8D7AA6784A96E421FF23DD3D50","3","244"
"Fig15 policy classifier diagnostics","asa_policy_metrics.csv","[local provenance path redacted]","89EC24EADCA2351CDAB1E0152B17A6089BE3792373B16062BCF955A1B387182E","89EC24EADCA2351CDAB1E0152B17A6089BE3792373B16062BCF955A1B387182E","3","629"
"Fig15/S12 action composition","asa_policy_action_distribution.csv","[local provenance path redacted]","80304E1E11C16CA367B79748F1A86C0994A6F0E42DAF8067F03BD7FD2044E306","80304E1E11C16CA367B79748F1A86C0994A6F0E42DAF8067F03BD7FD2044E306","4060","352638"
"Fig15 primary table","asa_main_table.csv","[local provenance path redacted]","983E736164CBE618744CEC4D522EBBC67A787ED248A85506DC8921C8F2352D16","983E736164CBE618744CEC4D522EBBC67A787ED248A85506DC8921C8F2352D16","3","911"
"S11 GV4 summary","gv4_model_summary.csv","[local provenance path redacted]","CF8B77A28A84420415730BD580C077882E573B4B059FD2E437853A9869506B32","CF8B77A28A84420415730BD580C077882E573B4B059FD2E437853A9869506B32","3","1059"
"S11 GV4B summary","gv4b_model_summary.csv","[local provenance path redacted]","ECDE3A1A63EA55657705FB3DB7043B8B11A91389764760522462574A62B5AF92","ECDE3A1A63EA55657705FB3DB7043B8B11A91389764760522462574A62B5AF92","3","1345"
"S11 qwen family evaluation","gv4_qwen_family_prediction_eval.csv","[local provenance path redacted]","A507C44C75BF3BC8BDC7381DC7F0FB6A68BE0ADF1B7C23953C9EA58DE682D40D","A507C44C75BF3BC8BDC7381DC7F0FB6A68BE0ADF1B7C23953C9EA58DE682D40D","16","5015"
"S11 qwen correction/rotation evaluation","gv4b_qwen_correction_rotation_eval.csv","[local provenance path redacted]","59E6BF930F1C349594826C9FD632801A7CA9E2DDA0A3F7621A0FF3BCC859B767","59E6BF930F1C349594826C9FD632801A7CA9E2DDA0A3F7621A0FF3BCC859B767","80","20486"
"S12 qwen audit","asa_qwen_asa8d_shuffle_validation.csv","[local provenance path redacted]","A3301CCBBA17EF6C25FEC41CF7D9DACD8C3CBA341D83D710D016A9132F030240","A3301CCBBA17EF6C25FEC41CF7D9DACD8C3CBA341D83D710D016A9132F030240","8","795"
"S12 qwen audit","asa_qwen_asa8d_specificity_summary.csv","[local provenance path redacted]","5C4F5514C50B267E18B94B067C2D89A2D493AD7771479DB601C9F75CE06ECC5B","5C4F5514C50B267E18B94B067C2D89A2D493AD7771479DB601C9F75CE06ECC5B","157","22909"
