prompt_id,problem_id,condition,mechanism,mechanism_id,expression,correct_value,distractor_value,clean_label,conflict_label,prompt,final_clean_logit,final_conflict_logit,final_margin,pair_choice
arith_000_clean,0,clean,stable,0,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",7.3828125,8.3515625,-0.96875,conflict
arith_000_paraphrase,0,paraphrase,stable,0,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 1 + 1 and compare the two choices.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",11.2578125,6.765625,4.4921875,clean
arith_000_untrusted_conflict,0,untrusted_conflict,competition,1,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
An unverified note claims that three is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:",7.3007812,8.8984375,-1.5976562,conflict
arith_000_asserted_conflict,0,asserted_conflict,competition,1,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
A previous solver selected three. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:",9.0390625,8.5078125,0.53125,clean
arith_000_explicit_correction,0,explicit_correction,closure,2,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Initial note: three. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:",8.1875,10.0390625,-1.8515625,conflict
arith_000_final_recheck,0,final_recheck,closure,2,1 + 1,2,3,two,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 1.
Candidate 1: two
Candidate 2: three
Draft answer: three. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:",4.5195312,10.796875,-6.2773438,conflict
arith_001_clean,1,clean,stable,0,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",7.28125,10.9453125,-3.6640625,conflict
arith_001_paraphrase,1,paraphrase,stable,0,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 2 + 1 and compare the two choices.
Candidate 1: two
Candidate 2: three
Which candidate is correct?
Answer with exactly one candidate word:",4.5820312,11.4375,-6.8554688,conflict
arith_001_untrusted_conflict,1,untrusted_conflict,competition,1,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
An unverified note claims that two is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:",9.109375,11.0,-1.890625,conflict
arith_001_asserted_conflict,1,asserted_conflict,competition,1,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
A previous solver selected two. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:",8.9921875,10.3671875,-1.375,conflict
