candidate_id,cluster_id,problemspace_family,closure_action_decision,cbit_gain_estimate,risk_score,drift_risk,next_step,write_boundary
PS-LM1,CL-001-CROSSTHEORY-OTHER,CrossTheory/Other,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-LM2,CL-002-ASA-CONTROL,ASA/Control,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,monitor,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-LM3,CL-003-PHASEMAP-LLM-DYNAM,PhaseMap/LLM Dynamics,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-CO1,CL-004-PHASEMAP-LLM-DYNAM,PhaseMap/LLM Dynamics,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-CO2,CL-005-SOB-MEANING-CBIT,SOB/Meaning/Cbit,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-CO3,CL-006-OPERATOR-UPS-POLIC,Operator/UPS/Policy,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-CO4,CL-007-SEM-MEMORY-ICM,SEM/Memory/ICM,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,monitor,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-LLM1,CL-008-PHASEMAP-LLM-DYNAM,PhaseMap/LLM Dynamics,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-LLM2,CL-009-FMS-MARGIN-SELECTI,FMS/Margin/Selection,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-LLM3,CL-010-PHASEMAP-LLM-DYNAM,PhaseMap/LLM Dynamics,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
