prompt_id,graph_id,condition,mechanism,control,clean_label,conflict_label,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_class,baseline_top1_token_id,strict_conflict_to_clean,any_to_clean,top1_changed
g000_clean,0,clean,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,2.234375,other,5231,False,False,False
g000_redundant,0,redundant,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,1.9609375,other,5231,False,False,False
g000_irrelevant,0,irrelevant,stable,none,Red,Blue,4075,7640,5231, **,other,2,4,2.609375,other,5231,False,False,False
g000_paraphrase,0,paraphrase,stable,none,Red,Blue,4075,7640,5231, **,other,2,3,0.7734375,other,5231,False,False,False
g000_weak_distractor,0,weak_distractor,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,2.015625,other,5231,False,False,False
g000_competition_balanced,0,competition_balanced,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,2.015625,other,5231,False,False,False
g000_direct_conflict,0,direct_conflict,competition,none,Red,Blue,4075,7640,5231, **,other,2,3,1.0234375,other,5231,False,False,False
g000_closure_update,0,closure_update,closure,none,Red,Blue,4075,7640,5231, **,other,2,3,0.859375,other,5231,False,False,False
g000_closure_override,0,closure_override,closure,none,Red,Blue,4075,7640,5231, **,other,3,2,-2.03125,other,5231,False,False,False
g000_exception_override,0,exception_override,closure,none,Red,Blue,4075,7640,5231, **,other,3,2,-2.7578125,other,5231,False,False,False
g004_clean,4,clean,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.9296875,clean,38315,False,False,False
g004_redundant,4,redundant,stable,none,Copper,Silver,38315,15934,5231, **,other,2,3,1.203125,other,5231,False,False,False
g004_irrelevant,4,irrelevant,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,2.7734375,clean,38315,False,False,False
g004_paraphrase,4,paraphrase,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.328125,clean,38315,False,False,False
g004_weak_distractor,4,weak_distractor,competition,none,Copper,Silver,38315,15934,5231, **,other,1,3,2.546875,other,5231,False,False,False
g004_competition_balanced,4,competition_balanced,competition,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,3.375,clean,38315,False,False,False
g004_direct_conflict,4,direct_conflict,competition,none,Copper,Silver,38315,15934,5231, **,other,2,3,2.4140625,other,5231,False,False,False
g004_closure_update,4,closure_update,closure,none,Copper,Silver,38315,15934,5231, **,other,2,3,2.4765625,other,5231,False,False,False
g004_closure_override,4,closure_override,closure,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,0.1875,clean,38315,False,False,False
g004_exception_override,4,exception_override,closure,none,Copper,Silver,38315,15934,5231, **,other,3,2,-0.734375,other,5231,False,False,False
g009_clean,9,clean,stable,none,East,West,5571,4589,5571, East,clean,1,6,4.0625,clean,5571,False,False,False
g009_redundant,9,redundant,stable,none,East,West,5571,4589,5231, **,other,2,6,3.921875,other,5231,False,False,False
g009_irrelevant,9,irrelevant,stable,none,East,West,5571,4589,5571, East,clean,1,6,4.8984375,clean,5571,False,False,False
g009_paraphrase,9,paraphrase,stable,none,East,West,5571,4589,5231, **,other,2,7,2.2265625,other,5231,False,False,False
g009_weak_distractor,9,weak_distractor,competition,none,East,West,5571,4589,5231, **,other,2,7,5.0078125,other,5231,False,False,False
g009_competition_balanced,9,competition_balanced,competition,none,East,West,5571,4589,5231, **,other,2,4,3.53125,other,5231,False,False,False
g009_direct_conflict,9,direct_conflict,competition,none,East,West,5571,4589,5231, **,other,2,4,3.4296875,other,5231,False,False,False
g009_closure_update,9,closure_update,closure,none,East,West,5571,4589,5231, **,other,2,3,2.875,other,5231,False,False,False
g009_closure_override,9,closure_override,closure,none,East,West,5571,4589,5231, **,other,2,3,0.21875,other,5231,False,False,False
g009_exception_override,9,exception_override,closure,none,East,West,5571,4589,5231, **,other,2,3,0.0703125,other,5231,False,False,False
g010_clean,10,clean,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,3,2.75,clean,38315,False,False,False
g010_redundant,10,redundant,stable,none,Copper,Silver,38315,15934,5231, **,other,2,3,2.109375,other,5231,False,False,False
g010_irrelevant,10,irrelevant,stable,none,Copper,Silver,38315,15934,38315, Copper,clean,1,4,3.84375,clean,38315,False,False,False
g010_paraphrase,10,paraphrase,stable,none,Copper,Silver,38315,15934,5231, **,other,2,4,2.1875,other,5231,False,False,False
g010_weak_distractor,10,weak_distractor,competition,none,Copper,Silver,38315,15934,5231, **,other,2,3,3.2734375,other,5231,False,False,False
g010_competition_balanced,10,competition_balanced,competition,none,Copper,Silver,38315,15934,38315, Copper,clean,1,4,3.859375,clean,38315,False,False,False
g010_direct_conflict,10,direct_conflict,competition,none,Copper,Silver,38315,15934,5231, **,other,2,3,3.1484375,other,5231,False,False,False
g010_closure_update,10,closure_update,closure,none,Copper,Silver,38315,15934,5231, **,other,2,4,3.296875,other,5231,False,False,False
g010_closure_override,10,closure_override,closure,none,Copper,Silver,38315,15934,5231, **,other,3,2,-0.3828125,other,5231,False,False,False
g010_exception_override,10,exception_override,closure,none,Copper,Silver,38315,15934,5231, **,other,3,2,-0.1875,other,5231,False,False,False
