task,model,init_seed,lag1_matched_markov_donor_cross_half_unbiased_cka_p,lag1_matched_markov_donor_cross_half_unbiased_cka_q95,lag1_matched_markov_donor_quarter_unbiased_cka_p,lag1_matched_markov_donor_quarter_unbiased_cka_q95,contiguous_block_donor_k4_cross_half_unbiased_cka_p,contiguous_block_donor_k4_cross_half_unbiased_cka_q95,contiguous_block_donor_k4_quarter_unbiased_cka_p,contiguous_block_donor_k4_quarter_unbiased_cka_q95,fingerprint_cross_half_unbiased_cka_p,fingerprint_cross_half_unbiased_cka_q95,fingerprint_quarter_unbiased_cka_p,fingerprint_quarter_unbiased_cka_q95,recomputed_strong_gate,recomputed_fingerprint_gate,recomputed_joint_gate
lexical_category,qwen,1801,0.005,0.9747238785851386,0.005,0.960225933716029,0.005,0.9595954531240961,0.005,0.9399630545674876,0.005,0.9778724026642793,0.005,0.962286889330518,True,True,True
arithmetic_addition,qwen,1801,0.005,0.9722694972377276,0.005,0.955874342200099,0.005,0.9458883616306316,0.005,0.9197749686066491,0.005,0.9746636868722092,0.005,0.9574994151665734,True,True,True
arc_challenge,qwen,1801,0.005,0.05023264278648542,0.005,0.025537942122542536,0.005,0.045224676517942715,0.005,0.02639776591007551,0.005,0.040013495252267654,0.005,0.0035525497196127755,True,True,True
lexical_category,qwen,1802,0.005,0.9729893189365991,0.005,0.9600278950275719,0.005,0.9525804833439512,0.005,0.933143064500938,0.005,0.9767454131098968,0.005,0.9631435380648565,True,True,True
arithmetic_addition,qwen,1802,0.005,0.9689785525094553,0.005,0.9486787679588123,0.005,0.9335996378647428,0.005,0.9034742732503935,0.005,0.9722026211747336,0.005,0.9507344848262718,True,True,True
arc_challenge,qwen,1802,0.005,0.05062516559484952,0.005,0.02755218133693539,0.005,0.04280600026140138,0.005,0.025061126308190157,0.005,0.019685192060782217,0.005,-0.0025844444543055805,True,True,True
lexical_category,llama,1801,0.005,0.9725446229864947,0.005,0.9527574907298507,0.005,0.9578703542145166,0.005,0.9240903209741194,0.005,0.9750546675160486,0.005,0.9547102984605913,True,True,True
arithmetic_addition,llama,1801,0.005,0.9798167088208594,0.005,0.9646182824157145,0.005,0.9633589098204477,0.005,0.9315908627449979,0.005,0.9813598750804599,0.005,0.9659264399696149,True,True,True
arc_challenge,llama,1801,0.005,0.05221017717363096,0.005,0.024188901711532106,0.005,0.056219019376552534,0.005,0.026524750452556624,0.005,0.06292967609290175,0.005,0.019598147942673026,True,True,True
lexical_category,llama,1802,0.005,0.972440537926209,0.005,0.9603714985033844,0.005,0.9559920291945964,0.005,0.9288608565163048,0.005,0.9769568631263161,0.005,0.9633725121250264,True,True,True
arithmetic_addition,llama,1802,0.005,0.9825698895616983,0.005,0.9672535176703163,0.005,0.9692774899302128,0.005,0.9407097079099549,0.005,0.9838838029157791,0.005,0.9680753874941099,True,True,True
arc_challenge,llama,1802,0.005,0.05092096023075812,0.005,0.028270145488093947,0.005,0.05516286732283864,0.005,0.025601561235422256,0.005,0.051020142068126904,0.005,0.016307400383560298,True,True,True
lexical_category,gemma,1801,0.005,0.990006920630385,0.005,0.9848867950611288,0.005,0.9788804893506201,0.005,0.9716447826910747,0.005,0.9902596138390753,0.005,0.9849408288254008,True,True,True
arithmetic_addition,gemma,1801,0.005,0.9887284811571441,0.005,0.9814378566080512,0.005,0.975483675602718,0.005,0.9660924666101685,0.005,0.9888073324310753,0.005,0.981538318086513,True,True,True
arc_challenge,gemma,1801,0.005,0.05625643035302965,0.005,0.034527958895717845,0.005,0.03370769997735038,0.005,0.021807773929454884,0.005,0.018839210184904708,0.005,0.01701351242944886,True,True,True
lexical_category,gemma,1802,0.005,0.9908846852113471,0.005,0.9888803839623759,0.005,0.9834441555989477,0.005,0.9800678778636428,0.005,0.9911165563494391,0.005,0.9889463975694355,True,True,True
arithmetic_addition,gemma,1802,0.005,0.9909260458597535,0.005,0.983222008279453,0.005,0.9775786221826834,0.005,0.9675816190831318,0.005,0.991146911111384,0.005,0.9834096047388641,True,True,True
arc_challenge,gemma,1802,0.005,0.054692076031479596,0.005,0.03169099485260648,0.005,0.03669060131421471,0.005,0.027762487992563804,0.005,0.01049672521449976,0.005,0.017082732808958532,True,True,True
