prompt_id,group_id,condition,mechanism,clean_answer,conflict_answer,executed_order,top1_id,native_top1_id,top1_matches_native,candidate_margin,native_candidate_margin,candidate_choice,native_candidate_choice,candidate_choice_matches_native,js_divergence_from_native,native_top1_rank,expected_candidate,task_correct,native_task_correct
relation_g000_clean,0,clean,stable,Red,Blue,native,8697,8697,True,-1.453125,-1.453125,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g000_closure_override,0,closure_override,closure,Red,Blue,native,8697,8697,True,-6.4375,-6.4375,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g000_closure_update,0,closure_update,closure,Red,Blue,native,8697,8697,True,-7.0625,-7.0625,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g000_competition_balanced,0,competition_balanced,competition,Red,Blue,native,8697,8697,True,-2.078125,-2.078125,conflict,conflict,True,0.0,1,,,
relation_g000_direct_conflict,0,direct_conflict,competition,Red,Blue,native,8697,8697,True,-5.359375,-5.359375,conflict,conflict,True,0.0,1,,,
relation_g000_equal_evidence,0,equal_evidence,competition,Red,Blue,native,8697,8697,True,-2.421875,-2.421875,conflict,conflict,True,0.0,1,,,
relation_g000_exception_override,0,exception_override,closure,Red,Blue,native,8697,8697,True,-5.578125,-5.578125,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g000_irrelevant,0,irrelevant,stable,Red,Blue,native,8697,8697,True,-1.734375,-1.734375,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g000_paraphrase,0,paraphrase,stable,Red,Blue,native,3731,3731,True,1.78125,1.78125,clean,clean,True,0.0,1,clean,1.0,1.0
relation_g000_rename,0,rename,stable,Red,Blue,native,3731,3731,True,0.296875,0.296875,clean,clean,True,0.0,1,clean,1.0,1.0
relation_g000_source_claim,0,source_claim,source_ambiguity,Red,Blue,native,8697,8697,True,-1.640625,-1.640625,conflict,conflict,True,0.0,1,,,
relation_g000_weak_distractor,0,weak_distractor,stable_shift,Red,Blue,native,8697,8697,True,-1.375,-1.375,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g002_clean,2,clean,stable,North,South,native,4882,4882,True,-0.375,-0.375,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g002_closure_override,2,closure_override,closure,North,South,native,4882,4882,True,-4.171875,-4.171875,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g002_closure_update,2,closure_update,closure,North,South,native,4882,4882,True,-4.203125,-4.203125,conflict,conflict,True,0.0,1,conflict,1.0,1.0
