model,prompt_id,problem_group,condition,mechanism,consistent_label,distractor_label,baseline_top1_token_id,baseline_top1_class,baseline_consistent_minus_distractor_margin,baseline_task_coordinate,intervened_top1_token_id,intervened_top1_class,intervened_consistent_minus_distractor_margin,intervened_task_coordinate
qwen,arith_ctx_001_clean,1,clean,stable,two,one,1378,consistent,3.28125,1.2805992364883425,1378,consistent,3.28125,1.2805992364883425
qwen,arith_ctx_001_paraphrase,1,paraphrase,stable,two,one,1378,consistent,2.109375,1.8050222396850584,1378,consistent,2.109375,1.8050222396850584
qwen,arith_ctx_001_untrusted_conflict,1,untrusted_conflict,competition,two,one,1378,consistent,2.234375,4.26113748550415,1378,consistent,2.234375,4.26113748550415
qwen,arith_ctx_001_asserted_conflict,1,asserted_conflict,competition,two,one,1378,consistent,2.640625,1.895124673843384,1378,consistent,2.640625,1.895124673843384
qwen,arith_ctx_001_explicit_correction,1,explicit_correction,closure,two,one,1378,consistent,3.484375,0.0308578014373779,1378,consistent,3.96875,-0.4239823818206787
qwen,arith_ctx_001_final_recheck,1,final_recheck,closure,two,one,1378,consistent,4.640625,-6.135782241821289,1378,consistent,4.640625,-6.135782241821289
qwen,arith_ctx_002_clean,2,clean,stable,six,eight,8063,distractor,-5.1875,1.281786322593689,8063,distractor,-5.1875,1.281786322593689
qwen,arith_ctx_002_paraphrase,2,paraphrase,stable,six,eight,8063,distractor,-4.546875,1.912675380706787,8063,distractor,-4.546875,1.912675380706787
qwen,arith_ctx_002_untrusted_conflict,2,untrusted_conflict,competition,six,eight,8063,distractor,-5.84375,1.6239460706710815,8063,distractor,-5.84375,1.6239460706710815
qwen,arith_ctx_002_asserted_conflict,2,asserted_conflict,competition,six,eight,8063,distractor,-3.5,-2.397529125213623,8063,distractor,-3.5,-2.397529125213623
qwen,arith_ctx_002_explicit_correction,2,explicit_correction,closure,six,eight,8063,distractor,-3.171875,-2.3693718910217285,8063,distractor,-2.609375,-2.116189956665039
qwen,arith_ctx_002_final_recheck,2,final_recheck,closure,six,eight,8063,distractor,-0.296875,-12.473859786987305,8063,distractor,-1.046875,-10.23852825164795
qwen,arith_ctx_004_clean,4,clean,stable,eight,eleven,44214,distractor,-5.046875,1.2831857204437256,44214,distractor,-5.046875,1.2831857204437256
qwen,arith_ctx_004_paraphrase,4,paraphrase,stable,eight,eleven,44214,distractor,-3.859375,-1.3419358730316162,44214,distractor,-3.859375,-1.3419358730316162
qwen,arith_ctx_004_untrusted_conflict,4,untrusted_conflict,competition,eight,eleven,44214,distractor,-5.359375,0.5919713377952576,44214,distractor,-5.359375,0.5919713377952576
qwen,arith_ctx_004_asserted_conflict,4,asserted_conflict,competition,eight,eleven,44214,distractor,-3.484375,-2.68697452545166,44214,distractor,-3.484375,-2.68697452545166
qwen,arith_ctx_004_explicit_correction,4,explicit_correction,closure,eight,eleven,44214,distractor,-2.53125,-4.270053863525391,44214,distractor,-0.546875,-11.543792724609377
qwen,arith_ctx_004_final_recheck,4,final_recheck,closure,eight,eleven,11627,other,-0.828125,-10.140692710876465,44214,distractor,-0.5,-10.779120445251465
qwen,arith_ctx_005_clean,5,clean,stable,twenty,seventeen,17073,consistent,3.8125,1.2831857204437256,17073,consistent,3.8125,1.2831857204437256
qwen,arith_ctx_005_paraphrase,5,paraphrase,stable,twenty,seventeen,17073,consistent,2.125,3.251185894012451,17073,consistent,2.125,3.251185894012451
qwen,arith_ctx_005_untrusted_conflict,5,untrusted_conflict,competition,twenty,seventeen,29235,other,1.453125,7.877166748046875,29235,other,1.453125,7.877166748046875
qwen,arith_ctx_005_asserted_conflict,5,asserted_conflict,competition,twenty,seventeen,29235,other,2.0,4.64990234375,29235,other,2.0,4.64990234375
qwen,arith_ctx_005_explicit_correction,5,explicit_correction,closure,twenty,seventeen,17073,consistent,4.375,1.2738553285598757,17073,consistent,4.375,1.2738553285598757
qwen,arith_ctx_005_final_recheck,5,final_recheck,closure,twenty,seventeen,17073,consistent,2.71875,6.167830467224121,17073,consistent,2.71875,6.167830467224121
qwen,arith_ctx_006_clean,6,clean,stable,seventeen,eighteen,62034,distractor,-7.28125,1.2831857204437256,62034,distractor,-7.28125,1.2831857204437256
qwen,arith_ctx_006_paraphrase,6,paraphrase,stable,seventeen,eighteen,62034,distractor,-5.046875,-1.4837994575500488,62034,distractor,-5.046875,-1.4837994575500488
qwen,arith_ctx_006_untrusted_conflict,6,untrusted_conflict,competition,seventeen,eighteen,62034,distractor,-6.140625,-0.5015921592712402,62034,distractor,-6.140625,-0.5015921592712402
qwen,arith_ctx_006_asserted_conflict,6,asserted_conflict,competition,seventeen,eighteen,62034,distractor,-4.609375,-1.1593842506408691,62034,distractor,-4.609375,-1.1593842506408691
qwen,arith_ctx_006_explicit_correction,6,explicit_correction,closure,seventeen,eighteen,62034,distractor,-2.8125,-4.768050193786621,62034,distractor,-3.671875,-2.6896514892578125
qwen,arith_ctx_006_final_recheck,6,final_recheck,closure,seventeen,eighteen,62034,distractor,-2.140625,-5.203947067260742,62034,distractor,-3.015625,-3.894278287887573
qwen,arith_ctx_012_clean,12,clean,stable,seven,eight,8063,distractor,-5.421875,1.2196537256240845,8063,distractor,-5.421875,1.2196537256240845
qwen,arith_ctx_012_paraphrase,12,paraphrase,stable,seven,eight,8063,distractor,-4.90625,3.720314502716065,8063,distractor,-4.90625,3.720314502716065
qwen,arith_ctx_012_untrusted_conflict,12,untrusted_conflict,competition,seven,eight,8063,distractor,-5.140625,0.0495574474334716,8063,distractor,-5.140625,0.0495574474334716
qwen,arith_ctx_012_asserted_conflict,12,asserted_conflict,competition,seven,eight,8063,distractor,-2.0,-5.785073280334473,8063,distractor,-2.0,-5.785073280334473
qwen,arith_ctx_012_explicit_correction,12,explicit_correction,closure,seven,eight,8063,distractor,-3.203125,-2.438207626342773,8063,distractor,-2.671875,-1.6193249225616455
qwen,arith_ctx_012_final_recheck,12,final_recheck,closure,seven,eight,8094,consistent,2.609375,-15.28590202331543,8094,consistent,1.75,-14.42025661468506
qwen,arith_ctx_017_clean,17,clean,stable,thirteen,ten,60659,consistent,9.5625,1.2145291566848757,60659,consistent,9.5625,1.2145291566848757
qwen,arith_ctx_017_paraphrase,17,paraphrase,stable,thirteen,ten,60659,consistent,5.734375,8.830981254577637,60659,consistent,5.734375,8.830981254577637
qwen,arith_ctx_017_untrusted_conflict,17,untrusted_conflict,competition,thirteen,ten,60659,consistent,7.109375,5.060957908630371,60659,consistent,7.109375,5.060957908630371
qwen,arith_ctx_017_asserted_conflict,17,asserted_conflict,competition,thirteen,ten,60659,consistent,7.984375,1.3257396221160889,60659,consistent,7.984375,1.3257396221160889
qwen,arith_ctx_017_explicit_correction,17,explicit_correction,closure,thirteen,ten,60659,consistent,8.75,0.918483018875122,60659,consistent,9.9375,-0.6460845470428467
qwen,arith_ctx_017_final_recheck,17,final_recheck,closure,thirteen,ten,60659,consistent,9.84375,-3.5007970333099365,60659,consistent,7.609375,2.029122829437256
qwen,arith_ctx_018_clean,18,clean,stable,seventeen,eighteen,62034,distractor,-8.59375,1.2242658138275146,62034,distractor,-8.59375,1.2242658138275146
qwen,arith_ctx_018_paraphrase,18,paraphrase,stable,seventeen,eighteen,62034,distractor,-6.375,-1.8136062622070312,62034,distractor,-6.375,-1.8136062622070312
qwen,arith_ctx_018_untrusted_conflict,18,untrusted_conflict,competition,seventeen,eighteen,62034,distractor,-7.984375,-0.1073570251464843,62034,distractor,-7.984375,-0.1073570251464843
qwen,arith_ctx_018_asserted_conflict,18,asserted_conflict,competition,seventeen,eighteen,62034,distractor,-5.65625,-1.9493257999420168,62034,distractor,-5.65625,-1.9493257999420168
qwen,arith_ctx_018_explicit_correction,18,explicit_correction,closure,seventeen,eighteen,62034,distractor,-7.078125,-0.6506632566452026,62034,distractor,-3.703125,-5.3505706787109375
qwen,arith_ctx_018_final_recheck,18,final_recheck,closure,seventeen,eighteen,62034,distractor,-5.140625,-3.0296075344085693,62034,distractor,-5.875,-2.412671566009521
qwen,arith_ctx_019_clean,19,clean,stable,zero,twenty,7168,consistent,8.96875,1.285009741783142,7168,consistent,8.96875,1.285009741783142
qwen,arith_ctx_019_paraphrase,19,paraphrase,stable,zero,twenty,7168,consistent,8.0625,0.8978794813156128,7168,consistent,8.0625,0.8978794813156128
qwen,arith_ctx_019_untrusted_conflict,19,untrusted_conflict,competition,zero,twenty,7168,consistent,8.828125,4.59581470489502,7168,consistent,8.828125,4.59581470489502
qwen,arith_ctx_019_asserted_conflict,19,asserted_conflict,competition,zero,twenty,7168,consistent,7.5625,6.101812362670898,7168,consistent,7.5625,6.101812362670898
