prompt_id,group_id,graph_id,condition,mechanism,clean_answer,conflict_answer,aux_answer,prompt,mechanism_y,phase_y,R_L0,dR_L0,R_L1,dR_L1,R_L2,dR_L2,R_L3,dR_L3,R_L4,dR_L4,R_L5,dR_L5,R_L6,dR_L6,R_L7,dR_L7,R_L8,dR_L8,R_L9,dR_L9,R_L10,dR_L10,R_L11,dR_L11,R_L12,dR_L12,R_L13,dR_L13,R_L14,dR_L14,R_L15,dR_L15,R_L16,dR_L16,R_L17,dR_L17,R_L18,dR_L18,R_L19,dR_L19,R_L20,dR_L20,R_L21,dR_L21,R_L22,dR_L22,R_L23,dR_L23,R_L24,dR_L24,R_L25,dR_L25,R_L26,dR_L26,R_L27,dR_L27,DeltaU_decision
opa1a_cm_g000_clean,0,0,clean,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela maps to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",0,0,0.01787737,0.0,0.64002544,0.0,0.49684763,0.0,-0.261497,0.0,-0.3641243,0.0,-0.49818334,0.0,-0.16770208,0.0,0.84094584,0.0,0.7542298,0.0,0.9639985,0.0,0.088817924,0.0,0.21599647,0.0,0.96807045,0.0,1.0159689,0.0,0.79278064,0.0,1.510956,0.0,1.7571225,0.0,1.4689413,0.0,2.311274,0.0,1.7269077,0.0,1.4500619,0.0,2.6393075,0.0,3.8496847,0.0,3.9158168,0.0,2.5208035,0.0,6.8838406,0.0,10.2542305,0.0,-1.459835,0.0,3.183903
opa1a_cm_g000_closure_override,0,0,closure_override,closure,Red,Blue,Green,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",2,2,0.0052722543,-0.012605116,0.7164734,0.07644796,0.5150142,0.018166542,-0.34519786,-0.083700866,-0.40002453,-0.035900235,-0.58392763,-0.08574429,-0.11486325,0.052838832,0.84753835,0.006592512,0.71200657,-0.042223215,0.7753423,-0.18865621,0.125491,0.03667307,0.13080627,-0.08519021,1.0003064,0.03223592,1.0563834,0.040414453,0.7857112,-0.007069409,1.3168938,-0.19406223,1.5879296,-0.16919291,1.7808439,0.31190252,2.3087494,-0.0025246143,2.016311,0.2894032,1.4619606,0.011898637,1.818963,-0.82034445,-1.0003343,-4.850019,-2.1484098,-6.0642266,-3.483057,-6.0038605,0.52430344,-6.359537,1.250185,-9.0040455,-6.4765377,-5.0167027,-8.460239
opa1a_cm_g000_closure_update,0,0,closure_update,closure,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela maps to Red.
Updated record: Bela maps to Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",2,2,0.0052592605,-0.01261811,0.662514,0.022488534,0.53001654,0.033168912,-0.23830326,0.023193732,-0.2622649,0.10185939,-0.4502657,0.047917634,-0.10058294,0.06711914,0.87250376,0.031557918,0.7049192,-0.049310565,0.8644208,-0.099577725,0.14643754,0.057619616,0.22830024,0.01230377,1.0489413,0.08087081,1.216042,0.20007312,0.9667885,0.17400783,1.5875171,0.07656109,1.353112,-0.40401053,1.2964336,-0.17250776,2.0497513,-0.26152277,2.0163417,0.28943396,1.2073824,-0.24267948,1.4870856,-1.1522219,-1.0558038,-4.9054885,-1.8237944,-5.739611,-3.1617212,-5.6825247,1.5312271,-5.3526134,1.8766918,-8.377539,-7.06802,-5.608185,-7.670705
opa1a_cm_g000_competition_balanced,0,0,competition_balanced,competition,Red,Blue,Green,"You are given a small relation graph with competing records.
Record A: Ava belongs to Bela, and Bela maps to Red.
Record B: another note says Ava maps to Blue.
Question: Which label is better supported for Ava: Red or Blue?
Answer with exactly one word:",1,1,0.0070566386,-0.0108207315,0.6332728,-0.00675261,0.52469254,0.027844906,-0.22883096,0.032666028,-0.37788576,-0.013761461,-0.5702402,-0.07205686,-0.23563384,-0.06793176,0.71237206,-0.12857378,0.5716259,-0.1826039,0.85630476,-0.10769373,0.2588667,0.17004877,0.34501442,0.12901795,1.2400277,0.27195722,1.1147455,0.09877658,0.95513386,0.16235322,1.556597,0.045640945,1.5108606,-0.24626195,1.4536811,-0.01526022,2.422039,0.11076498,1.6964786,-0.030429125,1.2542998,-0.19576216,2.5840368,-0.05527067,1.2158809,-2.6338038,1.5383692,-2.3774476,1.3105888,-1.2102146,6.052537,-0.8313036,9.872133,-0.38209724,-2.0617962,-0.60196114,-0.13845181
opa1a_cm_g000_direct_conflict,0,0,direct_conflict,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela maps to Red.
Direct conflicting fact: Ava maps to Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1,1,-0.008699864,-0.026577234,0.65017253,0.010147095,0.5312838,0.034436166,-0.3002892,-0.038792223,-0.39618462,-0.032060325,-0.5694866,-0.07130328,-0.14385897,0.02384311,0.8110391,-0.02990675,0.6273502,-0.12687957,0.8183776,-0.14562088,0.08870536,-0.00011256337,0.15946937,-0.056527108,0.9831894,0.015118957,1.0414923,0.025523424,0.86666507,0.07388443,1.4542383,-0.056717753,1.4341519,-0.32297063,1.2776828,-0.19125855,2.1363976,-0.17487645,1.9068408,0.17993307,1.4686999,0.018638015,2.579516,-0.059791565,0.24717212,-3.6025126,-0.81572723,-4.731544,-0.73284245,-3.253646,4.329067,-2.5547733,5.453945,-4.8002853,-5.3577385,-3.8979034,-3.7180245
opa1a_cm_g000_equal_evidence,0,0,equal_evidence,competition,Red,Blue,Green,"You are given balanced evidence.
Evidence for Red: Ava belongs to Bela, and Bela maps to Red.
Evidence for Blue: Ava is directly listed with Blue.
The evidence strength is equal.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",1,1,0.009721369,-0.008156002,0.6793846,0.039359152,0.5378908,0.041043162,-0.18082333,0.080673665,-0.35310787,0.0110164285,-0.441567,0.056616336,-0.16888046,-0.0011783838,0.70430356,-0.13664228,0.6594835,-0.09474629,0.9189569,-0.04504162,0.3007552,0.21193728,0.3309707,0.11497423,1.050143,0.082072556,1.1241096,0.10814071,0.8416043,0.048823655,1.6610488,0.15009272,1.4727373,-0.2843852,1.8147123,0.34577096,2.4648783,0.15360427,2.162767,0.4358592,1.0814376,-0.36862433,2.3439116,-0.29539585,0.91689086,-2.9327939,1.1322045,-2.7836123,0.91166973,-1.6091337,5.1461935,-1.737647,8.842731,-1.411499,-2.4074955,-0.94766045,-1.1776402
opa1a_cm_g000_exception_override,0,0,exception_override,closure,Red,Blue,Green,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",2,2,0.0066118985,-0.011265472,0.7236693,0.08364385,0.5482743,0.05142665,-0.29552746,-0.034030467,-0.32048103,0.043643266,-0.5295042,-0.03132084,-0.14593875,0.021763325,0.81385607,-0.027089775,0.71538985,-0.038839936,0.86626476,-0.097733736,0.185757,0.09693907,0.19895124,-0.01704523,1.0339035,0.06583303,1.0694025,0.053433537,0.77306825,-0.019712389,1.4010695,-0.10988653,1.5138752,-0.24324727,1.6924134,0.22347212,2.3848605,0.073586464,2.0259175,0.2990098,1.5083381,0.058276176,2.1583066,-0.4810009,-0.6717777,-4.5214624,-2.3323407,-6.2481575,-2.7999601,-5.3207636,0.6973705,-6.18647,2.589819,-7.6644115,-5.609623,-4.149788,-7.900299
opa1a_cm_g000_irrelevant,0,0,irrelevant,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela maps to Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",0,0,0.023095489,0.0052181184,0.6874832,0.047457755,0.536764,0.039916396,-0.27013436,-0.008637369,-0.36654767,-0.0024233758,-0.52761257,-0.029429227,-0.1479232,0.019778877,0.82935095,-0.011594892,0.73660994,-0.017619848,0.9101622,-0.053836286,0.09018575,0.0013678223,0.1941666,-0.021829873,0.9859194,0.017848969,1.0539289,0.037959933,0.8070586,0.014277935,1.4440262,-0.06692982,1.6311266,-0.12599587,1.2427719,-0.22616947,2.0207336,-0.29054046,1.4832523,-0.24365544,1.6578224,0.20776045,2.4639702,-0.17533731,3.637783,-0.21190166,3.7842007,-0.13161612,1.6010189,-0.91978455,6.1142244,-0.7696161,9.323568,-0.93066216,-1.7220936,-0.26225853,2.1053152
opa1a_cm_g000_paraphrase,0,0,paraphrase,stable,Red,Blue,Green,"In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:",0,0,0.2097107,0.19183333,0.3070305,-0.33299494,0.39371577,-0.10313186,-0.10456799,0.156929,-0.7013377,-0.3372134,-1.045722,-0.54753864,-1.3558778,-1.1881757,-1.4896436,-2.3305893,-1.0494992,-1.8037289,-0.98736095,-1.9513595,0.5827835,0.4939656,-0.5328979,-0.74889433,0.2575848,-0.71048564,0.22889006,-0.78707886,0.691326,-0.101454616,0.35506785,-1.1558882,-0.4391504,-2.1962729,0.7851431,-0.68379825,1.5666347,-0.7446394,3.2667775,1.5398698,3.4551172,2.0050554,3.8353987,1.1960912,6.907091,3.0574064,7.5955076,3.6796908,6.9090805,4.388277,10.47106,3.5872192,19.598331,9.344101,1.7840576,3.2438927,10.788705
opa1a_cm_g000_rename,0,0,rename,stable,Red,Blue,Green,"Consider a tiny mapping network.
Link one: Ava belongs to Bela.
Link two: Bela maps to Red.
Choose the label reached from Ava: Red or Blue.
One word answer:",0,0,0.1626538,0.14477643,0.78828543,0.14826,0.41309124,-0.08375639,-0.03486836,0.22662863,-0.76338995,-0.39926565,-0.64071727,-0.14253393,0.030243948,0.19794603,-0.04664719,-0.88759303,-0.2693776,-1.0236074,0.79939747,-0.16460103,0.76292413,0.67410624,0.6378814,0.42188492,1.2242236,0.25615317,1.4466643,0.4306954,0.92133737,0.12855673,1.7017689,0.19081283,1.2198875,-0.537235,1.682688,0.21374667,1.2554159,-1.0558581,1.430534,-0.29637372,1.3007406,-0.14932132,2.234099,-0.4052086,3.9933534,0.14366865,4.884853,0.9690361,4.142992,1.6221886,7.571312,0.6874714,13.131386,2.8771553,0.29626274,1.7560978,4.967555
