prompt_id,graph_id,entity_id,relation_id,condition,mechanism,mechanism_id,clean_label,conflict_label,clean_token_id,conflict_token_id,text,R_L12,R_L13,R_L14,R_L15,final_clean_logit,final_conflict_logit,pair_choice,dR_L12,dR_L13,dR_L14,dR_L15,DeltaU,D_B_proxy,R_final_margin
g000_clean,0,0,0,clean,stable,0,Red,Blue,3816,8868,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",-0.11098211,-0.06668055,0.80365396,1.0595112,19.28125,18.21875,clean,0.0,0.0,0.0,0.0,0.096519895,0.0,1.0625
g000_redundant,0,0,0,redundant,stable,0,Red,Blue,3816,8868,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Confirmation: Ava still goes through Bela.
Confirmation: Bela still points to Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",-0.1319639,-0.098756015,0.79733944,0.93852043,19.40625,18.46875,clean,-0.020981781,-0.032075465,-0.006314516,-0.12099075,-0.024962634,0.006314516,0.9375
g000_irrelevant,0,0,0,irrelevant,stable,0,Red,Blue,3816,8868,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Irrelevant fact: Cora is associated with Green.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",-0.07383028,-0.051136196,0.90652084,0.9085388,19.921875,19.015625,clean,0.037151836,0.015544355,0.10286689,-0.15097237,-0.001258254,0.015544355,0.90625
g000_paraphrase,0,0,0,paraphrase,stable,0,Red,Blue,3816,8868,"In this example, Ava reaches Bela.
The destination connected to Bela is Red.
Based on those two links, select the label for Ava: Red or Blue.
Answer:",-0.28228915,-0.47203255,0.6323519,0.55487823,21.765625,21.21875,clean,-0.17130703,-0.405352,-0.17130208,-0.50463295,-0.514588,0.17130208,0.546875
g000_weak_distractor,0,0,0,weak_distractor,competition,1,Red,Blue,3816,8868,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Weak note: some unrelated source mentions Blue, but does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",0.103911996,0.106696844,0.8912711,1.2414055,19.65625,18.421875,clean,0.21489412,0.1733774,0.08761716,0.1818943,0.34885088,0.08761716,1.234375
g000_competition_balanced,0,0,0,competition_balanced,competition,1,Red,Blue,3816,8868,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Competing fact: Ava is also associated with Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",-0.015792996,-0.0008724928,0.6871078,0.8861923,19.875,18.984375,clean,0.09518912,0.06580806,-0.116546154,-0.17331886,-0.07848521,0.06580806,0.890625
g000_direct_conflict,0,0,0,direct_conflict,competition,1,Red,Blue,3816,8868,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela is located at Red.
Direct conflicting fact: Ava is located at Blue.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",0.01616916,0.02015841,0.7828375,0.95928764,20.421875,19.46875,clean,0.12715128,0.08683896,-0.020816445,-0.10022354,0.027886905,0.020816445,0.953125
g000_closure_update,0,0,0,closure_update,closure,2,Red,Blue,3816,8868,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Old record: Bela is located at Red.
Updated record: Bela is located at Blue, not Red.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",-0.24678876,-0.2643433,0.16578293,-0.29425812,19.40625,19.703125,conflict,-0.13580665,-0.19766274,-0.637871,-1.3537693,-1.4101948,0.13580665,-0.296875
g000_closure_override,0,0,0,closure_override,closure,2,Red,Blue,3816,8868,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",-0.020197637,-0.07042149,0.5094291,0.43551254,20.203125,19.765625,clean,0.090784475,-0.0037409365,-0.29422486,-0.62399864,-0.564252,0.0037409365,0.4375
g000_exception_override,0,0,0,exception_override,closure,2,Red,Blue,3816,8868,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",-0.12583813,-0.17843944,0.34288073,-0.4712906,20.03125,20.5,conflict,-0.014856018,-0.11175889,-0.46077323,-1.5308018,-1.4851507,0.014856018,-0.46875
